,MVT_GT_Tucson AZ
2017-01-01,22.0
2017-01-08,30.0
2017-04-16,24.0
2017-04-23,24.0
2017-08-06,19.0
2017-08-13,23.0
2017-10-22,19.0
2017-11-12,39.0
2018-02-11,17.0
2018-03-18,19.0
2018-03-25,28.0
2018-04-08,37.0
2018-04-22,24.0
2018-05-20,26.0
2018-06-03,19.0
2018-07-01,31.0
2018-07-29,62.0
2018-08-05,28.0
2018-08-12,18.0
2018-09-16,22.0
2018-09-23,46.0
2018-10-21,45.0
2018-11-18,20.0
2018-12-30,17.0
2019-01-13,42.0
2019-02-17,18.0
2019-03-03,18.0
2019-04-14,62.0
2019-05-05,78.0
2019-06-23,37.0
2019-08-25,20.0
2019-10-13,30.0
2019-12-15,22.0
2019-12-29,73.0
2020-01-05,18.0
2020-01-19,28.0
2020-03-29,33.0
2020-04-26,34.0
2020-05-31,38.0
2020-06-21,72.0
2020-08-09,47.0
2020-09-13,34.0
2020-09-20,28.0
2020-09-27,16.0
2020-12-06,27.0
2020-12-13,43.0
2020-12-27,16.0
2021-01-17,34.0
2021-02-21,20.0
2021-03-14,18.0
2021-06-06,50.0
2021-07-04,19.0
2021-08-01,20.0
2021-09-19,25.0
2021-10-10,39.0
2021-10-24,84.0
2021-10-31,57.0
2021-11-14,100.0
2021-11-28,16.0
2021-12-12,53.0
2021-12-26,41.0
2022-02-20,19.0
2022-02-27,34.0
2022-03-20,23.0
2022-03-27,39.0
2022-04-17,19.0
2022-05-08,40.0
2022-06-26,46.0
2022-08-14,23.0
2022-09-11,18.0
2022-10-30,14.0
2022-11-27,18.0
2022-12-18,15.0
