date,Tucson AZ
2017-01-08,61.986
2017-01-15,43.231
2017-02-05,25.748
2017-02-19,17.165
2017-02-26,19.073
2017-03-12,24.794
2017-03-26,16.212
2017-04-02,41.483
2017-04-09,29.563
2017-04-16,22.887
2017-04-23,38.861
2017-04-30,24.032
2017-05-07,28.609
2017-05-21,20.98
2017-05-28,53.403
2017-06-04,30.516
2017-06-11,24.794
2017-06-18,24.794
2017-06-25,30.039
2017-07-02,28.609
2017-07-09,44.821
2017-07-16,34.331
2017-07-23,24.794
2017-07-30,51.496
2017-08-13,45.139
2017-08-20,33.377
2017-08-27,24.159
2017-09-10,26.225
2017-09-17,23.841
2017-10-08,85.827
2017-10-29,33.377
2017-11-12,54.357
2017-11-26,18.596
2017-12-03,95.363
2017-12-10,20.344
2017-12-24,43.152
2017-12-31,26.702
2018-01-07,29.0
2018-01-21,21.0
2018-01-28,23.658
2018-02-04,90.0
2018-02-18,48.0
2018-02-25,28.414
2018-03-04,21.934
2018-03-18,29.0
2018-03-25,40.963
2018-04-08,26.695
2018-04-15,19.0
2018-05-06,29.467
2018-05-20,22.887
2018-05-27,28.0
2018-06-03,58.172
2018-06-10,16.212
2018-07-01,34.331
2018-07-08,24.0
2018-07-15,81.059
2018-07-22,69.615
2018-08-05,50.0
2018-08-12,72.197
2018-08-19,29.992
2018-08-26,21.048
2018-09-02,24.0
2018-09-09,29.563
2018-09-16,31.242
2018-09-23,29.467
2018-10-07,46.305
2018-10-14,36.0
2018-10-28,17.165
2018-11-04,95.363
2018-11-18,25.112
2018-11-25,18.755
2018-12-09,33.0
2018-12-23,71.154
2019-01-06,47.0
2019-01-13,19.073
2019-01-20,44.521
2019-01-27,23.841
2019-02-03,63.747
2019-02-10,23.841
2019-02-17,28.98
2019-03-03,37.823
2019-03-10,25.257
2019-03-17,22.0
2019-03-24,28.291
2019-03-31,29.881
2019-04-07,25.748
2019-04-14,21.0
2019-04-21,36.81
2019-04-28,31.0
2019-05-05,29.012
2019-05-26,63.893
2019-06-02,29.563
2019-06-09,100.0
2019-06-23,18.437
2019-06-30,27.024
2019-07-14,36.0
2019-07-28,52.45
2019-08-04,25.0
2019-08-11,87.647
2019-08-18,23.227
2019-08-25,66.358
2019-09-01,48.0
2019-09-08,31.055
2019-09-15,43.867
2019-09-22,29.0
2019-09-29,20.98
2019-10-06,42.374
2019-10-13,47.475
2019-11-03,20.026
2019-11-17,30.0
2019-11-24,19.073
2019-12-29,35.722
2020-01-05,17.165
2020-01-19,24.887
2020-01-26,55.629
2020-02-02,72.0
2020-02-16,22.523
2020-03-01,18.119
2020-03-15,28.0
2020-03-22,29.467
2020-03-29,13.351
2020-04-05,19.326
2020-04-12,27.721
2020-04-19,34.409
2020-04-26,17.165
2020-05-03,16.45
2020-05-10,23.841
2020-05-17,29.747
2020-05-24,23.841
2020-06-07,12.397
2020-06-21,33.377
2020-06-28,19.802
2020-07-26,37.627
2020-08-16,16.0
2020-08-23,27.382
2020-08-30,24.659
2020-09-13,23.152
2020-09-27,26.0
2020-10-04,30.0
2020-10-11,18.119
2020-10-18,34.195
2020-11-01,35.284
2020-11-15,58.0
2020-11-22,23.841
2020-11-29,27.836
2020-12-13,17.165
2020-12-27,47.677
2021-01-10,48.635
2021-01-24,24.794
2021-01-31,21.819
2021-02-07,20.521
2021-02-14,12.397
2021-02-28,33.377
2021-03-07,19.073
2021-03-14,36.271
2021-03-28,19.073
2021-04-11,21.048
2021-04-25,15.258
2021-05-09,23.691
2021-05-16,44.941
2021-05-23,37.0
2021-06-06,63.893
2021-06-13,27.444
2021-07-11,38.145
2021-07-18,36.833
2021-07-25,35.284
2021-08-01,23.152
2021-08-29,36.79
2021-09-12,26.289
2021-09-19,46.455
2021-10-03,25.257
2021-10-10,46.0
2021-10-17,22.0
2021-10-24,91.549
2021-11-07,39.199
2021-11-14,17.165
2021-12-05,19.0
2021-12-12,33.123
2021-12-26,28.0
2022-01-02,27.362
2022-01-16,35.022
2022-01-30,20.479
2022-02-13,25.748
2022-02-20,42.914
2022-02-27,25.709
2022-03-06,24.794
2022-03-13,19.995
2022-03-20,21.57
2022-03-27,16.152
2022-04-03,20.562
2022-04-10,41.043
2022-04-17,35.284
2022-05-01,18.119
2022-05-15,26.452
2022-05-22,33.105
2022-05-29,26.498
2022-06-12,17.165
2022-06-19,30.516
2022-06-26,16.046
2022-07-03,54.357
2022-07-17,47.616
2022-07-31,40.393
2022-08-14,17.722
2022-08-21,15.046
2022-08-28,45.252
2022-09-04,16.212
2022-09-25,19.073
2022-10-09,22.456
2022-11-06,23.055
2022-11-13,30.519
2022-11-27,28.414
2022-12-04,36.093
2022-12-11,19.765
2022-12-18,26.702
2022-12-25,17.891
