,MVT_GT_Tulsa OK
2017-01-08,29.0
2017-02-19,34.0
2017-03-12,21.0
2017-04-02,37.0
2017-05-14,56.0
2017-06-04,17.0
2017-07-23,35.0
2017-08-13,21.0
2017-08-20,16.0
2017-09-03,35.0
2017-09-10,17.0
2017-09-17,15.0
2017-10-08,13.0
2017-10-15,17.0
2017-11-12,29.0
2018-01-21,51.0
2018-01-28,53.0
2018-02-04,31.0
2018-04-08,41.0
2018-04-15,22.0
2018-05-06,38.0
2018-05-27,36.0
2018-07-22,54.0
2018-08-05,69.0
2018-08-19,24.0
2018-10-21,35.0
2018-11-18,30.0
2019-04-14,22.0
2019-05-26,35.0
2019-06-02,85.0
2019-06-09,37.0
2019-06-16,26.0
2019-06-23,36.0
2019-07-07,61.0
2019-07-28,100.0
2019-08-18,43.0
2019-10-06,30.0
2019-10-27,18.0
2019-11-03,37.0
2019-12-01,41.0
2019-12-15,25.0
2019-12-22,21.0
2020-01-26,23.0
2020-02-02,68.0
2020-02-09,38.0
2020-03-22,16.0
2020-03-29,60.0
2020-04-05,21.0
2020-05-03,23.0
2020-07-05,32.0
2020-07-19,36.0
2020-08-23,32.0
2020-09-20,46.0
2020-10-04,19.0
2020-11-22,31.0
2020-11-29,42.0
2020-12-27,24.0
2021-01-24,39.0
2021-02-07,18.0
2021-04-04,59.0
2021-05-16,29.0
2021-05-23,35.0
2021-05-30,51.0
2021-06-13,35.0
2021-07-04,61.0
2021-09-05,30.0
2021-09-19,54.0
2021-09-26,61.0
2021-10-17,57.0
2021-10-24,38.0
2021-10-31,30.0
2022-01-09,36.0
2022-01-23,31.0
2022-01-30,53.0
2022-02-20,24.0
2022-03-06,19.0
2022-03-27,17.0
2022-04-03,33.0
2022-05-08,34.0
2022-05-15,19.0
2022-05-22,17.0
2022-06-26,29.0
2022-07-03,19.0
2022-07-10,31.0
2022-07-17,31.0
2022-07-24,18.0
2022-07-31,22.0
2022-08-07,20.0
2022-09-04,26.0
2022-09-25,28.0
2022-10-09,30.0
2022-10-16,40.0
2022-11-06,16.0
