,MVT_GT_Washington DC (Hagerstown MD)
2017-01-01,24.0
2017-01-15,17.0
2017-01-22,22.0
2017-02-12,10.0
2017-02-19,29.0
2017-02-26,19.0
2017-03-05,13.0
2017-03-12,16.0
2017-03-19,20.0
2017-03-26,25.0
2017-04-02,15.0
2017-04-16,18.0
2017-04-23,13.0
2017-04-30,25.0
2017-05-07,12.0
2017-05-14,22.0
2017-05-21,27.0
2017-06-04,16.0
2017-06-11,48.0
2017-06-18,34.0
2017-06-25,21.0
2017-07-02,20.0
2017-07-09,9.0
2017-08-13,11.0
2017-08-20,23.0
2017-08-27,18.0
2017-09-03,17.0
2017-09-10,32.0
2017-09-17,20.0
2017-09-24,15.0
2017-10-01,19.0
2017-10-08,12.0
2017-10-15,13.0
2017-10-29,21.0
2017-11-12,15.0
2017-11-26,30.0
2017-12-17,44.0
2017-12-24,14.0
2017-12-31,9.0
2018-01-07,13.0
2018-01-14,20.0
2018-01-21,37.0
2018-01-28,11.0
2018-02-04,22.0
2018-02-11,58.0
2018-02-18,21.0
2018-02-25,18.0
2018-03-18,33.0
2018-03-25,39.0
2018-04-01,16.0
2018-04-08,12.0
2018-04-15,18.0
2018-04-29,33.0
2018-05-13,26.0
2018-05-20,28.0
2018-05-27,17.0
2018-06-24,17.0
2018-07-01,16.0
2018-07-08,50.0
2018-07-15,26.0
2018-07-22,24.0
2018-07-29,18.0
2018-08-05,12.0
2018-08-12,31.0
2018-08-19,44.0
2018-08-26,21.0
2018-09-09,25.0
2018-09-23,11.0
2018-09-30,22.0
2018-10-07,12.0
2018-10-14,90.0
2018-10-21,20.0
2018-10-28,16.0
2018-11-04,18.0
2018-11-11,12.0
2018-11-25,10.0
2018-12-02,28.0
2018-12-09,32.0
2018-12-23,19.0
2019-01-06,17.0
2019-01-13,20.0
2019-01-20,17.0
2019-01-27,15.0
2019-02-03,33.0
2019-03-03,16.0
2019-03-10,10.0
2019-03-17,28.0
2019-03-24,15.0
2019-03-31,20.0
2019-04-14,16.0
2019-04-28,41.0
2019-05-05,8.0
2019-05-12,9.0
2019-05-26,19.0
2019-06-02,14.0
2019-06-16,12.0
2019-06-23,16.0
2019-06-30,23.0
2019-07-07,57.0
2019-07-21,47.0
2019-07-28,30.0
2019-08-04,45.0
2019-08-11,14.0
2019-08-18,10.0
2019-08-25,44.0
2019-09-01,34.0
2019-09-08,28.0
2019-09-15,10.0
2019-09-22,16.0
2019-10-06,18.0
2019-10-13,16.0
2019-11-03,8.0
2019-11-10,15.0
2019-11-17,20.0
2019-11-24,26.0
2019-12-01,23.0
2019-12-08,35.0
2019-12-15,23.0
2019-12-22,17.0
2019-12-29,31.0
2020-01-05,29.0
2020-01-12,13.0
2020-01-19,18.0
2020-01-26,17.0
2020-02-09,13.0
2020-03-15,26.0
2020-03-22,10.0
2020-04-05,26.0
2020-04-12,27.0
2020-04-26,16.0
2020-05-03,28.0
2020-05-10,28.0
2020-05-17,16.0
2020-05-31,27.0
2020-06-07,16.0
2020-06-14,25.0
2020-06-21,22.0
2020-06-28,10.0
2020-07-05,15.0
2020-07-12,30.0
2020-07-19,68.0
2020-07-26,46.0
2020-08-02,17.0
2020-08-09,29.0
2020-08-16,8.0
2020-08-30,30.0
2020-09-13,19.0
2020-09-27,27.0
2020-10-04,14.0
2020-10-25,21.0
2020-11-01,18.0
2020-11-15,20.0
2020-11-29,24.0
2020-12-06,100.0
2020-12-20,33.0
2020-12-27,35.0
2021-01-03,23.0
2021-01-10,19.0
2021-01-24,11.0
2021-01-31,12.0
2021-02-07,16.0
2021-02-14,58.0
2021-02-21,23.0
2021-02-28,27.0
2021-03-07,21.0
2021-03-14,15.0
2021-03-21,28.0
2021-03-28,31.0
2021-04-04,13.0
2021-04-11,12.0
2021-04-18,28.0
2021-05-02,18.0
2021-05-09,24.0
2021-05-23,9.0
2021-05-30,22.0
2021-06-06,18.0
2021-06-13,18.0
2021-06-27,19.0
2021-07-11,17.0
2021-07-18,39.0
2021-07-25,11.0
2021-08-08,48.0
2021-08-15,16.0
2021-08-22,20.0
2021-08-29,27.0
2021-09-05,26.0
2021-09-12,15.0
2021-10-03,9.0
2021-10-10,17.0
2021-10-17,19.0
2021-10-24,41.0
2021-11-07,22.0
2021-11-14,14.0
2021-11-21,71.0
2021-11-28,22.0
2021-12-05,13.0
2021-12-19,41.0
2021-12-26,54.0
2022-01-09,11.0
2022-01-16,23.0
2022-01-23,10.0
2022-02-06,30.0
2022-02-13,30.0
2022-02-20,26.0
2022-02-27,35.0
2022-03-06,12.0
2022-03-13,23.0
2022-03-20,30.0
2022-03-27,18.0
2022-04-03,29.0
2022-04-10,14.0
2022-04-17,23.0
2022-04-24,18.0
2022-05-01,11.0
2022-05-08,31.0
2022-05-15,27.0
2022-05-22,14.0
2022-05-29,23.0
2022-06-05,31.0
2022-06-12,26.0
2022-06-19,19.0
2022-06-26,16.0
2022-07-03,42.0
2022-07-10,18.0
2022-07-17,9.0
2022-07-31,25.0
2022-08-07,36.0
2022-08-14,17.0
2022-08-21,19.0
2022-08-28,46.0
2022-09-11,34.0
2022-09-18,35.0
2022-10-02,28.0
2022-10-09,28.0
2022-10-16,18.0
2022-10-23,13.0
2022-10-30,18.0
2022-11-13,12.0
2022-11-20,23.0
2022-11-27,23.0
2022-12-04,38.0
2022-12-11,41.0
2022-12-18,28.0
2022-12-25,70.0
