date,Washington DC (Hagerstown MD)
2017-01-01,52.808
2017-01-08,40.549
2017-01-15,26.153
2017-01-22,27.382
2017-01-29,38.726
2017-02-05,39.816
2017-02-12,26.684
2017-02-19,61.138
2017-03-05,17.729
2017-03-12,20.327
2017-03-19,42.372
2017-03-26,66.639
2017-04-02,63.496
2017-04-16,38.08
2017-04-23,27.347
2017-04-30,41.492
2017-05-07,39.449
2017-05-14,52.683
2017-05-21,42.247
2017-05-28,33.194
2017-06-04,33.697
2017-06-11,50.797
2017-06-18,64.879
2017-06-25,39.229
2017-07-02,39.229
2017-07-09,35.709
2017-07-16,44.426
2017-07-23,16.345
2017-07-30,25.147
2017-08-06,36.306
2017-08-13,49.288
2017-08-20,53.563
2017-08-27,50.922
2017-09-03,48.677
2017-09-10,65.005
2017-09-17,29.548
2017-09-24,42.498
2017-10-01,30.679
2017-10-08,21.794
2017-10-15,33.068
2017-10-22,39.135
2017-10-29,31.434
2017-11-05,27.662
2017-11-12,68.211
2017-11-19,41.492
2017-11-26,45.683
2017-12-03,48.857
2017-12-10,45.642
2017-12-17,40.864
2017-12-24,33.769
2017-12-31,35.206
2018-01-07,37.205
2018-01-14,61.721
2018-01-21,55.647
2018-01-28,38.897
2018-02-04,66.962
2018-02-11,35.4
2018-02-18,48.065
2018-02-25,35.181
2018-03-11,36.29
2018-03-18,50.308
2018-03-25,51.206
2018-04-01,54.757
2018-04-08,38.255
2018-04-15,37.21
2018-04-22,37.09
2018-04-29,31.609
2018-05-06,35.602
2018-05-13,31.378
2018-05-20,32.498
2018-05-27,32.708
2018-06-03,62.659
2018-06-10,17.612
2018-06-24,62.864
2018-07-01,63.764
2018-07-08,75.699
2018-07-15,46.451
2018-07-22,32.825
2018-07-29,29.214
2018-08-05,49.01
2018-08-12,74.29
2018-08-19,45.099
2018-08-26,47.506
2018-09-02,43.769
2018-09-09,26.626
2018-09-16,35.249
2018-09-23,48.17
2018-09-30,55.633
2018-10-07,52.292
2018-10-14,39.595
2018-10-21,45.08
2018-10-28,46.055
2018-11-04,26.847
2018-11-11,34.599
2018-11-18,34.695
2018-11-25,42.389
2018-12-02,48.857
2018-12-09,47.936
2018-12-23,30.545
2018-12-30,42.761
2019-01-06,64.359
2019-01-13,47.265
2019-01-20,30.849
2019-01-27,23.142
2019-02-03,36.212
2019-02-10,25.294
2019-02-17,91.712
2019-02-24,20.76
2019-03-03,46.56
2019-03-10,51.138
2019-03-17,44.258
2019-03-24,56.84
2019-03-31,63.826
2019-04-07,26.914
2019-04-14,30.131
2019-04-21,31.8
2019-04-28,39.15
2019-05-05,43.354
2019-05-12,29.833
2019-05-19,30.365
2019-05-26,24.442
2019-06-02,31.026
2019-06-09,86.57
2019-06-16,28.869
2019-06-23,35.572
2019-06-30,53.142
2019-07-07,46.9
2019-07-14,41.634
2019-07-21,81.493
2019-07-28,53.214
2019-08-04,51.591
2019-08-11,26.688
2019-08-18,43.543
2019-08-25,39.441
2019-09-01,77.849
2019-09-08,41.072
2019-09-15,41.968
2019-09-22,32.294
2019-09-29,25.415
2019-10-06,37.731
2019-10-13,36.507
2019-10-20,37.844
2019-10-27,15.512
2019-11-03,50.848
2019-11-10,37.94
2019-11-17,30.555
2019-11-24,40.704
2019-12-01,51.813
2019-12-08,66.684
2019-12-15,48.436
2019-12-22,44.163
2019-12-29,45.288
2020-01-05,62.778
2020-01-12,26.692
2020-01-19,49.683
2020-01-26,43.587
2020-02-02,38.996
2020-02-09,16.55
2020-02-16,30.434
2020-02-23,30.039
2020-03-01,39.544
2020-03-08,33.943
2020-03-15,29.591
2020-03-22,74.808
2020-03-29,21.45
2020-04-05,43.446
2020-04-12,34.03
2020-04-19,36.186
2020-04-26,44.415
2020-05-03,35.262
2020-05-10,27.076
2020-05-17,52.532
2020-05-24,38.775
2020-05-31,67.516
2020-06-07,32.016
2020-06-14,34.243
2020-06-21,52.984
2020-06-28,39.483
2020-07-05,26.594
2020-07-12,52.659
2020-07-19,50.393
2020-07-26,52.07
2020-08-02,48.733
2020-08-09,48.668
2020-08-16,45.571
2020-08-23,27.109
2020-08-30,55.124
2020-09-06,23.786
2020-09-13,57.418
2020-09-20,34.431
2020-09-27,48.078
2020-10-04,27.641
2020-10-11,35.142
2020-10-18,30.091
2020-10-25,34.132
2020-11-01,47.122
2020-11-08,39.679
2020-11-15,88.783
2020-11-22,61.509
2020-11-29,52.598
2020-12-06,62.761
2020-12-13,62.024
2020-12-20,64.811
2020-12-27,62.885
2021-01-03,55.157
2021-01-10,69.33
2021-01-17,30.817
2021-01-24,39.438
2021-01-31,42.03
2021-02-07,25.078
2021-02-14,53.441
2021-02-21,57.092
2021-02-28,94.268
2021-03-07,36.408
2021-03-14,52.722
2021-03-21,59.882
2021-03-28,79.629
2021-04-04,31.607
2021-04-11,39.562
2021-04-18,55.937
2021-04-25,45.051
2021-05-02,50.339
2021-05-09,38.482
2021-05-23,72.563
2021-05-30,93.126
2021-06-06,41.453
2021-06-13,41.514
2021-06-20,29.119
2021-06-27,50.14
2021-07-04,32.657
2021-07-11,59.261
2021-07-18,68.497
2021-07-25,60.164
2021-08-01,89.04
2021-08-08,27.881
2021-08-15,45.071
2021-08-22,32.929
2021-08-29,31.333
2021-09-05,50.861
2021-09-12,51.736
2021-09-19,36.951
2021-09-26,52.022
2021-10-03,54.143
2021-10-10,35.215
2021-10-17,35.123
2021-10-24,45.804
2021-10-31,71.163
2021-11-07,45.139
2021-11-14,47.309
2021-11-21,62.402
2021-11-28,44.494
2021-12-05,17.603
2021-12-12,39.909
2021-12-19,49.992
2021-12-26,30.888
2022-01-02,57.715
2022-01-09,43.63
2022-01-16,43.832
2022-01-23,29.368
2022-01-30,48.565
2022-02-06,51.829
2022-02-13,32.82
2022-02-20,53.274
2022-02-27,64.79
2022-03-06,51.86
2022-03-13,41.756
2022-03-20,67.918
2022-03-27,44.349
2022-04-03,49.378
2022-04-10,66.255
2022-04-17,31.697
2022-04-24,40.222
2022-05-01,25.899
2022-05-08,66.926
2022-05-15,29.741
2022-05-22,56.128
2022-05-29,54.131
2022-06-05,47.079
2022-06-12,69.314
2022-06-19,54.95
2022-06-26,39.912
2022-07-03,100.0
2022-07-10,49.934
2022-07-17,48.889
2022-07-24,46.075
2022-07-31,42.008
2022-08-07,60.299
2022-08-14,54.571
2022-08-21,47.204
2022-08-28,77.036
2022-09-04,22.904
2022-09-11,33.186
2022-09-18,72.224
2022-09-25,49.223
2022-10-02,54.382
2022-10-09,49.889
2022-10-16,38.773
2022-10-23,22.438
2022-10-30,63.436
2022-11-06,72.504
2022-11-13,47.728
2022-11-20,41.789
2022-11-27,38.287
2022-12-04,83.333
2022-12-11,88.629
2022-12-18,31.475
2022-12-25,83.999
