,MVT_GT_Wichita-Hutchinson KS
2017-01-29,31.0
2017-04-16,19.0
2017-04-30,26.0
2017-05-28,43.0
2017-06-04,28.0
2017-06-25,28.0
2017-07-09,36.0
2017-07-23,20.0
2017-07-30,36.0
2017-09-03,26.0
2017-10-01,28.0
2017-10-29,17.0
2017-11-26,29.0
2017-12-10,16.0
2018-01-07,54.949112227337594
2018-03-25,20.0
2018-04-01,49.48897892152179
2018-04-08,34.0
2018-04-22,32.689570769963396
2018-07-22,19.0
2018-08-12,43.0
2018-09-02,31.0
2018-10-14,42.0
2018-11-04,17.0
2018-11-25,25.0
2018-12-23,24.0
2019-02-10,15.0
2019-02-24,22.0
2019-04-14,16.0
2019-05-05,57.0
2019-05-12,19.0
2019-05-26,57.06065047361999
2019-07-14,37.0
2019-09-08,21.136982132613596
2019-11-10,50.0
2019-11-24,15.0
2019-12-15,25.0
2019-12-22,17.0
2019-12-29,33.0
2020-02-02,17.0
2020-04-19,18.0
2020-05-17,13.0
2020-06-28,14.0
2020-07-12,16.0
2020-07-19,28.215014656294596
2020-08-09,24.0
2020-10-18,23.0
2020-11-22,40.0
2020-12-20,33.961834170503195
2020-12-27,15.0
2021-01-31,49.0
2021-02-07,31.143343104196397
2021-03-14,19.0
2021-03-28,39.0
2021-05-02,17.390162618404997
2021-05-16,25.0
2021-06-20,22.0
2021-06-27,44.0
2021-08-15,35.0
2021-10-03,26.0
2021-10-10,100.0
2021-10-17,22.0
2021-10-24,26.0
2021-10-31,34.0
2021-11-07,21.0
2021-11-28,24.883801646822196
2018-01-21,36.57337241678559
2018-02-04,23.273964265227193
2018-04-15,24.105177274699592
2018-05-06,24.105177274699592
2018-06-10,44.885502511509586
2018-09-23,24.105177274699592
2018-12-09,19.117899217865194
2019-03-31,24.936390284171992
2019-04-07,27.43002931258919
2019-06-02,41.56065047361999
2019-06-09,28.26124232206159
2019-07-07,30.75488135047879
2019-08-18,26.59881630311679
2019-08-25,51.53520658728878
2019-09-15,15.793047179975595
2019-09-22,17.455473198920394
2020-01-26,20.780325236809993
2020-02-23,13.299408151558396
2020-04-05,13.299408151558396
2020-05-03,13.299408151558396
2020-05-31,28.26124232206159
2020-06-07,18.286686208392794
2020-06-21,21.611538246282393
2020-07-05,17.455473198920394
2020-08-02,17.455473198920394
2020-08-23,27.43002931258919
2020-10-25,28.26124232206159
2020-12-06,15.793047179975595
2020-12-13,34.07973338836839
2021-01-03,15.793047179975595
2021-01-24,68.15946677673678
2021-03-21,66.49704075779198
2021-04-18,29.09245533153399
2021-05-09,14.961834170503195
2021-05-30,19.949112227337594
2021-06-06,50.703993577816384
2021-06-13,21.611538246282393
2021-07-18,20.780325236809993
2021-08-22,19.117899217865194
2021-08-29,22.442751255754793
2021-09-05,23.273964265227193
2021-09-19,20.780325236809993
2021-11-14,22.442751255754793
2021-12-05,48.210354549399185
2021-12-12,19.949112227337594
2021-12-19,39.06701144520279
2022-01-16,36.57337241678559
2022-02-27,24.105177274699592
2022-03-06,22.442751255754793
2022-05-08,45.716715520981985
2022-08-07,30.75488135047879
2022-10-02,35.74215940731319
2022-10-30,12.468195142085996
2022-12-25,19.949112227337594
