date,Albuquerque-Santa Fe NM,Atlanta GA,Austin TX,Bakersfield CA,Baltimore MD,Boston MA-Manchester NH,Charlotte NC,Chicago IL,Colorado Springs-Pueblo CO,Columbus OH,Dallas-Ft. Worth TX,Denver CO,Detroit MI,El Paso TX,Fresno-Visalia CA,Houston TX,Jacksonville FL,Kansas City MO,Las Vegas NV,Los Angeles CA,Louisville KY,Memphis TN,Miami-Ft. Lauderdale FL,Milwaukee WI,Minneapolis-St. Paul MN,Nashville TN,New York NY,Norfolk-Portsmouth-Newport News VA,Oklahoma City OK,Omaha NE,Ontario,Philadelphia PA,Phoenix AZ,Portland OR,Raleigh-Durham (Fayetteville) NC,San Antonio TX,San Diego CA,San Francisco-Oakland-San Jose CA,Seattle-Tacoma WA,Tucson AZ,Tulsa OK,Washington DC (Hagerstown MD),Wichita-Hutchinson KS
2017-01-01,30.506,42.597,,,24.0,,57.105,13.672,22.0,26.237,48.865,25.791,47.42,30.186,51.418,67.777,17.988,36.61,35.283,44.24,46.2,29.545,26.648,53.0,29.657,36.398,55.984,25.016,40.941,,12.75,51.613,91.588,28.291,,30.311,40.579,73.418,71.678,,59.0,52.808,
2017-01-08,23.74,38.752,32.571,,49.0,29.16,52.623,36.506,35.0,,45.386,35.104,30.345,,23.675,34.773,44.97,33.145,21.938,61.397,25.0,40.202,48.932,28.375,39.067,56.047,43.218,,36.941,39.824,16.857,52.199,40.706,45.685,31.8,,51.952,48.945,38.265,61.986,21.0,40.549,25.657
2017-01-15,,20.337,42.0,,39.0,13.812,69.827,34.955,42.0,,27.516,43.462,36.191,,29.01,19.226,18.987,51.224,,70.588,30.25,55.892,28.969,23.0,39.922,,44.681,24.766,34.51,,20.8,68.035,26.168,32.351,47.6,,20.536,38.397,43.791,43.231,,26.153,36.11
2017-01-22,72.171,40.675,24.0,42.753,44.0,31.797,,28.167,42.0,,42.223,28.418,52.802,35.217,29.344,17.09,,32.768,37.999,44.363,28.0,40.693,35.005,42.0,24.334,19.005,44.814,,,,9.75,54.106,23.26,37.197,24.0,61.744,26.765,55.274,52.505,,30.0,27.382,40.861
2017-01-29,38.934,33.794,,31.136,24.0,,19.228,35.888,,19.325,42.901,34.142,40.089,24.309,,35.648,17.988,31.638,18.282,52.328,29.0,19.192,100.0,,30.369,,39.362,32.02,,32.428,11.857,26.51,,,38.0,28.29,29.528,50.211,,,45.5,38.726,36.11
2017-02-05,32.287,39.056,23.25,,69.0,27.769,35.644,16.742,,22.852,42.697,,31.83,,,45.929,76.949,51.412,40.951,51.961,,27.778,23.387,42.667,21.672,21.581,17.021,16.01,,17.068,18.833,28.622,54.92,29.077,29.333,44.905,35.522,37.553,60.566,25.748,,39.816,17.105
2017-02-12,58.272,,34.667,34.969,,22.33,23.276,17.817,,26.449,31.311,46.704,31.366,34.126,,25.538,,33.522,16.453,39.828,30.0,43.939,35.469,,29.005,62.973,23.005,,31.765,,12.6,39.443,26.168,55.141,19.0,55.168,19.981,52.743,41.117,,98.0,26.684,39.436
2017-02-19,58.876,14.874,100.0,30.671,,28.057,21.027,28.652,25.333,30.469,33.345,22.288,65.887,,40.348,59.174,,28.625,23.537,53.676,25.333,58.249,,73.4,,,40.691,,,32.842,10.667,64.516,29.076,36.324,31.0,66.608,36.474,63.713,44.563,17.165,52.8,61.138,39.911
2017-02-26,20.892,13.153,19.333,,32.0,18.129,58.189,18.778,19.0,44.857,69.581,23.124,24.128,,26.676,50.784,26.982,47.881,27.422,47.426,37.0,,42.154,79.667,26.805,21.742,26.064,72.045,32.941,49.031,16.167,43.402,,39.398,,37.42,21.832,62.447,57.952,19.073,26.5,,21.856
2017-03-05,,15.481,46.25,,31.0,28.776,36.865,38.009,38.2,18.136,42.381,17.831,35.171,38.177,45.016,34.762,30.979,22.599,21.481,60.907,39.333,28.283,28.412,67.0,40.378,,31.516,36.523,33.235,34.911,100.0,35.191,29.076,32.613,52.0,32.556,26.642,50.633,29.085,,31.0,17.729,
2017-03-12,39.567,22.892,49.333,,26.0,36.45,31.227,18.071,78.4,31.527,24.195,30.089,56.7,,38.014,24.955,36.531,,22.852,33.824,46.667,,39.09,,20.151,22.709,48.005,39.024,,,26.143,38.475,31.111,21.585,17.5,30.311,25.038,45.992,37.077,24.794,81.5,20.327,37.377
2017-03-19,,26.56,,24.165,22.143,21.87,40.046,22.195,59.0,22.126,25.302,,37.398,26.802,55.395,29.713,,33.616,17.367,79.412,,59.596,35.91,,35.787,,61.835,61.372,42.941,29.48,29.714,,55.243,29.339,63.2,52.763,26.642,43.46,43.791,,,42.372,
2017-03-26,21.841,16.189,44.0,41.204,51.0,38.905,23.999,15.95,52.0,,29.482,31.204,29.51,,,33.112,27.981,,67.946,34.314,17.0,17.172,49.489,,25.949,24.158,30.585,28.351,34.641,,24.0,32.845,46.105,74.395,,28.627,60.896,56.54,39.07,16.212,,66.639,26.132
2017-04-02,,31.366,,63.201,52.0,18.992,24.288,19.344,24.0,30.187,41.591,18.844,47.29,,21.007,31.616,20.986,41.808,,49.387,,29.798,20.52,23.0,30.037,25.125,47.34,21.013,31.961,48.875,14.714,32.991,35.763,30.518,39.857,44.905,35.276,61.181,35.294,41.483,,63.496,40.228
2017-04-09,38.618,11.13,26.5,,26.0,29.006,26.312,17.308,,43.165,43.104,,31.923,43.475,,40.588,,28.249,24.68,58.946,20.6,17.172,52.553,76.0,28.353,31.889,42.021,17.011,58.824,25.213,9.0,,61.059,33.53,,28.907,,44.304,59.477,29.563,29.0,,19.005
2017-04-16,,20.034,35.667,,44.286,42.301,45.539,21.38,35.333,21.498,32.735,21.492,18.315,27.347,50.018,16.556,30.979,33.333,16.453,58.211,24.25,28.283,26.555,53.0,41.063,,33.245,63.04,52.549,24.05,14.667,36.95,31.175,51.343,38.0,26.269,,39.662,35.294,22.887,25.5,38.08,24.707
2017-04-23,24.69,19.947,25.0,52.048,56.0,26.33,25.576,32.692,,16.927,41.844,,38.604,39.268,21.007,43.081,35.476,31.497,22.303,30.882,57.0,33.333,34.726,,33.078,31.889,26.809,,,,10.714,32.258,25.36,21.375,22.2,67.731,33.746,65.823,100.0,38.861,47.4,27.347,
2017-04-30,64.574,26.813,25.0,24.032,25.5,27.193,25.862,23.529,19.0,,28.623,,36.841,35.128,35.012,40.588,,43.164,22.166,47.917,,16.162,38.069,44.333,41.226,,39.362,34.522,,,19.143,35.191,,63.288,18.0,25.82,47.733,53.797,25.49,24.032,30.75,41.492,
2017-05-07,,32.681,17.333,,,18.992,56.292,32.579,,16.927,30.995,45.691,,,59.021,21.718,30.979,28.249,22.852,52.941,29.0,,35.655,51.0,26.235,31.889,36.17,45.362,76.471,27.153,14.714,37.39,24.714,26.981,35.0,46.027,16.651,48.523,59.259,28.609,100.0,39.449,39.594
2017-05-14,32.762,34.3,35.714,26.721,59.857,40.286,24.035,46.946,21.0,61.785,87.388,55.721,77.487,,23.008,64.378,34.977,58.983,36.302,44.853,44.5,27.417,34.401,53.25,40.248,25.125,35.372,32.52,51.765,,12.4,35.191,44.259,33.321,26.2,36.766,32.192,45.57,48.366,,25.2,52.683,40.861
2017-05-21,52.229,59.798,36.5,,,48.487,32.721,26.471,25.0,29.792,49.972,,37.742,,,42.725,31.979,31.073,27.879,46.569,38.0,39.899,44.661,34.0,50.188,,39.628,31.52,48.824,77.58,11.8,60.411,42.483,35.888,34.8,37.527,53.9,43.038,24.401,20.98,,42.247,46.8
2017-05-28,,16.189,48.8,26.024,,31.078,21.252,20.798,39.0,14.388,53.451,55.214,49.926,18.699,38.347,47.483,,44.068,17.367,48.775,,21.212,24.745,63.667,29.514,22.709,31.064,40.525,73.613,25.601,15.0,100.0,,,27.0,24.698,,52.743,40.285,53.403,31.5,33.194,64.142
2017-06-04,,45.127,40.0,23.979,32.2,,42.616,46.606,74.0,39.779,65.469,27.354,28.953,,,34.287,10.993,37.288,28.451,50.613,23.0,68.687,24.745,52.0,33.991,25.125,43.617,,55.294,14.74,12.4,21.114,34.891,35.416,20.0,25.072,,52.743,31.373,30.516,21.0,33.697,45.929
2017-06-11,61.725,57.268,37.286,,,23.021,16.192,22.805,,33.008,32.893,39.562,31.737,28.049,,40.006,33.311,,21.938,63.971,33.5,,35.562,,,30.536,41.489,63.64,44.314,22.498,14.667,30.499,61.059,46.733,,26.943,17.206,25.316,30.85,24.794,,50.797,
2017-06-18,94.962,36.627,35.0,,43.7,26.474,,22.059,,17.774,67.683,40.342,22.921,55.474,,30.781,27.981,20.339,22.068,53.309,29.0,30.808,34.355,33.0,28.231,27.637,44.149,28.018,49.02,48.1,13.0,34.018,39.09,62.45,,96.545,22.325,56.54,60.24,24.794,23.8,64.879,30.408
2017-06-25,21.841,28.584,36.0,19.518,,37.294,28.167,21.38,,30.131,38.902,48.198,37.862,46.748,49.351,34.374,,35.593,28.336,40.319,25.5,24.242,44.359,23.0,42.489,76.34,37.633,23.014,61.176,,39.0,55.572,31.983,50.426,19.0,22.452,53.654,62.869,55.664,30.039,,39.229,54.165
2017-07-02,47.912,33.693,,,,50.646,35.925,100.0,28.0,20.313,31.628,35.053,43.522,21.504,,66.612,51.965,,28.032,56.618,46.0,18.182,49.006,35.0,50.061,31.889,32.048,23.014,,62.84,20.857,48.094,46.812,37.197,,48.834,43.91,49.367,42.305,28.609,,39.229,39.436
2017-07-09,,47.934,29.0,,46.0,25.467,34.408,32.919,62.0,29.058,25.935,21.97,70.372,,63.623,23.79,30.979,86.017,53.016,48.652,36.0,27.609,33.345,,26.235,20.293,46.676,,100.0,18.878,27.25,22.991,36.829,38.638,,29.749,27.752,52.321,52.614,44.821,48.5,35.709,37.535
2017-07-16,18.992,36.425,,33.459,24.0,,26.818,39.367,34.0,15.235,57.563,,27.988,19.634,,40.88,,36.723,29.25,36.152,,46.801,26.555,28.0,54.099,,36.17,40.15,34.51,,14.429,22.757,66.228,,,28.065,23.312,37.553,49.455,34.331,,44.426,
2017-07-23,,50.084,23.2,21.841,,48.056,23.565,27.376,34.6,34.137,46.018,20.059,26.54,33.97,27.01,28.602,47.468,23.729,21.415,52.328,,26.599,37.79,53.4,31.558,19.327,40.16,,26.765,,30.0,73.431,59.12,48.2,18.0,,16.651,26.582,32.534,24.794,21.0,16.345,61.767
2017-07-30,50.33,21.45,50.143,,19.5,28.085,,31.561,31.0,19.466,61.042,,32.665,28.984,28.01,,,45.198,20.11,59.436,49.25,30.64,15.692,,43.629,,43.085,52.033,41.471,37.238,10.429,58.651,49.267,35.495,,63.241,28.196,51.055,71.133,51.496,59.25,25.147,42.762
2017-08-06,41.19,19.857,,21.377,40.2,44.123,35.757,28.281,,,41.907,47.92,29.677,,19.34,39.639,26.982,26.742,23.766,66.176,30.5,32.828,35.608,,21.672,32.131,61.436,28.018,77.647,36.928,12.75,40.469,39.46,27.243,80.286,,28.369,39.873,28.105,,,36.306,39.911
2017-08-13,,24.283,23.0,,,25.898,,32.579,34.333,27.718,27.358,61.293,47.791,,38.014,33.209,34.977,25.989,28.336,100.0,42.5,18.182,54.318,,39.922,41.552,34.84,30.769,42.941,17.843,25.286,70.088,78.181,41.039,45.0,,31.082,41.35,42.157,45.139,,49.288,
