,MVT_GT_Albuquerque-Santa Fe NM
2017-01-01,30.0
2017-01-08,30.0
2017-01-29,77.0
2017-02-05,38.0
2017-03-12,49.0
2017-06-11,68.0
2017-07-09,33.0
2017-07-23,37.0
2017-07-30,34.0
2017-09-10,32.0
2017-10-01,38.0
2017-10-08,30.0
2017-10-29,39.0
2017-12-03,64.0
2017-12-10,37.0
2018-01-14,42.46117487369005
2018-02-11,30.817781638465807
2018-02-25,30.817781638465807
2018-03-11,33.43017970567273
2018-03-18,56.71696617612122
2018-04-01,24.092985504051953
2018-04-15,41.96117487369005
2018-05-06,29.01158260486234
2018-05-13,27.705383571258878
2018-05-20,28.51158260486234
2018-06-10,27.205383571258878
2018-06-17,38.84877680648312
2018-07-22,51.29836907531083
2018-08-12,30.817781638465807
2018-09-09,25.899184537655415
2018-10-07,58.02316520972468
2018-10-21,61.13556327693161
2018-10-28,51.79836907531083
2018-11-04,80.80995168017317
2019-01-06,30.817781638465807
2019-02-24,22.28678647044849
2019-03-10,38.34877680648312
2019-04-07,91.95334491539742
2019-04-14,40.154975840086585
2019-04-21,42.46117487369005
2019-05-12,99.98434008341474
2019-05-19,29.01158260486234
2019-05-26,59.82936424332814
2019-07-07,27.705383571258878
2019-07-14,30.817781638465807
2019-08-11,58.02316520972468
2019-09-22,82.11615071377663
2019-10-20,58.02316520972468
2019-10-27,25.899184537655415
2019-11-03,38.84877680648312
2019-11-10,60.32936424332814
2019-12-08,29.01158260486234
2019-12-15,29.51158260486234
2019-12-22,24.092985504051953
2020-02-02,30.817781638465807
2020-02-16,43.76737390729352
2020-03-15,72.27895651215586
2020-03-22,17.8681893696381
2020-04-05,35.2363787392762
2020-04-19,20.980587436845024
2020-06-14,54.910767142517756
2020-06-21,19.17438840324156
2020-06-28,53.10456810891429
2020-07-05,33.43017970567273
2020-07-26,25.899184537655415
2020-08-09,45.07357294089698
2020-08-23,59.82936424332814
2020-08-30,32.123980672069266
2020-09-06,20.980587436845024
2020-09-20,37.04257777287966
2020-09-27,41.46117487369005
2020-10-18,30.817781638465807
2020-10-25,29.01158260486234
2020-11-29,22.28678647044849
2020-12-06,29.01158260486234
2020-12-13,66.554160377742
2021-01-03,28.51158260486234
2021-02-21,22.28678647044849
2021-03-14,51.29836907531083
2021-04-18,41.46117487369005
2021-06-06,19.67438840324156
2021-06-13,24.092985504051953
2021-06-20,45.07357294089698
2021-06-27,62.941762310535076
2021-08-08,37.04257777287966
2021-08-15,27.205383571258878
2021-10-10,22.78678647044849
2021-11-07,76.39135457936278
2021-11-28,24.092985504051953
2022-01-16,25.79836907531083
2022-01-30,70.94551495710479
2022-02-06,64.49592268827708
2022-02-20,32.24796134413854
2022-02-27,29.023165209724684
2022-04-24,49.984340083414736
2022-05-01,17.736378739276198
2022-05-08,22.573572940896977
2022-05-22,45.14714588179395
2022-06-05,62.88352462107015
2022-06-12,82.23230142755327
2022-06-26,161.23980672069268
2022-07-24,20.961174873690048
2022-07-31,30.635563276931613
2022-08-07,67.72071882269093
2022-08-21,56.433932352242444
2022-08-28,85.45709756196713
2022-09-04,54.82153428503551
2022-09-25,22.573572940896977
2022-10-02,24.185971008103905
2022-10-09,25.79836907531083
2022-10-23,49.984340083414736
2022-12-18,58.04633041944937
2022-12-25,24.185971008103905
