,MVT_GT_Atlanta GA
2017-01-01,33.0
2017-01-08,22.0
2017-01-15,15.0
2017-01-22,31.0
2017-01-29,19.0
2017-02-05,19.0
2017-02-19,29.0
2017-02-26,22.0
2017-03-12,10.0
2017-03-19,15.0
2017-03-26,9.0
2017-04-02,27.0
2017-04-16,29.0
2017-04-23,9.0
2017-04-30,43.0
2017-05-07,20.0
2017-05-14,37.0
2017-05-21,39.0
2017-05-28,20.0
2017-06-04,54.0
2017-06-11,59.0
2017-06-18,29.0
2017-06-25,38.0
2017-07-02,22.0
2017-07-09,32.0
2017-07-16,37.0
2017-07-23,41.0
2017-08-13,46.0
2017-08-20,31.0
2017-08-27,44.0
2017-09-03,17.0
2017-09-17,11.0
2017-10-01,19.0
2017-10-15,13.0
2017-10-22,24.0
2017-10-29,18.0
2017-11-05,48.0
2017-11-12,55.0
2017-11-19,35.0
2017-11-26,17.0
2017-12-10,27.0
2017-12-17,21.0
2017-12-24,15.0
2017-12-31,17.0
2018-01-07,46.0
2018-01-14,38.0
2018-01-21,32.0
2018-01-28,27.0
2018-02-04,28.0
2018-02-11,35.0
2018-02-18,11.0
2018-02-25,17.0
2018-03-04,44.0
2018-03-18,14.0
2018-03-25,20.0
2018-04-01,20.0
2018-04-08,48.0
2018-04-15,33.0
2018-04-22,26.0
2018-04-29,51.0
2018-05-06,36.0
2018-05-13,20.0
2018-05-27,23.0
2018-06-03,100.0
2018-06-17,19.0
2018-07-01,16.0
2018-07-15,42.0
2018-07-22,49.0
2018-07-29,24.0
2018-08-05,17.0
2018-08-12,32.0
2018-08-19,25.0
2018-08-26,31.0
2018-09-02,21.0
2018-09-09,23.0
2018-09-16,33.0
2018-09-23,42.0
2018-09-30,27.0
2018-10-07,55.0
2018-10-14,24.0
2018-10-28,23.0
2018-11-04,24.0
2018-11-11,21.0
2018-11-18,14.0
2018-11-25,21.0
2018-12-02,16.0
2018-12-23,66.0
2018-12-30,71.0
2019-01-06,40.0
2019-01-13,35.0
2019-01-20,34.0
2019-01-27,10.0
2019-02-03,33.0
2019-02-10,32.0
2019-02-17,37.0
2019-02-24,13.0
2019-03-03,29.0
2019-03-10,11.0
2019-03-17,28.0
2019-04-14,15.0
2019-04-28,15.0
2019-05-05,48.0
2019-05-12,14.0
2019-05-26,35.0
2019-06-02,22.0
2019-06-09,19.0
2019-06-23,15.0
2019-06-30,25.0
2019-07-07,22.0
2019-07-14,21.0
2019-07-28,15.0
2019-08-04,23.0
2019-08-11,40.0
2019-08-25,31.0
2019-09-01,10.0
2019-09-08,9.0
2019-09-15,43.0
2019-09-22,26.0
2019-09-29,8.0
2019-10-06,33.0
2019-10-13,20.0
2019-10-20,14.0
2019-10-27,26.0
2019-11-03,53.0
2019-11-10,34.0
2019-11-17,39.0
2019-11-24,13.0
2019-12-01,19.0
2019-12-08,28.0
2019-12-15,18.0
2019-12-22,20.0
2019-12-29,27.0
2020-01-05,32.0
2020-01-12,24.0
2020-01-19,19.0
2020-01-26,10.0
2020-02-02,35.0
2020-02-09,26.0
2020-02-16,42.0
2020-02-23,30.0
2020-03-01,28.0
2020-03-08,20.0
2020-03-15,10.0
2020-03-29,15.0
2020-04-05,10.0
2020-04-19,9.0
2020-04-26,31.0
2020-05-03,26.0
2020-05-17,15.0
2020-05-24,14.0
2020-05-31,48.0
2020-06-07,20.0
2020-06-14,26.0
2020-06-21,30.0
2020-06-28,18.0
2020-07-05,20.0
2020-07-12,11.0
2020-07-19,27.0
2020-08-02,18.0
2020-08-09,20.0
2020-08-16,15.0
2020-08-23,14.0
2020-08-30,18.0
2020-09-06,32.0
2020-09-13,17.0
2020-09-20,36.0
2020-10-04,17.0
2020-10-11,27.0
2020-10-18,27.0
2020-10-25,21.0
2020-11-01,20.0
2020-11-08,58.0
2020-11-15,12.0
2020-11-22,16.0
2020-11-29,37.0
2020-12-06,23.0
2020-12-13,17.0
2020-12-20,25.0
2020-12-27,30.0
2021-01-03,26.0
2021-01-10,41.0
2021-01-17,22.0
2021-01-24,50.0
2021-01-31,44.0
2021-02-07,33.0
2021-02-14,35.0
2021-02-21,20.0
2021-02-28,24.0
2021-03-14,19.0
2021-03-28,17.0
2021-04-04,26.0
2021-04-11,58.0
2021-04-25,11.0
2021-05-02,34.0
2021-05-09,23.0
2021-05-16,29.0
2021-05-23,90.0
2021-05-30,26.0
2021-06-06,28.0
2021-06-13,10.0
2021-07-04,25.0
2021-07-11,28.0
2021-07-18,35.0
2021-07-25,12.0
2021-08-01,16.0
2021-08-15,21.0
2021-08-29,25.0
2021-09-05,41.0
2021-09-12,24.0
2021-09-19,22.0
2021-09-26,44.0
2021-10-10,13.0
2021-10-17,38.0
2021-10-24,10.0
2021-10-31,17.0
2021-11-07,38.0
2021-11-14,19.0
2021-11-21,20.0
2021-11-28,8.0
2021-12-05,26.0
2021-12-12,41.0
2021-12-19,28.0
2021-12-26,13.0
2022-01-02,19.0
2022-01-16,17.0
2022-01-23,41.0
2022-01-30,22.0
2022-02-06,33.0
2022-02-13,25.0
2022-02-20,17.0
2022-02-27,13.0
2022-03-13,14.0
2022-03-27,16.0
2022-04-03,26.0
2022-04-10,25.0
2022-04-24,30.0
2022-05-01,13.0
2022-05-08,32.0
2022-05-15,27.0
2022-05-22,25.0
2022-05-29,19.0
2022-06-05,18.0
2022-06-12,10.0
2022-06-19,36.0
2022-06-26,28.0
2022-07-03,33.0
2022-07-10,30.0
2022-07-17,11.0
2022-07-24,25.0
2022-07-31,24.0
2022-08-07,36.0
2022-08-14,25.0
2022-08-21,18.0
2022-09-04,45.0
2022-09-11,25.0
2022-09-18,37.0
2022-09-25,46.0
2022-10-02,15.0
2022-10-09,13.0
2022-10-16,11.0
2022-10-23,36.0
2022-10-30,32.0
2022-11-06,25.0
2022-11-13,42.0
2022-11-20,31.0
2022-11-27,8.0
2022-12-04,40.0
2022-12-11,53.0
2022-12-18,43.0
2022-12-25,25.0
