date,Atlanta GA
2017-01-01,42.597
2017-01-08,38.752
2017-01-15,20.337
2017-01-22,40.675
2017-01-29,33.794
2017-02-05,39.056
2017-02-19,14.874
2017-02-26,13.153
2017-03-05,15.481
2017-03-12,22.892
2017-03-19,26.56
2017-03-26,16.189
2017-04-02,31.366
2017-04-09,11.13
2017-04-16,20.034
2017-04-23,19.947
2017-04-30,26.813
2017-05-07,32.681
2017-05-14,34.3
2017-05-21,59.798
2017-05-28,16.189
2017-06-04,45.127
2017-06-11,57.268
2017-06-18,36.627
2017-06-25,28.584
2017-07-02,33.693
2017-07-09,47.934
2017-07-16,36.425
2017-07-23,50.084
2017-07-30,21.45
2017-08-06,19.857
2017-08-13,24.283
2017-08-20,46.746
2017-08-27,58.988
2017-09-03,36.223
2017-09-10,17.201
2017-09-17,20.742
2017-09-24,14.165
2017-10-01,26.206
2017-10-08,15.29
2017-10-15,23.525
2017-10-22,42.091
2017-10-29,18.718
2017-11-05,63.44
2017-11-12,56.56
2017-11-19,38.145
2017-11-26,22.26
2017-12-03,32.125
2017-12-10,25.548
2017-12-17,23.777
2017-12-24,33.39
2017-12-31,25.599
2018-01-07,41.181
2018-01-14,48.671
2018-01-21,41.898
2018-01-28,30.884
2018-02-04,28.25
2018-02-11,41.481
2018-02-18,30.282
2018-02-25,19.228
2018-03-04,31.774
2018-03-11,25.659
2018-03-18,17.787
2018-03-25,32.614
2018-04-01,35.538
2018-04-08,48.432
2018-04-15,44.273
2018-04-22,18.87
2018-04-29,32.479
2018-05-06,26.641
2018-05-13,25.776
2018-05-20,26.56
2018-05-27,18.745
2018-06-03,47.231
2018-06-10,23.272
2018-06-17,21.649
2018-06-24,14.682
2018-07-01,38.351
2018-07-08,25.1
2018-07-15,49.885
2018-07-22,25.642
2018-07-29,39.025
2018-08-05,31.568
2018-08-12,31.174
2018-08-19,37.545
2018-08-26,27.184
2018-09-02,28.469
2018-09-09,21.042
2018-09-16,57.275
2018-09-23,39.19
2018-09-30,31.427
2018-10-07,54.739
2018-10-14,31.26
2018-10-21,33.818
2018-10-28,32.857
2018-11-04,23.012
2018-11-11,28.064
2018-11-18,18.917
2018-11-25,39.174
2018-12-02,39.046
2018-12-09,24.067
2018-12-16,22.442
2018-12-23,35.424
2018-12-30,48.617
2019-01-06,43.828
2019-01-13,27.989
2019-01-20,39.75
2019-01-27,24.913
2019-02-03,57.357
2019-02-10,33.739
2019-02-17,43.649
2019-02-24,59.326
2019-03-03,49.882
2019-03-10,19.426
2019-03-17,25.818
2019-03-24,16.188
2019-03-31,14.165
2019-04-07,17.717
2019-04-14,28.088
2019-04-21,18.01
2019-04-28,23.342
2019-05-05,65.713
2019-05-12,20.438
2019-05-19,31.885
2019-05-26,24.445
2019-06-02,30.921
2019-06-09,21.113
2019-06-16,22.709
2019-06-23,18.361
2019-06-30,51.167
2019-07-07,41.261
2019-07-14,31.005
2019-07-21,37.312
2019-07-28,20.958
2019-08-04,27.842
2019-08-11,21.481
2019-08-18,29.214
2019-08-25,33.747
2019-09-01,31.332
2019-09-08,38.898
2019-09-15,36.25
2019-09-22,21.659
2019-09-29,34.877
2019-10-06,18.364
2019-10-13,27.926
2019-10-20,23.953
2019-10-27,33.828
2019-11-03,36.488
2019-11-10,25.761
2019-11-17,48.03
2019-11-24,19.224
2019-12-01,55.734
2019-12-08,66.28
2019-12-15,32.378
2019-12-22,32.757
2019-12-29,32.587
2020-01-05,33.98
2020-01-12,27.953
2020-01-19,23.777
