,MVT_GT_Austin TX
2017-01-08,55.0
2017-01-15,25.0
2017-01-22,26.0
2017-01-29,23.0
2017-02-05,26.0
2017-03-05,52.0
2017-03-26,33.0
2017-04-02,20.0
2017-05-21,41.0
2017-06-25,66.0
2017-07-30,62.0
2017-08-06,24.0
2017-08-27,72.0
2017-09-10,15.0
2017-10-22,57.0
2017-11-05,21.0
2017-11-12,61.0
2017-12-10,66.0
2018-01-14,82.0
2018-04-01,22.0
2018-05-06,30.0
2018-05-13,29.0
2018-06-10,20.0
2018-06-24,35.0
2018-07-01,29.0
2018-07-15,36.0
2018-07-29,20.0
2018-08-12,27.0
2018-08-19,53.0
2018-08-26,47.0
2018-09-02,29.0
2018-10-07,90.0
2018-11-04,22.0
2018-11-11,24.0
2018-11-25,28.0
2018-12-23,30.0
2018-12-30,30.0
2019-02-03,24.0
2019-02-10,28.0
2019-02-17,29.0
2019-02-24,54.0
2019-03-03,26.0
2019-03-17,64.0
2019-04-28,39.0
2019-05-12,30.0
2019-05-19,67.0
2019-08-11,27.0
2019-08-18,44.0
2019-09-01,36.0
2019-09-08,74.0
2019-10-06,36.0
2019-10-13,24.0
2019-10-20,21.0
2019-10-27,33.0
2019-11-03,25.0
2019-12-22,44.0
2020-01-12,22.0
2020-01-19,35.0
2020-01-26,31.0
2020-02-02,36.0
2020-02-09,31.0
2020-02-16,29.0
2020-02-23,42.0
2020-03-15,18.0
2020-04-26,62.0
2020-05-10,36.0
2020-05-31,79.0
2020-06-07,30.0
2020-06-21,17.0
2020-07-19,70.0
2020-08-09,55.0
2020-09-06,33.0
2020-09-27,22.0
2020-10-04,26.0
2020-10-11,100.0
2020-11-08,60.0
2020-11-29,35.0
2020-12-13,21.0
2021-01-03,30.0
2021-01-31,53.0
2021-02-07,53.0
2021-02-28,22.0
2021-03-07,31.0
2021-03-14,70.0
2021-04-18,39.0
2021-06-13,53.0
2021-06-20,45.0
2021-07-04,39.0
2021-07-25,20.0
2021-08-29,22.0
2021-09-05,88.0
2021-09-12,79.0
2021-10-10,46.0
2021-10-24,18.0
2021-11-14,63.0
2021-12-12,26.0
2021-12-19,85.0
2022-01-23,34.0
2022-02-13,23.0
2022-02-27,17.0
2022-03-13,36.0
2022-03-20,19.0
2022-03-27,14.0
2022-04-10,30.0
2022-04-17,40.0
2022-04-24,42.0
2022-05-01,20.0
2022-05-08,17.0
2022-05-15,24.0
2022-06-12,29.0
2022-06-19,27.0
2022-06-26,37.0
2022-07-03,33.0
2022-07-17,32.0
2022-07-24,19.0
2022-08-07,33.0
2022-08-14,24.0
2022-08-21,23.0
2022-09-18,20.0
2022-10-02,28.0
2022-10-16,15.0
2022-10-30,20.0
2022-11-06,20.0
2022-11-13,29.0
2022-11-20,28.0
2022-12-04,24.0
2022-12-11,16.0
2022-12-18,33.0
2022-12-25,45.0
