,MVT_GT_Bakersfield CA
2017-01-29,33.0
2017-02-12,44.0
2017-03-26,56.0
2017-04-30,25.0
2017-05-28,28.0
2017-07-23,23.0
2017-10-01,22.0
2017-11-05,21.0
2017-12-10,20.0
2017-12-17,39.0
2017-12-24,29.0
2017-12-31,32.0
2018-01-07,32.0
2018-01-21,43.0
2018-02-04,29.0
2018-03-25,37.0
2018-04-01,40.0
2018-04-08,22.0
2018-04-29,23.0
2018-05-06,20.0
2018-05-20,65.0
2018-05-27,24.0
2018-06-03,26.0
2018-06-10,56.0
2018-06-24,21.0
2018-07-01,31.0
2018-07-15,26.0
2018-07-29,38.0
2018-08-05,57.0
2018-09-09,19.0
2018-09-16,31.0
2018-11-25,35.0
2018-12-02,24.0
2018-12-23,100.0
2018-12-30,81.0
2019-01-13,34.0
2019-01-27,24.0
2019-06-30,55.0
2019-07-07,23.0
2019-07-21,34.0
2019-08-04,46.0
2019-08-25,19.0
2019-12-15,22.0
2020-02-02,71.0
2020-02-16,32.0
2020-02-23,52.0
2020-03-08,14.0
2020-03-29,14.0
2020-04-05,19.0
2020-04-19,16.0
2020-04-26,26.0
2020-06-14,26.0
2020-07-19,22.0
2020-07-26,20.0
2020-08-16,27.0
2020-09-06,32.0
2020-09-13,52.0
2020-09-20,19.0
2020-10-11,56.0
2020-10-25,40.0
2020-12-20,17.0
2021-01-31,46.0
2021-03-14,15.0
2021-03-21,27.0
2021-04-04,18.0
2021-04-11,30.0
2021-04-25,33.0
2021-05-16,39.0
2021-06-06,23.0
2021-06-13,26.0
2021-07-04,88.0
2021-08-22,62.0
2021-08-29,26.0
2021-09-12,17.0
2021-09-19,50.0
2021-10-03,27.0
2021-10-17,41.0
2021-10-24,20.0
2021-11-21,17.0
2021-12-12,25.0
2022-02-13,31.0
2022-02-27,18.0
2022-03-20,15.0
2022-04-10,22.0
2022-04-24,27.0
2022-05-15,17.0
2022-06-19,35.0
2022-06-26,21.0
2022-07-24,56.0
2022-07-31,36.0
2022-09-25,20.0
2022-10-09,28.0
2022-10-16,20.0
2022-11-06,39.0
2022-11-20,27.0
2022-11-27,42.0
2022-12-04,31.0
