date,Baltimore MD
2017-01-01,24.0
2017-01-08,49.0
2017-01-15,39.0
2017-01-22,44.0
2017-01-29,24.0
2017-02-05,69.0
2017-02-26,32.0
2017-03-05,31.0
2017-03-12,26.0
2017-03-19,22.143
2017-03-26,51.0
2017-04-02,52.0
2017-04-09,26.0
2017-04-16,44.286
2017-04-23,56.0
2017-04-30,25.5
2017-05-14,59.857
2017-06-04,32.2
2017-06-18,43.7
2017-07-09,46.0
2017-07-16,24.0
2017-07-30,19.5
2017-08-06,40.2
2017-08-20,39.0
2017-09-03,27.0
2017-09-10,25.7
2017-09-17,43.167
2017-09-24,58.429
2017-10-01,22.5
2017-10-15,76.5
2017-10-22,27.714
2017-10-29,55.143
2017-11-19,100.0
2017-11-26,36.875
2017-12-17,34.0
2017-12-24,49.286
2017-12-31,43.6
2018-01-07,49.787
2018-01-14,35.023
2018-01-21,56.682
2018-01-28,23.015
2018-02-04,39.0
2018-02-11,39.83
2018-02-25,33.022
2018-03-04,44.029
2018-03-11,24.132
2018-03-18,53.035
2018-03-25,32.998
2018-04-15,39.8
2018-04-22,22.617
2018-05-13,20.0
2018-05-20,19.0
2018-05-27,37.351
2018-06-03,50.11
2018-06-10,51.695
2018-06-17,53.521
2018-06-24,86.431
2018-07-01,57.652
2018-07-08,36.11
2018-07-15,38.0
2018-07-22,23.063
2018-08-05,38.123
2018-08-12,30.0
2018-08-19,42.687
2018-08-26,38.732
2018-09-09,32.786
2018-09-16,48.081
2018-09-30,63.075
2018-10-07,30.442
2018-11-04,23.566
2018-11-18,43.306
2018-11-25,43.313
2018-12-02,45.141
2018-12-09,29.612
2018-12-16,26.278
2018-12-23,29.849
2018-12-30,35.391
2019-01-13,32.362
2019-02-03,77.05
2019-02-10,42.277
2019-03-03,41.253
2019-03-10,58.647
2019-03-31,36.769
2019-04-07,70.947
2019-04-14,50.347
2019-04-28,24.709
2019-05-05,40.62
2019-05-12,43.311
2019-05-26,32.441
2019-06-02,23.015
2019-06-16,50.0
2019-06-23,22.631
2019-07-07,49.072
2019-07-21,43.37
2019-08-18,85.883
2019-08-25,38.47
2019-09-01,34.827
2019-09-08,18.839
2019-09-15,16.0
2019-09-22,70.188
2019-09-29,21.858
2019-10-06,62.83
2019-10-20,41.219
2019-10-27,35.924
2019-11-03,30.236
2019-11-10,21.333
2019-11-17,31.29
2019-11-24,21.151
2019-12-01,48.793
2019-12-08,31.646
2019-12-15,20.0
2019-12-29,29.0
2020-01-05,33.524
2020-01-12,25.43
2020-01-19,68.182
2020-01-26,54.766
2020-02-02,28.682
2020-02-09,25.267
2020-02-23,48.252
2020-03-01,27.919
2020-03-15,40.063
2020-03-22,17.894
2020-03-29,77.357
2020-04-05,18.012
2020-04-12,26.651
2020-04-19,17.744
2020-04-26,32.618
2020-05-03,32.729
2020-05-10,19.277
2020-05-17,40.198
2020-05-24,21.0
2020-05-31,34.655
2020-06-07,29.529
2020-06-14,22.96
2020-06-21,21.297
2020-06-28,17.894
2020-07-05,52.715
2020-07-12,17.0
2020-07-19,23.782
2020-07-26,32.362
2020-08-02,35.774
2020-08-09,48.593
2020-08-16,50.0
2020-08-23,17.721
2020-09-06,23.641
2020-09-13,17.011
2020-09-20,53.035
2020-09-27,49.0
2020-10-11,23.439
2020-10-18,27.421
2020-10-25,31.733
2020-11-01,35.78
2020-11-29,19.0
2020-12-06,47.834
2020-12-13,38.237
2020-12-20,21.476
2020-12-27,48.885
2021-01-03,29.859
2021-01-10,43.502
2021-01-17,24.894
2021-01-24,66.0
2021-01-31,19.863
2021-02-07,33.3
2021-02-14,62.76
2021-02-21,30.416
2021-03-07,32.01
2021-03-14,21.16
2021-03-21,69.624
2021-03-28,37.085
2021-04-04,34.387
2021-04-11,20.013
2021-04-18,43.871
2021-04-25,42.319
2021-05-02,41.395
2021-05-09,28.532
2021-05-16,58.036
2021-05-23,41.996
2021-05-30,47.333
2021-06-06,73.673
2021-06-13,32.994
2021-06-20,19.0
2021-06-27,58.5
2021-07-04,42.319
2021-07-11,48.827
2021-07-18,58.449
2021-07-25,36.937
2021-08-01,34.342
2021-08-15,28.879
2021-08-22,27.777
2021-08-29,72.583
2021-09-05,33.0
2021-09-12,34.385
2021-09-26,28.018
2021-10-03,52.606
2021-10-10,53.0
2021-10-17,42.013
2021-10-24,19.387
2021-10-31,18.421
2021-11-07,54.309
2021-11-14,20.927
2021-11-21,53.088
2021-11-28,41.027
2021-12-05,20.562
2021-12-12,25.009
2021-12-19,21.0
2021-12-26,41.45
2022-01-02,51.089
2022-01-09,19.568
2022-01-23,46.13
2022-01-30,39.83
2022-02-06,29.943
2022-02-13,28.278
2022-02-20,20.21
2022-02-27,22.013
2022-03-06,27.815
2022-03-13,22.692
2022-03-20,19.0
2022-03-27,17.0
2022-04-03,25.124
2022-04-10,28.477
2022-04-17,20.827
2022-04-24,23.04
2022-05-01,31.232
2022-05-08,22.367
2022-05-15,16.979
2022-05-22,32.603
2022-05-29,16.036
2022-06-05,25.0
2022-06-12,29.218
2022-06-19,34.287
2022-06-26,31.667
2022-07-03,34.289
2022-07-24,29.102
2022-07-31,25.399
2022-08-07,22.038
2022-08-28,26.144
2022-09-04,56.358
2022-09-11,17.355
2022-09-18,27.018
2022-09-25,20.41
2022-10-02,30.0
2022-10-09,38.581
2022-10-16,25.044
2022-10-23,24.27
2022-10-30,41.296
2022-11-06,30.09
2022-11-13,29.905
2022-11-20,15.12
2022-11-27,22.99
2022-12-04,38.585
2022-12-11,50.95
2022-12-18,30.693
2022-12-25,19.914
