,MVT_GT_Chicago IL
2017-01-08,50.0
2017-01-15,36.0
2017-01-22,18.0
2017-01-29,24.0
2017-02-05,10.0
2017-02-12,35.0
2017-02-19,28.0
2017-03-05,35.0
2017-03-12,32.0
2017-03-19,29.0
2017-03-26,17.0
2017-04-02,30.0
2017-04-23,39.0
2017-04-30,53.0
2017-05-07,41.0
2017-05-14,58.0
2017-05-21,40.0
2017-05-28,24.0
2017-06-11,20.0
2017-06-25,21.0
2017-07-02,100.0
2017-07-09,31.0
2017-07-16,31.0
2017-07-30,40.0
2017-08-06,53.0
2017-08-13,43.0
2017-08-20,20.0
2017-08-27,28.0
2017-09-03,10.0
2017-09-10,49.0
2017-09-17,17.0
2017-09-24,67.0
2017-10-01,19.0
2017-10-08,24.0
2017-10-22,43.0
2017-10-29,41.0
2017-11-05,57.0
2017-11-12,66.0
2017-11-19,15.0
2017-11-26,26.0
2017-12-03,55.0
2017-12-10,60.0
2017-12-17,42.0
2017-12-31,44.0
2018-01-14,29.372318486193585
2018-01-21,30.88515705468302
2018-02-04,35.94934989713019
2018-02-11,31.897995623172456
2018-02-18,52.15476699296113
2018-02-25,24.308125643746415
2018-03-04,24.308125643746415
2018-03-11,43.03921987655623
2018-03-18,64.80882981483434
2018-03-25,21.269609938278116
2018-04-01,41.01354273957736
2018-04-15,42.02638130806679
2018-04-22,17.218255664320377
2018-04-29,42.02638130806679
2018-05-06,22.782448506767548
2018-05-13,27.846641349214718
2018-05-27,25.82096421223585
2018-06-03,22.282448506767548
2018-06-10,26.333802780725286
2018-06-17,25.82096421223585
2018-06-24,24.808125643746415
2018-07-22,25.32096421223585
2018-07-29,26.833802780725286
2018-08-05,45.064897013535095
2018-08-12,63.29599124634491
2018-08-19,35.94934989713019
2018-08-26,30.88515705468302
2018-09-02,27.846641349214718
2018-09-09,40.000704171087925
2018-09-16,18.23109423280981
2018-09-23,23.29528707525698
2018-09-30,16.205417095830946
2018-10-07,23.29528707525698
2018-10-14,22.282448506767548
2018-10-21,48.1034127190034
2018-10-28,68.36018408879207
2018-11-04,11.141224253383774
2018-11-11,30.88515705468302
2018-11-18,32.91083419166189
2018-11-25,13.166901390362643
2018-12-02,25.32096421223585
2018-12-09,28.85947991770415
2018-12-16,61.77031410936604
2018-12-23,16.205417095830946
2018-12-30,49.11625128749283
2019-01-06,33.92367276015132
2019-01-13,34.436511328640755
2019-01-20,20.25677136978868
2019-01-27,32.91083419166189
2019-02-03,47.59057415051396
2019-02-10,41.01354273957736
2019-02-17,25.32096421223585
2019-02-24,51.6419284244717
2019-03-03,70.88586122577095
2019-03-17,26.833802780725286
2019-03-31,14.679739958852075
2019-04-07,45.064897013535095
2019-04-21,55.693282698429435
2019-04-28,41.01354273957736
2019-05-05,22.782448506767548
2019-05-12,10.12838568489434
2019-05-19,40.000704171087925
2019-06-02,38.98786560259849
2019-06-09,13.666901390362643
2019-06-16,32.91083419166189
2019-06-23,37.97502703410906
2019-06-30,27.846641349214718
2019-07-07,20.75677136978868
2019-07-14,34.936511328640755
2019-07-21,36.96218846561962
2019-07-28,37.97502703410906
2019-08-04,42.02638130806679
2019-08-11,44.05205844504566
2019-08-18,35.94934989713019
2019-08-25,56.70612126691887
2019-09-01,25.82096421223585
2019-09-08,12.154062821873207
2019-09-15,15.19257852734151
2019-09-22,15.19257852734151
2019-09-29,17.718255664320377
2019-10-06,28.85947991770415
2019-10-13,33.92367276015132
2019-10-20,50.129089855982265
2019-11-03,27.846641349214718
2019-11-10,54.18044412994
2019-11-17,34.936511328640755
2019-11-24,36.96218846561962
2019-12-01,23.29528707525698
2019-12-08,34.936511328640755
2019-12-15,51.1419284244717
2019-12-22,19.743932801299245
2019-12-29,46.07773558202453
2020-01-05,66.33450695181321
2020-01-12,34.936511328640755
2020-01-19,49.61625128749283
2020-01-26,35.94934989713019
2020-02-02,11.641224253383774
2020-02-09,56.70612126691887
2020-02-16,25.82096421223585
2020-02-23,22.782448506767548
2020-03-01,33.92367276015132
2020-03-08,21.769609938278116
2020-03-22,12.154062821873207
2020-04-05,32.91083419166189
2020-04-12,9.115547116404905
2020-04-19,18.23109423280981
2020-04-26,13.166901390362643
2020-05-03,19.243932801299245
2020-05-10,10.12838568489434
2020-05-17,20.75677136978868
2020-05-24,29.372318486193585
2020-05-31,51.1419284244717
2020-06-07,17.718255664320377
2020-06-14,41.01354273957736
2020-06-21,42.02638130806679
2020-06-28,43.03921987655623
2020-07-12,61.77031410936604
2020-07-19,35.94934989713019
2020-07-26,20.75677136978868
2020-08-02,11.141224253383774
2020-08-09,25.32096421223585
2020-08-16,49.11625128749283
2020-08-23,41.01354273957736
2020-08-30,23.29528707525698
2020-09-06,24.808125643746415
2020-09-13,42.02638130806679
2020-09-20,31.897995623172456
2020-09-27,36.96218846561962
2020-10-04,36.96218846561962
2020-10-11,55.693282698429435
2020-10-18,11.641224253383774
2020-10-25,48.6034127190034
2020-11-01,46.07773558202453
2020-11-08,19.743932801299245
2020-11-15,58.23179840389774
2020-11-22,58.23179840389774
2020-11-29,21.269609938278116
2020-12-06,41.01354273957736
2020-12-20,70.88586122577095
2020-12-27,41.01354273957736
2021-01-03,33.92367276015132
2021-01-10,31.897995623172456
2021-01-17,60.257475540876605
2021-01-24,66.83450695181321
2021-01-31,95.19398686951736
2021-02-07,23.79528707525698
2021-02-14,49.61625128749283
2021-02-21,12.154062821873207
2021-02-28,22.782448506767548
2021-03-14,42.02638130806679
2021-03-21,32.91083419166189
2021-03-28,52.65476699296113
2021-04-04,32.91083419166189
2021-04-11,38.98786560259849
2021-04-18,22.782448506767548
2021-04-25,53.16760556145057
2021-05-02,52.65476699296113
2021-05-09,26.833802780725286
2021-05-16,18.73109423280981
2021-05-23,48.1034127190034
2021-05-30,41.01354273957736
2021-06-06,43.03921987655623
2021-06-13,74.43721549972868
2021-06-20,28.85947991770415
2021-06-27,19.743932801299245
2021-07-04,49.11625128749283
2021-07-11,27.846641349214718
2021-07-18,60.757475540876605
2021-07-25,27.346641349214718
2021-08-01,27.346641349214718
2021-08-15,25.32096421223585
2021-08-22,51.1419284244717
2021-08-29,32.91083419166189
2021-09-12,25.82096421223585
2021-09-19,30.88515705468302
2021-09-26,36.96218846561962
2021-10-03,28.85947991770415
2021-10-10,48.1034127190034
2021-10-17,29.872318486193585
2021-10-24,49.11625128749283
2021-10-31,32.91083419166189
2021-11-07,38.98786560259849
2021-11-14,35.44934989713019
2021-11-28,36.96218846561962
2021-12-12,66.83450695181321
2021-12-19,34.936511328640755
2021-12-26,31.897995623172456
2022-01-02,52.309533985922265
2022-01-09,80.0028166843517
2022-01-16,52.309533985922265
2022-01-30,45.12979402707019
2022-02-06,34.87302265728151
2022-02-13,47.181148301027925
2022-02-20,47.181148301027925
2022-02-27,32.821668383323775
2022-03-06,67.69469104060529
2022-03-13,23.590574150513962
2022-03-20,58.463596807795476
2022-03-27,38.975731205196986
2022-04-03,10.25677136978868
2022-04-10,43.078439753112455
2022-04-17,57.437919670816605
2022-04-24,71.79739958852076
2022-05-08,49.23250257498566
2022-05-15,38.975731205196986
2022-05-22,55.38656539685887
2022-05-29,24.61625128749283
2022-06-05,34.87302265728151
2022-06-12,32.821668383323775
2022-06-19,21.539219876556228
2022-06-26,75.90010813643623
2022-07-03,44.104116890091326
2022-07-10,82.05417095830944
2022-07-17,43.078439753112455
2022-07-24,46.15547116404906
2022-07-31,51.2838568489434
2022-08-07,62.566305355710945
2022-08-14,102.5677136978868
2022-08-21,55.38656539685887
2022-08-28,60.51495108175321
2022-09-04,30.77031410936604
2022-09-11,48.206825438006796
2022-09-18,43.078439753112455
2022-09-25,56.41224253383774
2022-10-02,63.591982492689816
2022-10-09,38.975731205196986
2022-10-16,95.38797373903472
2022-10-23,58.463596807795476
2022-10-30,42.052762616133585
2022-11-06,46.15547116404906
2022-11-13,71.79739958852076
2022-11-20,32.821668383323775
2022-11-27,46.15547116404906
2022-12-04,25.6419284244717
2022-12-11,86.15687950622491
2022-12-18,60.51495108175321
2022-12-25,43.078439753112455
