,MVT_GT_Colorado Springs-Pueblo CO
2017-01-15,62.0
2017-01-22,63.0
2017-02-26,45.0
2017-03-19,26.0
2017-04-23,73.0
2017-04-30,23.0
2017-05-07,49.0
2017-07-09,25.0
2017-08-06,47.0
2017-08-27,27.0
2017-10-01,42.0
2017-10-15,47.0
2017-10-22,29.0
2017-11-19,32.0
2017-12-10,100.0
2017-12-17,27.0
2017-12-24,25.0
2018-01-21,64.00719092827737
2018-01-28,29.343914633403998
2018-02-18,25.024552971934625
2018-04-01,38.98263795634274
2018-04-22,51.012978276163125
2018-05-27,20.70519131046525
2018-06-03,29.343914633403998
2018-06-24,19.74131897817137
2018-07-08,23.096808307346873
2018-08-12,80.85689290956711
2018-08-26,22.132935975052998
2018-09-09,23.096808307346873
2018-09-30,41.87425495322437
2018-12-30,24.060680639640747
2019-01-06,22.132935975052998
2019-01-13,65.93493559286512
2019-03-31,31.771659297991746
2019-04-07,22.632935975052998
2019-04-21,21.169063642759124
2019-05-26,21.169063642759124
2019-06-23,24.060680639640747
2019-07-14,24.060680639640747
2019-07-21,92.88723322938749
2019-08-18,44.765871950105996
2019-11-24,40.9103826209305
2020-01-05,26.952297636522374
2020-02-16,16.849701981289748
2020-02-23,23.596808307346873
2020-03-15,35.127148627167244
2020-03-22,16.849701981289748
2020-06-07,43.80199961781212
2020-06-28,23.096808307346873
2020-08-16,33.699403962579495
2020-08-30,20.20519131046525
2020-09-13,66.39880792515899
2020-09-20,19.74131897817137
2020-10-04,47.15748894698762
2020-10-18,19.74131897817137
2020-11-29,18.777446645877497
2021-01-10,22.132935975052998
2021-01-31,54.36846760533862
2021-03-21,32.23553163028562
2021-04-18,28.880042301110123
2021-04-25,23.096808307346873
2021-05-02,45.22974428239987
2021-07-11,37.05489329175499
2021-08-01,81.320765241861
2021-08-08,43.30199961781212
2021-08-15,37.05489329175499
2021-08-22,30.307786965697872
2021-09-19,19.24131897817137
2021-10-10,21.669063642759124
2021-10-24,28.380042301110123
2021-11-07,52.940722940750874
2021-11-14,23.096808307346873
2021-11-28,26.952297636522374
2022-01-23,30.615573931395744
2022-02-06,24.121361279281494
2022-02-20,21.338127285518247
2022-02-27,22.265871950105996
2022-03-20,29.687829266807995
2022-04-03,41.748509906448746
2022-04-10,37.109786583509994
2022-05-01,24.121361279281494
2022-05-08,17.627148627167248
2022-06-12,15.771659297991746
2022-07-24,74.21957316701999
2022-09-25,35.254297254334496
2022-10-09,30.615573931395744
2022-12-04,24.121361279281494
