,MVT_GT_Columbus OH
2017-01-01,42.0
2017-01-15,53.0
2017-02-05,13.0
2017-02-12,18.0
2017-02-26,35.0
2017-03-05,71.0
2017-03-19,16.0
2017-04-09,18.0
2017-04-16,26.0
2017-04-23,13.0
2017-04-30,36.0
2017-05-21,19.0
2017-06-18,20.0
2017-08-13,13.0
2017-09-10,28.0
2017-10-08,22.0
2017-10-29,23.0
2017-11-12,13.0
2017-12-24,18.0
2018-01-14,13.0
2018-02-11,12.0
2018-04-15,38.0
2018-05-20,17.0
2018-07-08,36.0
2018-07-22,18.0
2018-08-12,20.0
2018-09-02,17.0
2018-09-09,29.0
2018-09-16,27.0
2018-10-14,22.0
2018-10-28,12.0
2018-12-02,17.0
2018-12-23,27.0
2018-12-30,22.0
2019-01-06,22.0
2019-01-13,40.0
2019-02-03,46.0
2019-02-10,28.0
2019-03-10,14.0
2019-03-24,21.0
2019-04-07,100.0
2019-04-21,13.0
2019-05-05,19.0
2019-06-02,41.0
2019-06-16,17.0
2019-06-30,23.0
2019-07-21,17.0
2019-07-28,31.0
2019-08-04,15.0
2019-08-11,14.0
2019-08-25,36.0
2019-09-01,27.0
2019-09-15,23.0
2019-10-06,16.0
2019-10-20,40.0
2019-10-27,23.0
2019-11-03,21.0
2019-11-10,20.0
2019-11-24,13.0
2019-12-01,16.0
2019-12-22,17.0
2020-01-12,12.0
2020-01-19,23.0
2020-02-09,17.0
2020-02-23,12.0
2020-03-22,41.0
2020-04-05,13.0
2020-04-12,35.0
2020-04-19,13.0
2020-05-31,34.0
2020-06-07,19.0
2020-06-21,17.0
2020-07-05,26.0
2020-07-19,14.0
2020-07-26,12.0
2020-08-16,11.0
2020-08-23,23.0
2020-09-06,13.0
2020-10-04,21.0
2020-11-15,15.0
2020-11-29,13.0
2020-12-27,31.0
2021-01-10,11.0
2021-01-17,17.0
2021-01-31,14.0
2021-03-07,25.0
2021-04-18,15.0
2021-05-09,19.0
2021-05-23,15.0
2021-05-30,14.0
2021-06-13,20.0
2021-07-04,22.0
2021-07-11,40.0
2021-07-18,32.0
2021-07-25,29.0
2021-08-15,34.0
2021-08-29,16.0
2021-09-19,12.0
2021-10-24,19.0
2021-11-07,18.0
2021-11-28,18.0
2021-12-12,41.0
2021-12-26,16.0
2022-01-09,45.0
2022-01-16,54.0
2022-01-23,33.0
2022-01-30,24.0
2022-02-06,29.0
2022-02-13,11.0
2022-02-20,17.0
2022-02-27,15.0
2022-03-06,44.0
2022-03-20,24.0
2022-03-27,18.0
2022-04-03,20.0
2022-04-24,19.0
2022-05-01,25.0
2022-05-08,37.0
2022-05-22,19.0
2022-05-29,14.0
2022-06-05,14.0
2022-06-12,16.0
2022-06-19,30.0
2022-06-26,36.0
2022-07-03,33.0
2022-07-17,26.0
2022-07-24,60.0
2022-08-07,21.0
2022-08-14,24.0
2022-08-21,15.0
2022-09-11,19.0
2022-10-02,16.0
2022-10-16,35.0
2022-10-23,20.0
2022-10-30,13.0
2022-11-06,17.0
2022-11-13,25.0
2022-11-20,13.0
2022-11-27,29.0
2022-12-18,75.0
2022-12-25,15.0
