date,Columbus OH
2017-01-01,26.237
2017-01-29,19.325
2017-02-05,22.852
2017-02-12,26.449
2017-02-19,30.469
2017-02-26,44.857
2017-03-05,18.136
2017-03-12,31.527
2017-03-19,22.126
2017-04-02,30.187
2017-04-09,43.165
2017-04-16,21.498
2017-04-23,16.927
2017-05-07,16.927
2017-05-14,61.785
2017-05-21,29.792
2017-05-28,14.388
2017-06-04,39.779
2017-06-11,33.008
2017-06-18,17.774
2017-06-25,30.131
2017-07-02,20.313
2017-07-09,29.058
2017-07-16,15.235
2017-07-23,34.137
2017-07-30,19.466
2017-08-13,27.718
2017-08-20,79.558
2017-08-27,44.857
2017-09-10,35.97
2017-09-17,40.202
2017-09-24,16.927
2017-10-08,15.235
2017-10-15,26.449
2017-10-22,19.89
2017-10-29,26.068
2017-11-12,39.779
2017-12-03,18.62
2017-12-24,33.431
2018-01-07,24.641
2018-01-14,31.427
2018-02-11,31.175
2018-02-18,44.481
2018-02-25,24.769
2018-03-18,20.817
2018-03-25,40.236
2018-04-15,15.76
2018-04-22,41.472
2018-05-06,26.238
2018-05-13,60.395
2018-05-20,24.438
2018-05-27,35.417
2018-06-03,20.985
2018-06-10,22.005
2018-06-24,28.693
2018-07-01,13.542
2018-07-08,43.251
2018-07-15,25.391
2018-07-22,37.944
2018-07-29,34.69
2018-08-05,46.013
2018-08-12,44.788
2018-08-19,28.972
2018-08-26,21.159
2018-09-02,32.04
2018-09-09,13.542
2018-09-16,13.737
2018-09-23,26.435
2018-09-30,25.391
2018-10-07,37.165
2018-10-14,27.114
2018-10-21,25.83
2018-11-04,25.981
2018-11-11,18.358
2018-11-18,28.593
2018-12-02,10.156
2018-12-09,43.757
2018-12-16,27.114
2018-12-23,27.335
2019-01-06,36.052
2019-01-13,25.969
2019-01-20,46.293
2019-02-03,30.469
2019-02-10,56.709
2019-02-24,20.367
2019-03-10,27.934
2019-03-17,65.62
2019-03-31,37.264
2019-04-07,36.301
2019-04-14,19.698
2019-04-28,17.482
2019-05-05,14.65
2019-05-12,18.81
2019-05-26,27.908
2019-06-02,18.734
2019-06-16,38.863
2019-06-30,36.23
2019-07-14,11.849
2019-07-28,24.435
2019-08-04,19.31
2019-08-11,23.504
2019-08-18,42.325
2019-08-25,52.236
2019-09-01,27.779
2019-09-08,21.709
2019-09-15,33.091
2019-09-29,17.707
2019-10-06,18.533
2019-10-20,18.491
2019-10-27,24.557
2019-11-03,38.545
2019-11-10,14.388
2019-11-17,17.935
2019-11-24,39.108
2019-12-01,16.477
2019-12-08,26.517
2019-12-15,32.668
2019-12-22,23.126
2019-12-29,27.114
2020-01-12,18.621
2020-01-19,24.716
2020-01-26,30.573
2020-02-02,22.591
2020-02-09,32.24
2020-02-16,17.68
2020-02-23,27.771
2020-03-01,50.395
2020-03-22,26.05
2020-04-05,35.528
2020-04-12,11.593
2020-04-19,19.91
2020-05-03,32.162
2020-05-24,21.783
2020-05-31,18.949
2020-06-07,29.524
2020-06-14,20.109
2020-06-21,27.989
2020-06-28,55.86
2020-07-12,22.46
2020-07-19,76.087
2020-07-26,19.686
2020-08-02,29.18
2020-08-09,25.578
2020-08-16,39.206
2020-08-23,16.793
2020-08-30,20.595
2020-09-06,18.294
2020-09-13,24.056
2020-09-20,21.542
2020-09-27,16.477
2020-10-04,28.094
2020-10-18,55.944
2020-11-01,26.176
2020-11-08,26.587
2020-11-15,32.245
2020-11-22,34.62
2020-11-29,17.43
2020-12-13,57.73
2020-12-20,18.182
2020-12-27,18.529
2021-01-03,44.286
2021-01-10,26.167
2021-01-31,18.663
2021-02-07,15.235
2021-02-14,20.447
2021-02-21,11.003
2021-02-28,45.63
2021-03-14,24.943
2021-03-21,20.561
2021-04-04,19.466
2021-04-18,26.581
2021-04-25,31.037
2021-05-09,21.249
2021-05-16,48.469
2021-05-23,19.54
2021-05-30,18.416
2021-06-06,26.064
2021-06-13,52.794
2021-06-27,22.114
2021-07-04,38.386
2021-07-11,53.645
2021-07-18,38.192
2021-08-08,35.097
2021-08-15,27.711
2021-08-22,13.737
2021-08-29,32.344
2021-09-26,19.864
2021-10-03,14.307
2021-10-10,16.927
2021-10-17,30.732
2021-10-24,27.383
2021-11-07,25.071
2021-11-14,29.894
2021-11-21,10.156
2021-11-28,35.614
2021-12-05,20.295
2021-12-12,35.422
2021-12-19,40.711
2021-12-26,24.487
2022-01-02,57.083
2022-01-09,54.312
2022-01-16,47.331
2022-01-23,34.438
2022-02-06,19.001
2022-02-13,22.264
2022-02-20,24.717
2022-02-27,29.711
2022-03-06,24.426
2022-03-13,21.924
2022-03-20,36.493
2022-03-27,37.659
2022-04-03,37.104
2022-04-10,16.589
2022-04-24,23.275
2022-05-01,25.054
2022-05-08,31.924
2022-05-22,61.974
2022-06-12,26.121
2022-06-19,31.193
2022-06-26,28.862
2022-07-03,27.875
2022-07-10,71.894
2022-07-17,33.736
2022-07-24,54.901
2022-07-31,25.883
2022-08-07,24.668
2022-08-14,19.086
2022-08-21,21.873
2022-09-04,27.585
2022-09-11,38.98
2022-09-18,22.157
2022-09-25,13.425
2022-10-02,21.484
2022-10-09,31.794
2022-10-16,22.236
2022-10-23,22.659
2022-10-30,20.297
2022-11-13,24.147
2022-11-20,24.975
2022-11-27,28.472
2022-12-04,44.003
2022-12-11,22.082
2022-12-18,100.0
2022-12-25,24.786
