,MVT_GT_Dallas-Ft. Worth TX
2017-01-01,26.0
2017-01-08,35.0
2017-01-15,10.0
2017-01-22,44.0
2017-01-29,20.0
2017-02-05,13.0
2017-02-26,40.0
2017-03-05,43.0
2017-03-12,14.0
2017-03-19,21.0
2017-03-26,24.0
2017-04-09,14.0
2017-04-16,20.0
2017-04-23,13.0
2017-04-30,56.0
2017-05-14,29.0
2017-05-21,37.0
2017-05-28,26.0
2017-06-04,27.0
2017-06-11,27.0
2017-06-18,26.0
2017-06-25,33.0
2017-07-02,12.0
2017-07-09,11.0
2017-07-23,18.0
2017-07-30,41.0
2017-08-06,24.0
2017-08-13,10.0
2017-08-20,10.0
2017-08-27,21.0
2017-09-10,12.0
2017-09-17,25.0
2017-09-24,30.0
2017-10-01,27.0
2017-10-15,42.0
2017-10-22,35.0
2017-10-29,10.0
2017-11-05,10.0
2017-11-12,43.0
2017-12-03,24.0
2017-12-10,45.0
2017-12-24,23.0
2017-12-31,10.0
2018-01-14,18.0
2018-01-21,23.0
2018-01-28,28.0
2018-02-04,26.0
2018-02-18,9.0
2018-02-25,15.0
2018-03-04,60.0
2018-03-18,29.0
2018-04-01,17.0
2018-04-08,29.0
2018-04-15,17.0
2018-04-22,27.0
2018-05-06,33.0
2018-05-13,18.0
2018-05-20,18.0
2018-05-27,19.0
2018-06-03,25.0
2018-06-10,30.0
2018-06-17,30.0
2018-06-24,10.0
2018-07-01,32.0
2018-07-08,11.0
2018-07-15,35.0
2018-07-22,41.0
2018-07-29,13.0
2018-08-05,45.0
2018-08-19,43.0
2018-08-26,27.0
2018-09-02,20.0
2018-09-09,24.0
2018-09-16,28.0
2018-09-23,29.0
2018-09-30,32.0
2018-10-07,36.0
2018-10-14,76.0
2018-10-21,30.0
2018-11-04,28.0
2018-11-11,21.0
2018-11-18,24.0
2018-12-09,16.0
2018-12-16,16.0
2018-12-30,36.0
2019-01-06,39.0
2019-01-13,24.0
2019-01-20,37.0
2019-01-27,26.0
2019-02-03,34.0
2019-02-10,12.0
2019-02-17,25.0
2019-02-24,25.0
2019-03-03,26.0
2019-03-10,30.0
2019-03-17,16.0
2019-03-24,49.0
2019-03-31,58.0
2019-04-14,15.0
2019-04-21,41.0
2019-04-28,16.0
2019-05-12,26.0
2019-05-19,43.0
2019-05-26,26.0
2019-06-09,36.0
2019-06-16,42.0
2019-06-23,29.0
2019-06-30,50.0
2019-07-07,41.0
2019-07-14,100.0
2019-07-21,45.0
2019-07-28,22.0
2019-08-04,26.0
2019-08-11,37.0
2019-08-18,37.0
2019-08-25,41.0
2019-09-01,40.0
2019-09-15,40.0
2019-09-22,26.0
2019-10-06,23.0
2019-10-13,27.0
2019-10-27,16.0
2019-11-03,32.0
2019-11-17,13.0
2019-11-24,20.0
2019-12-01,31.0
2019-12-08,16.0
2019-12-22,13.0
2019-12-29,22.0
2020-01-05,26.0
2020-01-12,35.0
2020-01-19,35.0
2020-01-26,33.0
2020-02-02,14.0
2020-02-09,33.0
2020-02-16,41.0
2020-02-23,32.0
2020-03-01,25.0
2020-03-08,14.0
2020-03-15,11.0
2020-03-22,34.0
2020-03-29,22.0
2020-04-12,58.0
2020-04-19,26.0
2020-04-26,14.0
2020-05-03,30.0
2020-05-17,25.0
2020-05-24,27.0
2020-05-31,13.0
2020-06-07,9.0
2020-06-14,31.0
2020-06-21,19.0
2020-06-28,25.0
2020-07-05,26.0
2020-07-19,45.0
2020-07-26,26.0
2020-08-02,26.0
2020-08-09,8.0
2020-08-16,30.0
2020-08-23,25.0
2020-08-30,21.0
2020-09-06,24.0
2020-09-13,30.0
2020-09-20,22.0
2020-09-27,14.0
2020-10-04,25.0
2020-10-11,19.0
2020-10-18,31.0
2020-10-25,25.0
2020-11-08,38.0
2020-11-15,31.0
2020-11-22,38.0
2020-11-29,16.0
2020-12-06,15.0
2020-12-20,12.0
2020-12-27,38.0
2021-01-03,23.0
2021-01-10,41.0
2021-01-17,33.0
2021-01-24,25.0
2021-01-31,21.0
2021-02-14,19.0
2021-02-21,27.0
2021-02-28,18.0
2021-03-07,26.0
2021-03-14,20.0
2021-03-28,54.0
2021-04-18,31.0
2021-04-25,13.0
2021-05-02,24.0
