date,Dallas-Ft. Worth TX
2017-01-01,48.865
2017-01-08,45.386
2017-01-15,27.516
2017-01-22,42.223
2017-01-29,42.901
2017-02-05,42.697
2017-02-12,31.311
2017-02-19,33.345
2017-02-26,69.581
2017-03-05,42.381
2017-03-12,24.195
2017-03-19,25.302
2017-03-26,29.482
2017-04-02,41.591
2017-04-09,43.104
2017-04-16,32.735
2017-04-23,41.844
2017-04-30,28.623
2017-05-07,30.995
2017-05-14,87.388
2017-05-21,49.972
2017-05-28,53.451
2017-06-04,65.469
2017-06-11,32.893
2017-06-18,67.683
2017-06-25,38.902
2017-07-02,31.628
2017-07-09,25.935
2017-07-16,57.563
2017-07-23,46.018
2017-07-30,61.042
2017-08-06,41.907
2017-08-13,27.358
2017-08-20,26.33
2017-08-27,30.363
2017-09-03,25.935
2017-09-10,37.004
2017-09-17,35.423
2017-09-24,63.572
2017-10-01,69.423
2017-10-08,11.589
2017-10-15,46.651
2017-10-22,33.051
2017-10-29,51.237
2017-11-05,18.344
2017-11-12,29.414
2017-11-19,71.321
2017-11-26,29.572
2017-12-03,46.683
2017-12-10,39.377
2017-12-17,19.688
2017-12-24,39.218
2017-12-31,45.386
2018-01-07,25.52
2018-01-14,53.612
2018-01-21,35.124
2018-01-28,56.004
2018-02-04,45.968
2018-02-11,38.072
2018-02-18,40.947
2018-02-25,12.809
2018-03-04,39.394
2018-03-11,37.921
2018-03-18,38.434
2018-03-25,36.095
2018-04-01,52.799
2018-04-08,34.305
2018-04-15,59.004
2018-04-22,27.048
2018-04-29,24.298
2018-05-06,48.636
2018-05-13,35.602
2018-05-20,32.324
2018-05-27,42.319
2018-06-03,29.712
2018-06-10,32.592
2018-06-17,18.502
2018-06-24,24.838
2018-07-01,31.555
2018-07-08,37.004
2018-07-15,38.464
2018-07-22,75.235
2018-07-29,72.707
2018-08-05,47.457
2018-08-12,14.625
2018-08-19,31.569
2018-08-26,48.946
2018-09-02,37.598
2018-09-09,46.332
2018-09-16,44.099
2018-09-23,52.534
2018-09-30,45.433
2018-10-07,60.153
2018-10-14,35.216
2018-10-21,44.504
2018-10-28,46.469
2018-11-04,57.827
2018-11-11,57.718
2018-11-18,55.522
2018-11-25,33.015
2018-12-02,24.606
2018-12-09,34.496
2018-12-16,34.102
2018-12-23,39.23
2018-12-30,45.741
2019-01-06,61.645
2019-01-13,29.228
2019-01-20,42.306
2019-01-27,33.708
2019-02-03,67.555
2019-02-10,60.174
2019-02-17,46.854
2019-02-24,46.947
2019-03-03,35.08
2019-03-10,56.62
2019-03-17,54.417
2019-03-24,32.914
2019-03-31,61.624
2019-04-07,32.423
2019-04-14,26.663
2019-04-21,39.852
2019-04-28,31.71
2019-05-05,34.282
2019-05-12,41.802
2019-05-19,53.635
2019-05-26,31.869
2019-06-02,31.944
2019-06-09,25.563
2019-06-16,60.739
2019-06-23,34.029
2019-06-30,73.933
2019-07-07,58.858
2019-07-14,51.1
2019-07-21,44.337
2019-07-28,35.762
2019-08-04,59.852
2019-08-11,79.856
2019-08-18,52.223
2019-08-25,43.852
2019-09-01,25.359
2019-09-08,30.538
2019-09-15,26.71
2019-09-22,15.656
2019-09-29,18.891
2019-10-06,32.928
2019-10-13,45.428
2019-10-20,26.073
2019-10-27,50.192
2019-11-03,43.528
2019-11-10,29.741
2019-11-17,57.811
2019-11-24,47.225
2019-12-01,79.783
2019-12-08,83.283
2019-12-15,30.955
2019-12-22,51.746
2019-12-29,20.518
2020-01-05,31.171
2020-01-12,49.731
2020-01-19,24.202
2020-01-26,47.481
2020-02-02,43.051
2020-02-09,34.623
2020-02-16,46.447
2020-02-23,30.008
2020-03-01,33.777
2020-03-08,33.7
2020-03-15,15.656
2020-03-22,15.656
2020-03-29,32.379
2020-04-05,46.065
2020-04-12,27.924
2020-04-19,38.45
2020-04-26,29.762
2020-05-03,26.83
2020-05-10,30.535
2020-05-17,50.065
2020-05-24,59.639
2020-05-31,21.878
2020-06-07,24.195
2020-06-14,57.412
2020-06-21,16.85
2020-06-28,39.555
2020-07-05,29.568
2020-07-12,24.786
2020-07-19,43.162
2020-07-26,14.441
2020-08-02,39.814
2020-08-09,29.687
2020-08-16,37.519
2020-08-23,48.854
2020-08-30,49.635
2020-09-06,27.445
2020-09-13,42.173
2020-09-20,31.626
2020-09-27,22.761
2020-10-04,40.085
2020-10-11,30.92
2020-10-18,100.0
2020-10-25,40.076
2020-11-01,29.433
2020-11-08,34.719
2020-11-15,78.743
2020-11-22,50.194
2020-11-29,20.723
2020-12-06,20.006
2020-12-13,30.895
2020-12-20,31.355
2020-12-27,47.023
2021-01-03,22.772
2021-01-10,75.52
2021-01-17,38.541
2021-01-24,40.603
2021-01-31,32.566
2021-02-07,33.457
2021-02-14,35.602
2021-02-21,49.159
2021-02-28,34.004
2021-03-07,21.387
2021-03-14,33.931
2021-03-21,30.553
2021-03-28,64.461
2021-04-04,29.147
2021-04-11,54.251
2021-04-18,50.043
2021-04-25,29.041
2021-05-02,46.309
2021-05-09,21.977
2021-05-16,32.362
2021-05-23,49.992
2021-05-30,41.57
2021-06-06,40.296
2021-06-13,56.603
2021-06-20,41.614
2021-06-27,48.697
2021-07-04,42.09
2021-07-11,26.715
2021-07-18,41.978
2021-07-25,62.291
2021-08-01,30.265
2021-08-08,67.571
2021-08-15,49.142
2021-08-22,67.373
2021-08-29,36.755
2021-09-05,54.887
2021-09-12,46.672
2021-09-19,63.896
2021-09-26,24.646
2021-10-10,32.696
2021-10-17,55.198
2021-10-24,42.107
2021-10-31,43.606
2021-11-07,53.572
2021-11-14,25.618
2021-11-21,18.502
2021-11-28,35.771
2021-12-05,30.208
2021-12-12,52.034
2021-12-19,37.669
2021-12-26,47.942
2022-01-02,28.153
2022-01-09,41.274
2022-01-16,33.204
2022-01-23,23.289
2022-01-30,53.367
2022-02-06,47.725
2022-02-13,76.963
2022-02-20,35.001
2022-02-27,54.66
2022-03-06,33.821
2022-03-13,52.345
2022-03-20,43.604
2022-03-27,38.873
2022-04-03,42.218
2022-04-10,43.54
2022-04-17,64.541
2022-04-24,49.541
2022-05-01,50.278
2022-05-08,44.148
2022-05-15,42.216
2022-05-22,21.149
2022-05-29,39.631
2022-06-05,32.003
2022-06-12,36.999
2022-06-19,44.372
2022-06-26,51.489
2022-07-03,45.054
2022-07-10,73.553
2022-07-17,21.622
2022-07-24,45.209
2022-07-31,22.498
2022-08-07,58.602
2022-08-14,61.086
2022-08-21,36.041
2022-08-28,73.906
2022-09-04,63.709
2022-09-11,67.869
2022-09-18,44.643
2022-09-25,18.015
2022-10-02,54.286
2022-10-09,31.786
2022-10-16,22.772
2022-10-23,49.12
2022-10-30,74.789
2022-11-06,42.951
2022-11-13,49.04
2022-11-20,48.712
2022-11-27,34.768
2022-12-04,48.971
2022-12-11,21.071
2022-12-18,37.727
2022-12-25,54.074
