,MVT_GT_Denver CO
2017-01-08,28.0
2017-01-15,13.0
2017-01-22,31.0
2017-02-12,24.0
2017-02-19,25.0
2017-02-26,19.0
2017-03-05,10.0
2017-03-26,18.0
2017-04-02,52.0
2017-04-09,22.0
2017-04-23,21.0
2017-05-07,12.0
2017-05-14,18.0
2017-05-28,19.0
2017-06-04,13.0
2017-06-18,16.0
2017-06-25,15.0
2017-07-02,26.0
2017-07-16,19.0
2017-08-20,21.0
2017-08-27,23.0
2017-09-03,12.0
2017-09-10,16.0
2017-09-24,23.0
2017-10-22,45.0
2017-10-29,22.0
2017-11-05,24.0
2017-11-12,25.0
2017-12-03,14.0
2017-12-10,31.0
2018-01-07,65.0
2018-01-14,28.0
2018-01-21,20.0
2018-01-28,20.0
2018-02-11,14.0
2018-02-18,23.0
2018-03-04,30.0
2018-03-11,14.0
2018-03-25,36.0
2018-04-01,27.0
2018-04-08,36.0
2018-04-22,17.0
2018-04-29,21.0
2018-05-13,38.0
2018-05-20,31.0
2018-05-27,15.0
2018-06-10,18.0
2018-06-17,22.0
2018-06-24,23.0
2018-07-08,24.0
2018-07-22,15.0
2018-08-05,36.0
2018-08-19,12.0
2018-08-26,21.0
2018-09-16,30.0
2018-09-23,23.0
2018-10-07,33.0
2018-10-21,32.0
2018-11-25,15.0
2018-12-30,22.0
2019-01-06,26.0
2019-01-20,17.0
2019-01-27,12.0
2019-02-03,44.0
2019-02-24,26.0
2019-03-10,37.0
2019-03-17,33.0
2019-03-31,23.0
2019-04-07,21.0
2019-05-05,25.0
2019-05-12,14.0
2019-05-19,29.0
2019-06-02,27.0
2019-06-16,25.0
2019-06-23,13.0
2019-06-30,39.0
2019-07-07,12.0
2019-07-14,57.0
2019-07-21,15.0
2019-07-28,18.0
2019-08-11,26.0
2019-08-25,23.0
2019-09-01,17.0
2019-09-08,11.0
2019-09-15,33.0
2019-09-22,28.0
2019-10-06,19.0
2019-10-20,13.0
2019-11-03,10.0
2019-11-10,48.0
2019-11-17,21.0
2019-11-24,19.0
2019-12-01,39.0
2019-12-08,14.0
2019-12-15,28.0
2019-12-22,15.0
2020-01-05,29.0
2020-01-12,13.0
2020-01-19,16.0
2020-01-26,43.0
2020-02-02,46.0
2020-02-16,20.0
2020-02-23,20.0
2020-03-01,17.0
2020-04-05,68.0
2020-04-19,14.0
2020-04-26,13.0
2020-05-03,15.0
2020-05-10,27.0
2020-05-17,11.0
2020-05-24,9.0
2020-05-31,18.0
2020-06-07,19.0
2020-06-14,32.0
2020-06-28,39.0
2020-07-05,24.0
2020-07-12,37.0
2020-07-19,19.0
2020-07-26,26.0
2020-08-09,23.0
2020-08-16,25.0
2020-09-06,24.0
2020-09-13,20.0
2020-09-20,18.0
2020-10-04,48.0
2020-10-18,17.0
2020-10-25,34.0
2020-11-08,23.0
2020-11-15,26.0
2020-11-22,42.0
2020-12-13,44.0
2020-12-20,24.0
2020-12-27,53.0
2021-01-03,60.0
2021-01-10,41.0
2021-01-17,12.0
2021-01-24,41.0
2021-01-31,41.0
2021-02-07,33.0
2021-02-14,22.0
2021-02-28,14.0
2021-03-07,36.0
2021-03-14,12.0
2021-03-21,34.0
2021-03-28,24.0
2021-04-11,16.0
2021-04-18,51.0
2021-04-25,31.0
2021-05-02,29.0
2021-05-16,30.0
2021-05-23,30.0
2021-05-30,36.0
2021-06-06,47.0
2021-06-13,20.0
2021-06-20,46.0
2021-06-27,60.0
2021-07-04,44.0
2021-07-11,39.0
2021-07-18,35.0
2021-07-25,12.0
2021-08-01,20.0
2021-08-08,34.0
2021-08-15,41.0
2021-08-22,17.0
2021-09-12,100.0
2021-09-19,29.0
2021-09-26,41.0
2021-10-03,39.0
2021-10-17,20.0
2021-10-24,25.0
2021-10-31,46.0
2021-11-07,34.0
2021-11-21,30.0
2021-11-28,18.0
2021-12-12,27.0
2021-12-19,27.0
2021-12-26,22.0
2022-01-02,47.0
2022-01-09,48.0
2022-01-16,70.0
2022-01-23,73.0
2022-01-30,60.0
2022-02-13,21.0
2022-02-20,26.0
2022-02-27,47.0
2022-03-06,60.0
2022-03-13,32.0
2022-03-27,24.0
2022-04-03,22.0
2022-04-10,39.0
2022-04-24,31.0
2022-05-01,33.0
2022-05-15,19.0
2022-05-22,23.0
2022-06-05,35.0
2022-06-12,16.0
2022-06-19,42.0
2022-06-26,70.0
2022-07-03,32.0
2022-07-10,35.0
2022-07-17,25.0
2022-07-24,47.0
2022-07-31,27.0
2022-08-07,38.0
2022-08-14,47.0
2022-08-21,31.0
2022-09-04,53.0
2022-09-18,22.0
2022-09-25,40.0
2022-10-02,12.0
2022-10-09,50.0
2022-10-16,43.0
2022-10-23,39.0
2022-10-30,49.0
2022-11-06,35.0
2022-11-13,31.0
2022-11-20,37.0
2022-11-27,26.0
2022-12-04,28.0
2022-12-11,47.0
2022-12-18,38.0
2022-12-25,22.0
