date,Detroit MI
2017-01-01,47.42
2017-01-08,30.345
2017-01-15,36.191
2017-01-22,52.802
2017-01-29,40.089
2017-02-05,31.83
2017-02-12,31.366
2017-02-19,65.887
2017-02-26,24.128
2017-03-05,35.171
2017-03-12,56.7
2017-03-19,37.398
2017-03-26,29.51
2017-04-02,47.29
2017-04-09,31.923
2017-04-16,18.315
2017-04-23,38.604
2017-04-30,36.841
2017-05-14,77.487
2017-05-21,37.742
2017-05-28,49.926
2017-06-04,28.953
2017-06-11,31.737
2017-06-18,22.921
2017-06-25,37.862
2017-07-02,43.522
2017-07-09,70.372
2017-07-16,27.988
2017-07-23,26.54
2017-07-30,32.665
2017-08-06,29.677
2017-08-13,47.791
2017-08-20,49.462
2017-08-27,55.493
2017-09-10,24.61
2017-09-17,16.889
2017-09-24,34.813
2017-10-08,38.14
2017-10-15,48.945
2017-11-05,27.19
2017-11-12,32.572
2017-11-19,16.889
2017-11-26,35.655
2017-12-10,20.508
2017-12-17,50.496
2017-12-24,32.745
2017-12-31,22.55
2018-01-07,41.173
2018-01-14,21.745
2018-01-21,34.226
2018-01-28,37.398
2018-02-04,20.925
2018-02-11,41.026
2018-02-18,53.35
2018-02-25,24.15
2018-03-04,30.142
2018-03-11,20.434
2018-03-18,70.136
2018-03-25,23.248
2018-04-01,27.533
2018-04-08,33.627
2018-04-15,35.573
2018-04-22,35.149
2018-04-29,55.083
2018-05-06,38.364
2018-05-13,33.993
2018-05-20,61.38
2018-05-27,30.088
2018-06-03,20.632
2018-06-10,26.358
2018-06-17,22.624
2018-06-24,25.467
2018-07-01,29.618
2018-07-08,26.54
2018-07-15,19.302
2018-07-22,41.452
2018-07-29,34.176
2018-08-05,38.368
2018-08-12,26.981
2018-08-19,38.643
2018-08-26,28.436
2018-09-02,26.492
2018-09-09,49.789
2018-09-16,37.796
2018-09-23,70.422
2018-10-07,36.555
2018-10-14,28.962
2018-10-21,42.951
2018-11-11,24.887
2018-11-25,19.006
2018-12-09,40.724
2018-12-16,28.521
2018-12-23,63.349
2018-12-30,40.648
2019-01-06,34.913
2019-01-13,53.036
2019-01-20,100.0
2019-01-27,26.011
2019-02-03,22.029
2019-02-10,34.477
2019-02-17,21.648
2019-02-24,23.827
2019-03-03,43.012
2019-03-10,50.056
2019-03-17,38.026
2019-03-24,38.035
2019-03-31,24.558
2019-04-14,22.921
2019-04-21,50.022
2019-04-28,34.14
2019-05-05,44.178
2019-05-12,32.873
2019-05-19,36.869
2019-05-26,22.701
2019-06-02,30.053
2019-06-09,49.652
2019-06-16,22.921
2019-06-23,32.024
2019-06-30,44.451
2019-07-07,31.695
2019-07-14,19.302
2019-07-21,39.671
2019-07-28,30.287
2019-08-04,58.844
2019-08-11,84.146
2019-08-18,39.849
2019-08-25,46.176
2019-09-01,42.196
2019-09-08,44.13
2019-09-15,40.612
2019-09-22,51.16
2019-09-29,30.059
2019-10-06,32.19
2019-10-13,23.955
2019-10-20,36.632
2019-10-27,32.396
2019-11-03,52.372
2019-11-10,34.591
2019-11-17,27.037
2019-11-24,17.173
2019-12-01,30.591
2019-12-08,18.319
2019-12-15,31.109
2019-12-22,30.332
2019-12-29,39.714
2020-01-05,43.596
2020-01-12,71.935
2020-01-19,35.405
2020-01-26,45.682
2020-02-02,23.426
2020-02-09,38.881
2020-02-16,49.946
2020-02-23,31.302
2020-03-01,25.565
2020-03-08,23.756
2020-03-15,30.197
2020-03-22,34.059
2020-03-29,30.308
2020-04-05,18.251
2020-04-12,24.229
2020-04-19,27.164
2020-04-26,20.362
2020-05-03,44.118
2020-05-10,19.613
2020-05-17,19.231
2020-05-24,33.187
2020-05-31,46.587
2020-06-07,37.259
2020-06-14,20.648
2020-06-21,44.918
2020-06-28,38.928
2020-07-05,24.305
2020-07-12,26.73
2020-07-19,27.439
2020-07-26,23.922
2020-08-02,32.4
2020-08-09,27.786
2020-08-16,39.311
2020-08-23,25.039
2020-08-30,21.122
2020-09-06,24.854
2020-09-13,21.059
2020-09-20,22.451
2020-09-27,34.716
2020-10-04,42.504
2020-10-11,33.793
2020-10-18,38.489
2020-10-25,24.636
2020-11-01,30.591
2020-11-08,25.424
2020-11-15,25.825
2020-11-22,26.417
2020-11-29,37.111
2020-12-06,26.235
2020-12-13,30.487
2020-12-20,24.128
2020-12-27,31.62
2021-01-03,17.523
2021-01-10,34.569
2021-01-17,25.088
2021-01-24,30.264
2021-01-31,27.747
2021-02-07,33.805
2021-02-14,26.59
2021-02-21,34.123
2021-02-28,51.926
2021-03-07,36.942
2021-03-14,23.798
2021-03-28,29.886
2021-04-04,31.92
2021-04-11,33.489
2021-04-18,43.895
2021-04-25,29.987
2021-05-02,50.876
2021-05-09,22.921
2021-05-16,30.894
2021-05-23,54.911
2021-05-30,21.517
2021-06-06,67.942
2021-06-13,21.473
2021-06-20,30.454
2021-06-27,30.368
2021-07-04,60.319
2021-07-11,46.681
2021-07-18,28.084
2021-07-25,39.618
2021-08-01,44.811
2021-08-08,41.875
2021-08-15,29.661
2021-08-22,28.02
2021-08-29,25.765
2021-09-05,36.477
2021-09-12,56.751
2021-09-19,32.594
2021-09-26,61.017
2021-10-03,70.75
2021-10-10,58.004
2021-10-17,46.974
2021-10-24,34.737
2021-10-31,39.091
2021-11-07,26.54
2021-11-14,30.063
2021-11-21,25.659
2021-11-28,41.106
2021-12-05,31.368
2021-12-12,34.541
2021-12-19,25.784
2021-12-26,42.756
2022-01-02,58.894
2022-01-09,25.39
2022-01-16,40.01
2022-01-23,57.043
2022-01-30,33.168
2022-02-06,37.229
2022-02-13,36.211
2022-02-20,37.53
2022-02-27,24.704
2022-03-06,26.981
2022-03-13,41.305
2022-03-20,27.411
