,MVT_GT_El Paso TX
2017-01-22,49.0
2017-01-29,32.0
2017-03-19,40.0
2017-04-02,22.0
2017-04-30,29.0
2017-07-30,38.0
2017-08-13,33.0
2017-11-05,19.0
2017-11-12,32.0
2017-11-26,17.0
2017-12-17,30.0
2018-01-14,45.0
2018-01-21,46.0
2018-05-13,61.0
2018-06-10,46.15492827274316
2018-06-17,24.0
2018-07-01,26.0
2018-07-22,100.0
2018-08-19,28.041656012335277
2018-09-23,44.0
2018-10-07,43.0
2018-12-02,28.0
2018-12-16,24.127595510022413
2018-12-23,62.0
2018-12-30,30.0
2019-01-06,24.0
2019-02-10,59.0
2019-03-17,73.0
2019-03-24,56.0
2019-04-07,18.0
2019-04-21,24.17056525886598
2019-05-19,45.0
2019-09-01,35.0
2019-09-08,19.0
2019-09-22,36.0
2019-12-29,23.0
2020-01-05,21.0
2020-01-19,22.742181506938593
2020-01-26,23.0
2020-03-08,24.0
2020-04-19,19.242181506938593
2020-06-07,32.76951426965935
2020-06-28,29.0
2020-07-05,32.0
2020-07-19,25.0
2020-08-30,24.0
2020-09-13,20.67056525886598
2020-12-06,28.0
2020-12-13,15.742181506938593
2020-12-27,22.0
2021-02-07,27.0
2021-03-07,18.242181506938593
2021-03-21,34.0
2021-04-25,17.0
2021-05-09,18.0
2021-05-30,20.0
2021-08-01,25.0
2021-08-22,28.0
2021-11-07,57.85545376734648
2021-11-28,40.0
2021-12-19,28.0
2021-12-26,20.0
2018-01-07,37.882786530067236
2018-03-04,20.39842351619005
2018-03-25,33.99737252698342
2018-04-08,22.341130517731962
2018-04-29,23.312484018502914
2018-07-15,97.13535007709548
2018-08-12,31.083312024670555
2018-08-26,50.51038204008965
2018-09-30,33.02601902621247
2019-01-27,19.427070015419098
2019-05-12,39.82549353160915
2019-07-28,22.341130517731962
2019-08-18,23.312484018502914
2019-08-25,23.312484018502914
2019-09-15,33.02601902621247
2019-10-20,34.96872602775437
2020-02-02,28.16925152235769
2020-02-16,21.369777016961006
2020-05-10,20.39842351619005
2020-05-24,13.598949010793367
2020-05-31,31.083312024670555
2020-07-12,22.341130517731962
2020-08-16,17.484363013877186
2020-09-20,16.513009513106233
2020-10-04,29.140605023128646
2020-11-01,23.312484018502914
2020-11-08,13.598949010793367
2021-01-31,21.369777016961006
2021-03-14,85.47910806784402
2021-07-04,25.255191020044826
2021-10-03,25.255191020044826
2021-12-05,15.541656012335277
2022-01-09,23.312484018502914
2022-03-06,32.05466552544151
2022-04-17,23.312484018502914
2022-05-29,30.1119585238996
2022-06-05,23.312484018502914
2022-06-12,14.570302511564323
2022-07-10,18.45571651464814
2022-08-07,31.083312024670555
2022-09-04,15.541656012335277
2022-09-18,16.513009513106233
2022-10-23,26.226544520815782
