,MVT_GT_Fresno-Visalia CA
2017-01-15,37.0
2017-02-19,15.0
2017-02-26,50.0
2017-03-05,55.0
2017-04-09,24.0
2017-04-30,20.0
2017-06-04,16.0
2017-06-11,24.0
2017-06-25,23.0
2017-08-06,17.0
2017-08-27,17.0
2017-09-03,48.0
2017-09-17,19.0
2017-10-08,16.0
2017-10-15,41.0
2017-10-22,27.0
2017-10-29,19.0
2017-11-12,25.0
2017-11-19,15.0
2017-12-17,29.0
2018-01-07,15.0
2018-01-14,23.0
2018-01-21,22.0
2018-04-29,14.0
2018-05-20,15.0
2018-06-03,33.0
2018-06-17,16.0
2018-06-24,26.0
2018-07-15,37.0
2018-08-26,14.0
2018-09-09,37.0
2018-09-23,25.0
2018-10-07,26.0
2018-11-25,12.0
2018-12-09,16.0
2018-12-23,28.0
2019-01-20,30.0
2019-02-03,21.0
2019-02-10,29.0
2019-02-24,68.0
2019-03-03,13.0
2019-03-17,21.0
2019-04-07,40.0
2019-05-19,13.0
2019-07-21,35.0
2019-08-04,17.0
2019-08-25,19.0
2019-09-22,100.0
2019-09-29,13.0
2019-10-13,32.0
2019-10-20,14.0
2019-12-08,17.0
2020-01-05,14.0
2020-01-26,51.0
2020-02-09,44.0
2020-03-01,21.0
2020-03-08,30.0
2020-04-12,13.0
2020-05-03,15.0
2020-06-28,15.0
2020-07-05,24.0
2020-08-16,18.0
2020-08-30,24.0
2020-09-06,15.0
2020-09-20,12.0
2020-10-11,49.0
2020-10-25,18.0
2020-11-22,18.0
2020-12-20,44.0
2020-12-27,32.0
2021-01-10,27.0
2021-02-14,19.0
2021-02-28,16.0
2021-03-07,16.0
2021-03-28,32.0
2021-04-18,13.0
2021-04-25,38.0
2021-05-02,12.0
2021-05-09,12.0
2021-05-16,30.0
2021-05-23,37.0
2021-06-06,14.0
2021-07-11,31.0
2021-08-01,33.0
2021-12-05,31.0
2021-12-12,14.0
2021-12-26,16.0
2022-01-09,25.0
2022-01-30,69.0
2022-03-06,17.0
2022-03-27,13.0
2022-04-10,12.0
2022-04-24,20.0
2022-05-01,10.0
2022-05-08,19.0
2022-05-15,32.0
2022-05-22,15.0
2022-06-26,73.0
2022-07-10,14.0
2022-07-17,19.0
2022-07-24,20.0
2022-07-31,32.0
2022-08-21,54.0
2022-09-04,14.0
2022-09-18,12.0
2022-10-30,20.0
2022-11-06,16.0
2022-12-04,19.0
