date,Fresno-Visalia CA
2017-01-01,51.418
2017-01-08,23.675
2017-01-15,29.01
2017-01-22,29.344
2017-02-19,40.348
2017-02-26,26.676
2017-03-05,45.016
2017-03-12,38.014
2017-03-19,55.395
2017-04-02,21.007
2017-04-16,50.018
2017-04-23,21.007
2017-04-30,35.012
2017-05-07,59.021
2017-05-14,23.008
2017-05-28,38.347
2017-06-25,49.351
2017-07-09,63.623
2017-07-23,27.01
2017-07-30,28.01
2017-08-06,19.34
2017-08-13,38.014
2017-08-27,37.347
2017-09-03,25.676
2017-09-10,20.007
2017-09-17,23.208
2017-09-24,20.007
2017-10-01,32.011
2017-10-08,52.185
2017-10-15,29.761
2017-10-22,50.018
2017-11-19,30.136
2017-11-26,26.009
2017-12-10,27.343
2017-12-17,29.636
2017-12-24,77.027
2017-12-31,35.012
2018-01-07,24.009
2018-01-21,47.017
2018-02-11,21.574
2018-02-18,21.0
2018-02-25,51.5
2018-03-04,47.604
2018-03-11,15.693
2018-03-18,23.54
2018-03-25,43.516
2018-04-01,58.5
2018-04-08,20.007
2018-04-15,26.805
2018-05-13,28.719
2018-05-27,48.593
2018-06-03,21.0
2018-06-24,68.524
2018-07-08,32.011
2018-07-15,23.663
2018-07-22,46.0
2018-07-29,34.0
2018-08-12,49.0
2018-08-19,29.702
2018-08-26,22.0
2018-09-02,31.053
2018-09-09,49.676
2018-09-16,69.337
2018-09-23,41.849
2018-09-30,48.34
2018-10-07,22.223
2018-10-14,21.907
2018-10-21,73.956
2018-11-04,33.0
2018-11-11,47.296
2018-11-25,29.503
2018-12-09,39.473
2018-12-16,34.954
2019-01-06,25.43
2019-01-13,22.0
2019-02-10,53.928
2019-02-24,24.009
2019-03-03,42.0
2019-03-10,24.0
2019-03-31,52.0
2019-04-14,30.5
2019-04-28,56.958
2019-05-05,54.5
2019-05-19,52.019
2019-06-02,22.0
2019-06-09,55.0
2019-06-16,23.517
2019-06-23,49.017
2019-06-30,38.25
2019-07-14,57.02
2019-07-21,34.0
2019-07-28,36.0
2019-08-04,29.945
2019-08-11,24.696
2019-08-18,21.24
2019-09-01,25.009
2019-09-08,35.104
2019-09-15,24.523
2019-09-29,26.481
2019-10-13,86.5
2019-10-27,28.437
2019-11-03,30.511
2019-11-10,36.008
2019-11-17,71.5
2019-11-24,25.0
2019-12-15,52.96
2019-12-22,54.5
2019-12-29,25.009
2020-01-05,86.962
2020-01-12,35.0
2020-01-19,22.008
2020-01-26,29.0
2020-02-02,19.219
2020-02-09,32.036
2020-02-16,22.61
2020-02-23,21.791
2020-03-01,26.155
2020-03-08,22.0
2020-03-15,36.849
2020-03-22,34.945
2020-04-12,24.21
2020-04-19,14.005
2020-04-26,23.0
2020-05-24,36.505
2020-05-31,30.0
2020-06-07,29.01
2020-06-14,18.006
2020-07-05,25.205
2020-07-19,22.054
2020-08-02,27.0
2020-08-09,21.0
2020-08-16,36.805
2020-08-23,27.727
2020-08-30,55.87
2020-09-13,19.007
2020-09-20,19.899
2020-10-04,40.604
2020-10-11,63.022
2020-11-01,25.5
2020-11-15,34.002
2020-11-22,46.09
2020-11-29,24.009
2020-12-06,30.604
2020-12-13,43.0
2020-12-27,39.549
2021-01-10,21.5
2021-01-24,26.805
2021-01-31,38.014
2021-02-07,17.006
2021-02-14,36.831
2021-02-21,66.024
2021-02-28,34.006
2021-03-07,25.454
2021-03-14,33.512
2021-03-21,33.347
2021-03-28,25.0
2021-04-04,27.01
2021-04-11,42.498
2021-04-18,22.163
2021-04-25,31.069
2021-05-02,37.917
2021-05-09,32.008
2021-05-16,36.123
2021-05-30,48.0
2021-06-06,62.022
2021-06-20,100.0
2021-06-27,27.992
2021-07-04,24.19
2021-07-11,41.308
2021-07-18,31.0
2021-08-01,24.5
2021-08-08,40.011
2021-08-15,18.309
2021-09-05,23.251
2021-09-19,44.406
2021-09-26,20.275
2021-10-03,19.007
2021-10-24,43.336
2021-10-31,34.012
2021-11-07,30.968
2021-11-21,40.0
2021-12-05,46.016
2021-12-12,42.515
2021-12-19,48.712
2021-12-26,49.052
2022-01-02,52.269
2022-01-09,42.648
2022-01-23,35.799
2022-01-30,35.471
2022-02-13,18.169
2022-02-27,25.009
2022-03-06,27.899
2022-03-27,45.006
2022-04-03,15.306
2022-04-10,48.387
2022-04-17,18.242
2022-04-24,24.797
2022-05-01,26.327
2022-05-08,48.017
2022-05-15,46.513
2022-05-22,14.748
2022-05-29,23.991
2022-06-05,30.989
2022-06-19,29.923
2022-06-26,22.008
2022-07-31,21.999
2022-08-07,29.478
2022-08-28,42.015
2022-09-11,21.991
2022-09-18,36.792
2022-09-25,34.624
2022-10-02,42.095
2022-10-09,44.016
2022-10-23,31.8
2022-10-30,21.454
2022-11-06,30.646
2022-11-13,18.993
2022-12-04,28.673
2022-12-18,23.008
