,MVT_GT_Houston TX
2017-01-01,16.0
2017-01-08,25.0
2017-01-15,15.0
2017-01-22,36.0
2017-01-29,15.0
2017-02-19,12.0
2017-02-26,40.0
2017-03-12,62.0
2017-03-26,26.0
2017-04-16,62.0
2017-05-07,42.0
2017-05-14,72.0
2017-05-21,49.0
2017-05-28,100.0
2017-06-04,29.0
2017-06-11,43.0
2017-06-18,30.0
2017-06-25,37.0
2017-07-02,43.0
2017-07-16,32.0
2017-07-23,32.0
2017-07-30,12.0
2017-08-06,34.0
2017-08-13,28.0
2017-08-20,40.0
2017-08-27,21.0
2017-09-03,51.0
2017-09-10,26.0
2017-09-17,34.0
2017-09-24,26.0
2017-10-01,16.0
2017-10-08,32.0
2017-10-22,17.0
2017-10-29,41.0
2017-11-05,30.0
2017-11-12,26.0
2017-11-19,25.0
2017-11-26,35.0
2017-12-03,16.0
2017-12-10,33.0
2017-12-17,58.0
2017-12-24,25.0
2017-12-31,26.0
2018-01-07,38.909102392484215
2018-01-14,22.149909885044124
2018-01-21,28.953586888020162
2018-01-28,14.933273256696083
2018-02-04,28.953586888020162
2018-02-18,13.107354005952075
2018-03-04,28.953586888020162
2018-03-11,11.781434755208064
2018-03-18,16.25919250744009
2018-03-25,25.301748386532147
2018-04-01,33.01838501488018
2018-04-08,38.909102392484215
2018-04-15,20.323990634300117
2018-04-22,47.95165827157627
2018-04-29,25.301748386532147
2018-05-13,37.99614276711222
2018-05-20,21.73695025967212
2018-06-03,34.844304265624196
2018-06-10,75.07932590885243
2018-06-17,61.97197190290035
2018-06-24,20.323990634300117
2018-07-01,23.975829135788135
2018-07-15,47.03869864620427
2018-07-22,32.105425389508184
2018-07-29,19.911031008928113
2018-08-19,31.692465764136177
2018-08-26,30.27950613876417
2018-09-02,54.25533527455231
2018-09-09,29.866546513392166
2018-09-16,31.692465764136177
2018-09-23,14.020313631324079
2018-09-30,28.953586888020162
2018-10-14,42.06094089397224
2018-10-21,18.0851117581841
2018-10-28,31.192465764136177
2018-11-04,11.281434755208064
2018-11-11,52.01645639843629
2018-11-18,13.107354005952075
2018-11-25,18.99807138355611
2018-12-02,48.364617896948275
2018-12-16,23.062869510416128
2018-12-23,22.649909885044124
2019-01-06,32.605425389508184
2019-01-13,35.2572638909962
2019-01-20,25.801748386532147
2019-01-27,30.77950613876417
2019-02-03,14.020313631324079
2019-02-10,43.886860144716245
2019-02-17,19.911031008928113
2019-02-24,38.409102392484215
2019-03-03,28.040627262648158
2019-03-10,65.12381040438837
2019-03-17,18.99807138355611
2019-04-07,59.23309302678433
2019-04-14,23.975829135788135
2019-04-28,33.43134464025219
2019-05-19,30.77950613876417
2019-05-26,47.03869864620427
2019-06-02,40.73502164322822
2019-06-09,28.040627262648158
2019-06-23,46.125739020832256
2019-07-07,52.01645639843629
2019-07-21,35.7572638909962
2019-07-28,62.884931528272354
2019-08-18,26.71470801190415
2019-09-01,23.975829135788135
2019-09-08,27.127667637276154
2019-09-15,34.844304265624196
2019-09-22,12.69439438058007
2019-09-29,33.93134464025219
2019-10-06,39.822062017856226
2019-10-13,18.99807138355611
2019-10-20,28.953586888020162
2019-10-27,30.77950613876417
2019-11-03,33.93134464025219
2019-11-10,30.27950613876417
2019-11-24,32.105425389508184
2019-12-01,28.953586888020162
2019-12-08,61.05901227752834
2019-12-15,53.3423756491803
2019-12-22,23.062869510416128
2019-12-29,60.14605265215634
2020-01-05,35.2572638909962
2020-01-12,39.822062017856226
2020-01-19,38.909102392484215
2020-01-26,40.73502164322822
2020-02-02,36.1702235163682
2020-02-09,27.127667637276154
2020-02-16,60.64605265215634
2020-02-23,40.23502164322822
2020-03-01,23.062869510416128
2020-03-08,37.99614276711222
2020-03-15,39.822062017856226
2020-03-29,51.10349677306429
2020-04-05,42.06094089397224
2020-04-12,19.911031008928113
2020-04-19,38.909102392484215
2020-04-26,37.99614276711222
2020-05-03,32.105425389508184
2020-05-10,24.88878876116014
2020-05-17,42.97390051934424
2020-05-24,42.06094089397224
2020-05-31,78.23116441034044
2020-06-07,33.01838501488018
2020-06-14,26.21470801190415
2020-06-21,32.105425389508184
2020-06-28,42.06094089397224
2020-07-05,31.192465764136177
2020-07-19,21.73695025967212
2020-07-26,27.127667637276154
2020-08-09,33.93134464025219
2020-08-16,48.864617896948275
2020-08-23,23.975829135788135
2020-08-30,10.86847512983606
2020-09-06,19.911031008928113
2020-09-13,32.105425389508184
2020-09-20,20.323990634300117
2020-09-27,25.301748386532147
2020-10-04,19.411031008928113
2020-10-11,18.0851117581841
2020-10-18,27.127667637276154
2020-10-25,42.06094089397224
2020-11-01,26.21470801190415
2020-11-08,20.823990634300117
2020-11-15,31.692465764136177
2020-11-22,22.149909885044124
2020-11-29,36.1702235163682
2020-12-06,33.01838501488018
2021-01-03,33.93134464025219
2021-01-10,15.846232882068088
2021-01-17,28.040627262648158
2021-01-24,21.23695025967212
2021-01-31,22.149909885044124
2021-02-14,39.822062017856226
2021-02-21,31.192465764136177
2021-03-07,40.73502164322822
2021-03-21,14.933273256696083
2021-03-28,29.866546513392166
2021-04-04,18.5851117581841
2021-04-11,41.14798126860023
2021-04-18,21.23695025967212
2021-05-02,23.062869510416128
2021-05-09,58.820133401412335
2021-05-16,16.25919250744009
2021-05-23,42.97390051934424
2021-05-30,11.781434755208064
2021-06-13,24.38878876116014
2021-06-20,21.23695025967212
2021-06-27,33.93134464025219
2021-07-04,33.01838501488018
2021-07-11,54.75533527455231
2021-07-18,15.346232882068088
2021-08-01,61.47197190290035
2021-08-15,11.781434755208064
2021-08-22,30.77950613876417
2021-08-29,30.77950613876417
2021-09-12,12.69439438058007
2021-09-19,55.16829489992431
2021-09-26,30.77950613876417
2021-10-03,27.127667637276154
2021-10-10,35.7572638909962
2021-10-17,46.125739020832256
2021-10-24,27.127667637276154
2021-10-31,24.88878876116014
2021-11-07,20.823990634300117
2021-11-21,48.364617896948275
2021-12-05,26.71470801190415
2021-12-12,22.649909885044124
2021-12-19,22.649909885044124
2021-12-26,42.97390051934424
2022-01-09,27.255335274552305
2022-01-16,17.344304265624196
2022-01-23,26.429416023808297
2022-01-30,50.381074295384565
2022-02-06,18.996142767112215
2022-02-13,11.56286951041613
2022-02-27,48.72923579389655
2022-03-06,25.60349677306429
2022-03-13,52.03291279687259
2022-03-20,40.47004328645645
2022-03-27,14.866546513392167
2022-04-03,38.81820478496844
2022-04-10,69.37721706249678
2022-04-17,32.21085077901636
2022-04-24,13.214708011904149
2022-05-08,30.559012277528343
2022-05-15,31.384931528272354
2022-05-22,36.34044703273641
2022-05-29,23.95165827157627
2022-06-12,40.47004328645645
2022-06-19,25.60349677306429
2022-07-03,37.99228553422443
2022-07-10,49.55515504464056
2022-07-17,19.822062017856222
2022-07-31,57.81434755208065
2022-08-07,11.56286951041613
2022-08-14,47.90331654315254
2022-08-21,34.68860853124839
2022-08-28,51.20699354612858
2022-09-04,40.47004328645645
2022-09-11,77.63640956993687
2022-09-18,45.42555879092051
2022-09-25,33.862689280504384
2022-10-02,24.77757752232028
2022-10-09,34.68860853124839
2022-10-16,32.21085077901636
2022-10-30,40.47004328645645
2022-11-06,38.81820478496844
2022-11-13,14.866546513392167
2022-11-20,13.214708011904149
2022-12-04,38.81820478496844
2022-12-11,14.040627262648158
2022-12-18,39.644124035712444
2022-12-25,82.59192507440093
