,MVT_GT_Jacksonville FL
2017-03-12,34.0
2017-04-30,35.0
2017-05-07,37.0
2017-05-21,78.0
2017-06-11,79.0
2017-07-02,34.0
2017-07-23,100.0
2017-08-20,43.0
2017-09-24,26.0
2017-10-01,34.0
2017-12-10,39.0
2017-12-24,27.0
2018-01-07,39.0
2018-01-28,40.0
2018-03-18,38.0
2018-03-25,33.0
2018-05-13,68.0
2018-05-20,47.0
2018-05-27,23.0
2018-06-17,53.0
2018-07-08,66.0
2018-07-22,31.0
2018-08-05,25.0
2018-11-04,21.0
2018-11-18,49.0
2018-11-25,29.0
2018-12-02,99.0
2018-12-16,40.0
2018-12-23,23.0
2019-02-03,26.0
2019-03-17,34.0
2019-03-31,50.0
2019-05-19,100.0
2019-05-26,23.0
2019-06-30,36.0
2019-07-07,41.0
2019-09-22,62.0
2019-10-06,21.0
2019-11-24,32.0
2019-12-22,24.0
2020-01-12,46.0
2020-01-26,35.0
2020-02-16,31.0
2020-03-08,16.0
2020-03-22,18.0
2020-03-29,17.0
2020-04-26,18.0
2020-05-03,18.0
2020-05-31,34.0
2020-06-07,37.0
2020-06-14,16.0
2020-07-19,24.0
2020-08-02,49.0
2020-08-09,28.0
2020-08-16,33.0
2020-09-13,48.0
2020-09-27,30.0
2020-10-04,45.0
2020-11-08,23.0
2020-12-27,22.0
2021-01-10,29.0
2021-03-07,26.0
2021-05-09,19.0
2021-06-06,22.0
2021-06-20,17.0
2021-06-27,35.0
2021-08-29,36.0
2021-09-12,42.0
2021-09-26,24.0
2021-10-03,24.0
2021-10-10,19.0
2021-11-21,42.0
2022-01-09,34.0
2022-02-06,32.0
2022-03-27,15.0
2022-04-10,24.0
2022-04-17,24.0
2022-06-05,15.0
2022-06-12,17.0
2022-06-19,42.0
2022-07-10,49.0
2022-07-24,22.0
2022-07-31,26.0
2022-08-21,33.0
2022-08-28,16.0
2022-09-04,24.0
2022-09-25,20.0
2022-10-23,26.0
2022-10-30,58.0
2022-11-13,17.0
2022-11-27,40.0
2022-12-04,23.0
2022-12-18,75.0
