,MVT_GT_Kansas City MO
2017-01-01,23.0
2017-01-08,29.0
2017-02-12,25.0
2017-02-19,25.0
2017-02-26,42.0
2017-04-09,26.0
2017-04-16,21.0
2017-04-23,24.0
2017-05-07,25.0
2017-05-21,23.0
2017-06-04,57.0
2017-07-09,35.0
2017-07-16,56.0
2017-08-06,23.0
2017-09-03,23.0
2017-09-10,18.0
2017-10-01,17.0
2017-10-22,24.0
2017-11-05,30.0
2017-11-12,42.0
2017-11-26,23.0
2018-01-14,17.0
2018-01-21,29.0
2018-01-28,38.0
2018-02-11,39.0
2018-02-18,24.0
2018-02-25,25.0
2018-04-01,23.0
2018-04-29,30.0
2018-05-27,29.0
2018-06-17,19.0
2018-07-01,36.0
2018-07-15,33.0
2018-07-22,24.0
2018-08-19,45.0
2018-08-26,23.0
2018-09-16,50.0
2018-09-30,52.0
2018-10-07,47.0
2018-10-21,42.0
2018-11-04,21.0
2018-11-11,65.0
2018-12-16,46.0
2018-12-23,44.0
2019-01-06,37.0
2019-01-20,60.0
2019-02-17,80.0
2019-02-24,100.0
2019-03-03,82.0
2019-03-17,27.0
2019-03-31,29.0
2019-04-28,27.0
2019-05-12,53.0
2019-05-19,83.0
2019-05-26,48.0
2019-06-02,27.0
2019-06-16,26.0
2019-06-30,21.0
2019-07-07,28.0
2019-07-14,51.0
2019-07-21,62.0
2019-07-28,40.0
2019-08-18,32.0
2019-08-25,49.0
2019-09-08,22.0
2019-09-15,19.0
2019-09-29,16.0
2019-10-06,22.0
2019-10-13,42.0
2019-10-27,22.0
2019-11-03,16.0
2019-11-17,29.0
2019-12-01,30.0
2019-12-08,34.0
2019-12-22,28.0
2020-02-02,16.0
2020-02-16,24.0
2020-03-08,22.0
2020-03-15,18.0
2020-05-10,13.0
2020-06-07,28.0
2020-06-21,32.0
2020-06-28,18.0
2020-08-02,19.0
2020-08-09,19.0
2020-09-06,16.0
2020-09-20,16.0
2020-09-27,51.0
2020-10-04,31.0
2020-10-11,36.0
2020-11-08,29.0
2020-11-22,38.0
2020-11-29,21.0
2020-12-06,58.0
2020-12-20,29.0
2021-01-10,28.0
2021-01-17,27.0
2021-02-14,17.0
2021-03-07,18.0
2021-03-14,37.0
2021-03-21,67.0
2021-04-04,35.0
2021-04-25,27.0
2021-05-16,28.0
2021-05-30,32.0
2021-06-13,46.0
2021-07-18,35.0
2021-07-25,42.0
2021-09-12,19.0
2021-09-19,39.0
2021-09-26,21.0
2021-10-10,22.0
2021-10-31,37.0
2021-11-28,32.0
2021-12-26,24.0
2022-01-02,30.0
2022-01-16,48.0
2022-01-23,25.0
2022-01-30,19.0
2022-02-13,20.0
2022-03-20,21.0
2022-04-03,18.0
2022-04-24,15.0
2022-05-08,22.0
2022-05-15,28.0
2022-05-29,36.0
2022-06-05,20.0
2022-06-12,27.0
2022-06-19,34.0
2022-07-03,25.0
2022-07-10,30.0
2022-07-24,23.0
2022-08-14,49.0
2022-08-21,22.0
2022-08-28,35.0
2022-09-11,20.0
2022-09-18,19.0
2022-09-25,67.0
2022-10-02,25.0
2022-10-09,15.0
2022-11-06,14.0
2022-11-27,17.0
2022-12-04,22.0
2022-12-11,16.0
2022-12-18,33.0
