,MVT_GT_Las Vegas NV
2017-01-08,35.0
2017-01-22,32.0
2017-01-29,27.0
2017-02-19,16.0
2017-03-19,35.0
2017-03-26,36.0
2017-04-02,14.0
2017-05-07,47.0
2017-05-14,48.0
2017-06-04,28.0
2017-06-25,36.0
2017-07-02,30.0
2017-07-09,28.0
2017-07-16,60.0
2017-08-20,16.0
2017-08-27,15.0
2017-09-10,24.0
2017-10-08,34.0
2017-12-10,67.0
2018-01-14,13.0
2018-02-04,32.0
2018-02-11,37.0
2018-02-25,21.0
2018-03-04,14.0
2018-03-11,21.0
2018-03-18,43.0
2018-04-08,19.0
2018-04-22,28.0
2018-05-06,23.0
2018-05-27,37.0
2018-06-10,22.0
2018-07-01,100.0
2018-07-22,29.0
2018-07-29,21.0
2018-08-26,17.0
2018-09-02,39.0
2018-09-09,14.0
2018-09-30,21.0
2018-10-28,16.0
2018-11-04,26.0
2018-11-18,18.0
2018-11-25,25.0
2018-12-09,15.0
2018-12-30,19.0
2019-01-06,16.0
2019-01-13,26.0
2019-01-27,17.0
2019-02-03,15.0
2019-02-10,19.0
2019-03-03,15.0
2019-03-24,18.0
2019-03-31,19.0
2019-04-14,15.0
2019-04-21,14.0
2019-04-28,25.0
2019-05-12,16.0
2019-05-26,19.0
2019-06-23,27.0
2019-07-14,21.0
2019-07-28,27.0
2019-08-04,25.0
2019-08-18,15.0
2019-09-22,14.0
2019-10-06,17.0
2019-10-27,38.0
2019-11-03,62.0
2019-11-10,12.0
2019-11-17,15.0
2019-11-24,26.0
2019-12-01,16.0
2020-01-05,23.0
2020-02-02,35.0
2020-02-09,23.0
2020-02-23,12.0
2020-03-29,19.0
2020-04-05,18.0
2020-04-12,14.0
2020-04-26,18.0
2020-05-10,40.0
2020-05-31,17.0
2020-06-21,23.0
2020-06-28,36.0
2020-08-09,29.0
2020-08-16,20.0
2020-08-30,21.0
2020-09-06,20.0
2020-10-18,25.0
2020-11-01,27.0
2020-11-08,30.0
2020-11-15,31.0
2020-12-27,42.0
2021-01-03,21.0
2021-01-17,19.0
2021-01-24,31.0
2021-02-14,27.0
2021-02-21,33.0
2021-03-07,23.0
2021-03-21,18.0
2021-05-02,13.0
2021-05-09,24.0
2021-05-23,42.0
2021-06-13,20.0
2021-06-20,17.0
2021-07-25,15.0
2021-08-08,24.0
2021-08-22,35.0
2021-09-05,19.0
2021-09-12,28.0
2021-09-19,21.0
2021-10-03,22.0
2021-10-10,15.0
2021-10-17,36.0
2021-10-31,25.0
2021-11-07,15.0
2021-11-14,17.0
2021-11-28,19.0
2021-12-19,57.0
2022-01-09,48.0
2022-01-16,24.0
2022-01-23,18.0
2022-01-30,24.0
2022-02-13,16.0
2022-02-20,20.0
2022-02-27,36.0
2022-03-06,32.0
2022-03-13,28.0
2022-03-20,13.0
2022-03-27,21.0
2022-04-03,15.0
2022-04-10,22.0
2022-04-17,15.0
2022-05-01,31.0
2022-05-15,20.0
2022-06-26,17.0
2022-07-31,32.0
2022-08-07,18.0
2022-08-14,34.0
2022-08-21,12.0
2022-08-28,82.0
2022-09-25,23.0
2022-10-09,30.0
2022-10-16,17.0
2022-10-23,14.0
2022-10-30,33.0
2022-11-06,11.0
2022-11-13,17.0
2022-11-27,34.0
2022-12-04,41.0
2022-12-11,35.0
