date,Las Vegas NV
2017-01-01,35.283
2017-01-08,21.938
2017-01-22,37.999
2017-01-29,18.282
2017-02-05,40.951
2017-02-12,16.453
2017-02-19,23.537
2017-02-26,27.422
2017-03-05,21.481
2017-03-12,22.852
2017-03-19,17.367
2017-03-26,67.946
2017-04-09,24.68
2017-04-16,16.453
2017-04-23,22.303
2017-04-30,22.166
2017-05-07,22.852
2017-05-14,36.302
2017-05-21,27.879
2017-05-28,17.367
2017-06-04,28.451
2017-06-11,21.938
2017-06-18,22.068
2017-06-25,28.336
2017-07-02,28.032
2017-07-09,53.016
2017-07-16,29.25
2017-07-23,21.415
2017-07-30,20.11
2017-08-06,23.766
2017-08-13,28.336
2017-08-20,38.261
2017-08-27,36.665
2017-09-03,33.821
2017-09-10,29.022
2017-09-17,13.406
2017-09-24,17.025
2017-10-08,48.185
2017-10-15,35.954
2017-11-12,25.594
2017-11-19,32.907
2017-11-26,20.11
2017-12-03,42.047
2017-12-10,20.11
2017-12-17,27.829
2017-12-31,21.024
2018-01-07,50.274
2018-01-14,14.625
2018-01-21,35.198
2018-01-28,20.586
2018-02-04,30.078
2018-02-11,39.747
2018-03-04,27.584
2018-03-11,29.318
2018-03-18,37.651
2018-04-01,41.347
2018-04-08,34.771
2018-04-22,24.003
2018-05-06,46.36
2018-05-13,33.702
2018-05-20,41.065
2018-05-27,21.706
2018-06-03,50.646
2018-06-10,15.539
2018-06-17,28.05
2018-06-24,16.453
2018-07-01,38.848
2018-07-08,44.923
2018-07-15,37.904
2018-07-22,33.897
2018-07-29,20.303
2018-08-05,21.896
2018-08-12,19.863
2018-08-19,26.809
2018-08-26,51.631
2018-09-02,61.689
2018-09-09,25.085
2018-09-16,39.667
2018-09-23,17.55
2018-10-07,21.024
2018-10-14,22.85
2018-10-21,68.039
2018-11-11,25.248
2018-11-18,37.32
2018-11-25,21.843
2018-12-02,25.439
2018-12-09,33.585
2018-12-16,45.833
2018-12-23,26.654
2018-12-30,71.922
2019-01-06,30.449
2019-01-13,35.946
2019-01-20,25.774
2019-01-27,28.466
2019-02-03,27.818
2019-02-10,17.023
2019-02-17,18.774
2019-02-24,41.252
2019-03-03,20.833
2019-03-10,21.733
2019-03-17,31.942
2019-04-07,48.343
2019-04-14,15.539
2019-04-28,39.524
2019-05-05,48.675
2019-05-12,19.841
2019-05-19,23.395
2019-05-26,31.25
2019-06-02,47.735
2019-06-09,23.602
2019-06-16,30.973
2019-06-23,17.114
2019-06-30,40.314
2019-07-07,27.818
2019-07-14,37.249
2019-07-21,45.704
2019-07-28,22.644
2019-08-04,20.614
2019-08-11,27.923
2019-08-18,15.415
2019-08-25,22.817
2019-09-01,14.575
2019-09-08,22.775
2019-09-15,26.5
2019-09-22,24.341
2019-09-29,29.254
2019-10-06,34.523
2019-10-13,42.047
2019-10-20,28.687
2019-10-27,23.964
2019-11-03,25.388
2019-11-10,18.303
2019-11-17,21.257
2019-11-24,43.75
2019-12-01,22.246
2019-12-08,26.335
2019-12-15,71.568
2019-12-22,33.828
2019-12-29,30.358
2020-01-05,27.848
2020-01-12,18.282
2020-01-19,38.512
2020-02-02,51.259
2020-02-09,29.662
2020-02-16,14.778
2020-02-23,23.775
2020-03-01,21.2
2020-03-08,18.75
2020-03-15,28.336
2020-03-22,30.726
2020-04-05,14.168
2020-04-12,22.845
2020-04-19,20.833
2020-04-26,16.278
2020-05-03,12.797
2020-05-10,19.192
2020-05-17,13.711
2020-05-24,23.547
2020-05-31,37.433
2020-06-07,18.583
2020-06-14,18.75
2020-06-21,34.108
2020-06-28,20.424
2020-07-05,28.409
2020-07-19,21.938
2020-07-26,34.302
2020-08-02,57.587
2020-08-09,33.803
2020-08-16,20.159
2020-08-23,19.206
2020-08-30,20.833
2020-09-06,30.116
2020-09-13,15.266
2020-09-20,27.094
2020-09-27,58.731
