,MVT_GT_Louisville KY
2017-02-12,32.0
2017-02-26,37.0
2017-03-05,51.0
2017-04-30,38.0
2017-05-07,72.0
2017-05-21,32.0
2017-06-04,46.0
2017-07-23,40.0
2017-07-30,30.0
2017-08-13,32.0
2017-09-17,35.0
2017-10-08,69.0
2017-10-29,29.0
2017-11-12,50.0
2017-11-26,52.0
2017-12-03,27.0
2017-12-31,61.0
2018-03-18,38.0
2018-04-01,29.0
2018-04-15,24.0
2018-04-29,28.0
2018-06-03,55.0
2018-08-19,33.0
2018-09-02,65.0
2018-09-09,35.0
2018-09-16,49.0
2018-09-30,25.0
2018-10-14,57.0
2018-11-18,25.0
2018-12-16,25.0
2018-12-23,28.0
2019-01-13,100.0
2019-01-27,23.0
2019-04-07,32.0
2019-05-05,43.0
2019-06-16,41.0
2019-06-23,28.0
2019-09-29,37.0
2019-11-03,37.0
2019-12-15,32.0
2020-01-19,37.0
2020-02-09,64.0
2020-02-23,13.0
2020-03-01,22.0
2020-03-15,60.0
2020-04-12,38.0
2020-05-31,29.0
2020-06-07,54.0
2020-06-14,39.0
2020-06-28,29.0
2020-08-09,23.0
2020-09-27,28.0
2020-11-08,34.0
2020-11-22,68.0
2021-01-24,26.0
2021-01-31,29.0
2021-02-21,45.0
2021-03-28,28.0
2021-04-04,32.0
2021-04-18,27.0
2021-05-09,41.0
2021-05-16,74.0
2021-06-27,27.0
2021-07-25,44.0
2021-09-12,42.0
2021-10-24,27.0
2021-11-21,57.0
2021-12-05,27.0
2021-12-19,32.0
2021-12-26,40.0
2022-01-09,32.0
2022-01-16,24.0
2022-01-23,26.0
2022-02-27,20.0
2022-04-10,26.0
2022-05-08,27.0
2022-05-15,26.0
2022-07-03,27.0
2022-07-24,45.0
2022-09-04,30.0
2022-09-25,20.0
2022-10-09,35.0
2022-10-16,74.0
2022-10-30,50.0
2022-11-13,38.0
2022-12-04,52.0
