date,Louisville KY
2017-01-01,46.2
2017-01-08,25.0
2017-01-15,30.25
2017-01-22,28.0
2017-01-29,29.0
2017-02-12,30.0
2017-02-19,25.333
2017-02-26,37.0
2017-03-05,39.333
2017-03-12,46.667
2017-03-26,17.0
2017-04-09,20.6
2017-04-16,24.25
2017-04-23,57.0
2017-05-07,29.0
2017-05-14,44.5
2017-05-21,38.0
2017-06-04,23.0
2017-06-11,33.5
2017-06-18,29.0
2017-06-25,25.5
2017-07-02,46.0
2017-07-09,36.0
2017-07-30,49.25
2017-08-06,30.5
2017-08-13,42.5
2017-08-20,42.0
2017-09-03,40.0
2017-09-17,58.0
2017-09-24,39.5
2017-10-01,39.0
2017-10-08,31.2
2017-10-22,49.0
2017-10-29,35.8
2017-11-05,23.0
2017-11-12,30.0
2017-11-19,28.0
2017-11-26,17.0
2017-12-03,43.5
2017-12-10,42.0
2017-12-17,37.0
2017-12-31,51.667
2018-01-07,22.0
2018-01-14,18.0
2018-01-21,31.23
2018-02-11,29.0
2018-02-25,56.039
2018-03-04,15.906
2018-03-18,28.263
2018-03-25,24.332
2018-04-01,55.0
2018-04-08,46.0
2018-04-15,34.0
2018-04-29,36.0
2018-05-06,48.886
2018-05-13,30.457
2018-05-20,47.25
2018-05-27,54.71
2018-06-03,21.0
2018-06-10,29.0
2018-06-17,21.0
2018-06-24,29.0
2018-07-08,43.0
2018-07-15,31.5
2018-07-22,26.0
2018-07-29,25.0
2018-08-05,34.0
2018-08-12,23.0
2018-08-26,25.092
2018-09-02,50.435
2018-09-09,27.795
2018-09-16,19.121
2018-09-23,100.0
2018-09-30,24.5
2018-10-07,71.0
2018-10-14,28.559
2018-10-21,26.086
2018-10-28,24.839
2018-11-04,27.667
2018-11-11,46.299
2018-11-18,51.273
2018-11-25,23.547
2018-12-02,68.5
2018-12-09,63.5
2018-12-16,24.591
2018-12-30,30.389
2019-01-06,32.772
2019-01-20,48.845
2019-01-27,28.576
2019-02-10,25.197
2019-02-17,22.624
2019-02-24,73.0
2019-03-03,33.0
2019-03-10,26.5
2019-03-31,27.0
2019-04-14,31.132
2019-04-28,68.0
2019-05-05,15.269
2019-05-12,20.442
2019-05-19,55.0
2019-05-26,56.101
2019-06-09,55.413
2019-06-16,47.265
2019-06-23,26.507
2019-07-07,16.226
2019-07-14,22.0
2019-07-21,29.0
2019-07-28,49.316
2019-08-04,44.859
2019-08-11,22.203
2019-08-18,23.5
2019-08-25,49.182
2019-09-01,25.0
2019-09-08,36.0
2019-09-15,39.335
2019-09-22,17.0
2019-09-29,23.5
2019-10-06,15.15
2019-10-13,10.984
2019-10-27,32.641
2019-11-10,20.0
2019-11-17,20.463
2019-11-24,20.0
2019-12-08,25.199
2019-12-15,34.333
2019-12-22,52.132
2019-12-29,33.0
2020-01-05,35.156
2020-01-12,17.199
2020-01-26,34.0
2020-02-02,31.964
2020-02-09,24.41
2020-02-23,10.0
2020-03-01,28.0
2020-03-08,16.0
2020-03-15,45.149
2020-03-22,15.333
2020-03-29,23.443
2020-04-05,21.0
2020-04-12,30.481
2020-04-19,18.57
2020-04-26,13.941
2020-05-03,13.0
2020-05-17,18.2
2020-05-24,47.63
2020-05-31,30.321
2020-06-07,26.0
2020-06-14,27.801
2020-06-21,35.774
2020-06-28,24.22
2020-07-05,19.0
2020-07-12,19.0
2020-07-19,34.697
2020-07-26,17.25
2020-08-02,38.0
2020-08-09,33.75
2020-08-16,34.771
2020-08-23,32.652
2020-09-06,31.0
2020-09-20,24.835
2020-09-27,100.0
2020-10-04,18.0
2020-10-11,27.0
2020-10-25,45.558
2020-11-01,34.536
2020-11-08,33.065
2020-11-15,37.467
2020-11-22,34.5
2020-11-29,74.0
2020-12-27,20.0
2021-01-03,23.898
2021-01-10,50.5
2021-01-17,32.685
2021-01-24,22.353
2021-01-31,20.464
2021-02-21,33.528
2021-02-28,31.131
2021-03-07,55.093
2021-03-14,26.014
2021-03-21,28.918
2021-03-28,45.964
2021-04-04,85.576
2021-04-11,31.161
2021-04-18,30.88
2021-04-25,38.0
2021-05-02,54.771
2021-05-09,36.812
2021-05-23,72.96
2021-05-30,32.0
2021-06-06,30.0
2021-06-13,47.841
2021-06-20,52.419
2021-06-27,35.5
2021-07-04,42.228
2021-07-11,53.0
2021-07-18,40.5
2021-07-25,53.16
2021-08-01,38.046
2021-08-08,24.0
2021-08-15,51.0
2021-08-22,25.0
2021-08-29,27.254
2021-09-05,33.8
2021-09-12,33.944
2021-09-19,32.0
2021-09-26,56.25
2021-10-17,24.0
2021-10-31,44.771
2021-11-07,38.401
2021-11-14,40.09
2021-11-21,27.07
2021-11-28,24.0
2021-12-05,47.398
2021-12-19,43.877
2021-12-26,35.425
2022-01-02,34.342
2022-01-09,23.25
2022-01-16,24.679
2022-01-23,31.667
2022-01-30,25.473
2022-02-06,43.017
2022-02-13,18.0
2022-02-20,69.0
2022-03-06,23.75
2022-03-13,25.0
2022-03-20,34.75
2022-03-27,26.318
2022-04-03,24.0
2022-04-17,24.261
2022-04-24,20.0
2022-05-01,27.741
2022-05-08,28.432
2022-05-15,36.812
2022-05-22,41.312
2022-06-05,24.0
2022-06-12,30.344
2022-06-26,17.0
2022-07-03,35.0
2022-07-10,29.135
2022-07-17,32.929
2022-07-31,47.399
2022-08-07,43.683
2022-08-14,21.023
2022-08-21,30.627
2022-08-28,25.963
2022-09-11,20.656
2022-09-18,32.8
2022-09-25,42.713
2022-10-02,40.033
2022-10-09,28.979
2022-10-16,20.898
2022-10-23,24.246
2022-10-30,38.831
2022-11-06,33.801
2022-11-13,44.0
2022-12-04,36.673
2022-12-11,24.333
2022-12-18,13.711
