,MVT_GT_Memphis TN
2017-01-22,55.0
2017-05-14,47.0
2017-05-21,16.0
2017-07-16,46.0
2017-09-10,19.0
2017-09-17,55.0
2017-10-01,19.0
2017-10-08,54.0
2017-10-29,19.0
2017-11-05,20.0
2017-11-19,44.0
2017-12-17,32.0
2017-12-24,26.0
2017-12-31,32.0
2018-01-07,25.0
2018-01-14,28.0
2018-02-11,27.0
2018-02-25,53.0
2018-03-04,24.0
2018-03-25,21.0
2018-04-08,29.0
2018-04-15,26.0
2018-06-10,29.0
2018-06-17,27.0
2018-07-01,26.0
2018-07-08,17.0
2018-07-15,21.0
2018-07-22,59.0
2018-09-09,16.0
2018-10-14,29.0
2018-10-21,30.0
2018-11-11,45.0
2018-11-18,17.0
2018-11-25,19.0
2018-12-02,18.0
2018-12-09,80.0
2018-12-16,14.0
2018-12-23,23.0
2019-01-13,22.0
2019-01-20,19.0
2019-01-27,19.0
2019-02-10,55.0
2019-02-24,31.0
2019-03-10,24.0
2019-03-17,17.0
2019-04-21,23.0
2019-05-26,20.0
2019-06-09,26.0
2019-07-07,16.0
2019-08-18,17.0
2019-10-20,27.0
2019-10-27,20.0
2019-11-03,14.0
2019-12-22,24.0
2019-12-29,37.0
2020-01-19,16.0
2020-02-16,28.0
2020-03-01,15.0
2020-04-05,29.0
2020-05-31,43.0
2020-06-14,18.0
2020-07-26,12.0
2020-08-30,35.0
2020-09-27,23.0
2020-10-11,30.0
2020-10-18,19.0
2020-10-25,21.0
2020-11-08,100.0
2020-11-22,23.0
2020-11-29,15.0
2021-02-21,19.0
2021-02-28,45.0
2021-03-28,14.0
2021-04-04,35.0
2021-04-18,28.0
2021-05-02,20.0
2021-06-06,15.0
2021-06-27,89.0
2021-08-08,62.0
2021-08-15,25.0
2021-09-05,50.0
2021-10-10,21.0
2021-11-07,42.0
2021-11-28,14.0
2021-12-05,36.0
2021-12-12,14.0
2022-02-06,34.0
2022-02-13,24.0
2022-02-27,28.0
2022-03-06,50.0
2022-04-10,12.0
2022-04-17,43.0
2022-05-01,11.0
2022-05-15,13.0
2022-05-29,21.0
2022-07-17,45.0
2022-08-14,30.0
2022-08-21,26.0
2022-09-18,19.0
2022-10-16,25.0
2022-10-30,48.0
2022-11-06,16.0
2022-11-20,18.0
2022-11-27,29.0
2022-12-04,17.0
2022-12-11,22.0
2022-12-25,37.0
