,MVT_GT_Miami-Ft. Lauderdale FL
2017-01-01,16.0
2017-01-08,20.0
2017-01-22,19.0
2017-01-29,100.0
2017-02-05,22.0
2017-02-12,18.0
2017-02-19,18.0
2017-02-26,15.0
2017-03-05,15.0
2017-03-26,43.0
2017-04-09,17.0
2017-04-23,30.0
2017-05-07,26.0
2017-05-14,21.0
2017-05-21,20.0
2017-05-28,21.0
2017-06-11,21.0
2017-06-18,45.0
2017-06-25,24.0
2017-07-02,22.0
2017-07-23,26.0
2017-08-13,45.0
2017-08-20,40.0
2017-09-03,66.0
2017-09-10,80.0
2017-09-17,58.0
2017-09-24,53.0
2017-10-08,22.0
2017-10-15,75.0
2017-10-22,73.0
2017-10-29,16.0
2017-11-12,54.0
2017-12-10,17.0
2018-01-07,21.0
2018-01-28,32.50086158691593
2018-02-11,37.00114878255457
2018-02-18,38.0
2018-02-25,34.3340672777432
2018-04-01,44.33435447338184
2018-04-15,68.33483313277958
2018-04-22,28.83416300962275
2018-04-29,15.0
2018-05-06,67.00172317383186
2018-05-27,27.500765855036384
2018-06-03,38.50086158691593
2018-06-24,26.0
2018-07-15,33.3340672777432
2018-09-02,22.33397154586365
2018-09-16,17.0
2018-10-07,71.00191463759096
2018-10-14,23.333875813984104
2018-10-21,17.0
2018-10-28,26.000670123156837
2018-11-11,38.0
2018-11-18,23.50047865939774
2018-11-25,18.0
2018-12-09,17.0
2019-01-06,46.50172317383186
2019-01-20,19.333875813984104
2019-01-27,15.0
2019-02-03,22.833780082104557
2019-02-10,55.168134555486404
2019-02-17,46.83473740090004
2019-02-24,29.334258741502296
2019-03-17,27.167560164209114
2019-03-31,23.16727296857047
2019-04-07,30.83416300962275
2019-04-14,28.0
2019-04-21,25.500670123156837
2019-04-28,40.50086158691593
2019-05-19,48.501340246313674
2019-05-26,28.0
2019-06-02,26.83416300962275
2019-06-23,29.0
2019-06-30,46.66803882360685
2019-07-07,30.0
2019-07-14,24.83416300962275
2019-07-21,25.833780082104557
2019-07-28,24.0
2019-08-04,19.333875813984104
2019-08-11,16.0
2019-08-25,49.83416300962275
2019-09-01,14.500382927518192
2019-10-06,75.66985772931827
2019-10-20,30.66765589608866
2019-11-17,33.83416300962275
2019-11-24,54.16803882360685
2019-12-01,29.0
2019-12-15,61.50172317383186
2019-12-22,51.00172317383186
2019-12-29,27.00047865939774
2020-01-05,44.16823028736595
2020-01-19,26.833780082104557
2020-01-26,28.0
2020-02-02,14.0
2020-02-23,56.001435978193214
2020-03-01,26.16736870045002
2020-03-08,23.0
2020-03-29,14.0
2020-04-05,35.66727296857047
2020-04-12,27.333780082104557
2020-04-19,24.0
2020-05-24,21.667081504811375
2020-06-07,26.667464432329567
2020-06-14,33.83397154586365
2020-06-21,21.50047865939774
2020-07-05,25.66736870045002
2020-07-12,17.0
2020-07-19,35.16736870045002
2020-07-26,28.500574391277286
2020-08-02,32.33454593714094
2020-08-09,53.834641669020485
2020-08-23,30.16717723669092
2020-08-30,33.667560164209114
2020-10-11,21.0
2020-10-18,16.0
2020-10-25,24.667081504811375
2020-11-01,14.0
2020-11-15,21.0
2020-11-22,34.0
2020-12-06,22.500574391277286
2020-12-13,22.50047865939774
2021-01-03,19.83368435022501
2021-01-24,32.0
2021-02-07,40.001053050675026
2021-02-21,43.33416300962275
2021-02-28,29.0
2021-03-14,32.83397154586365
2021-03-28,18.0
2021-04-04,14.0
2021-04-11,21.833875813984104
2021-04-18,34.1679430917273
2021-04-25,26.167560164209114
2021-05-09,29.33416300962275
2021-05-16,22.0
2021-05-23,60.00114878255457
2021-06-06,36.33416300962275
2021-06-13,25.667081504811375
2021-06-20,20.16717723669092
2021-07-11,28.33416300962275
2021-07-18,29.50095731879548
2021-07-25,40.00057439127728
2021-08-08,32.0
2021-08-15,55.501627441952316
2021-08-22,38.0
2021-08-29,31.167464432329567
2021-09-05,18.50047865939774
2021-09-19,23.000574391277286
2021-10-03,23.0
2021-10-10,18.66717723669092
2021-10-17,39.66765589608866
2021-10-24,25.833780082104557
2021-11-14,20.0
2021-11-21,21.167081504811375
2021-12-12,17.0
2021-12-19,27.0
2018-03-04,17.33416300962275
2018-03-11,20.00095731879548
2018-04-08,28.00134024631367
