,MVT_GT_Minneapolis-St. Paul MN
2017-01-15,60.0
2017-01-29,29.0
2017-02-05,15.0
2017-02-12,32.0
2017-02-26,32.0
2017-03-05,36.0
2017-03-19,40.0
2017-04-09,40.0
2017-04-23,29.0
2017-04-30,41.0
2017-05-14,59.0
2017-05-28,39.0
2017-06-04,31.0
2017-06-18,17.0
2017-06-25,30.0
2017-07-02,31.0
2017-07-16,88.0
2017-07-23,31.0
2017-08-27,32.0
2017-09-10,27.0
2017-09-17,32.0
2017-09-24,60.0
2017-10-01,16.0
2017-10-15,17.0
2017-11-05,79.0
2017-11-12,26.0
2017-11-19,31.0
2017-11-26,19.0
2017-12-03,18.0
2017-12-31,37.0
2018-01-14,18.0
2018-01-28,50.0
2018-02-04,49.0
2018-02-11,71.0
2018-02-18,61.0
2018-02-25,19.0
2018-03-11,16.0
2018-03-18,16.0
2018-03-25,79.0
2018-04-22,20.0
2018-05-06,20.0
2018-05-13,19.0
2018-05-27,20.0
2018-06-03,33.0
2018-06-24,25.0
2018-07-15,19.0
2018-07-22,45.0
2018-07-29,22.0
2018-08-05,44.0
2018-08-12,29.0
2018-08-26,26.0
2018-09-09,59.0
2018-09-23,76.0
2018-10-21,40.0
2018-11-04,41.0
2018-11-11,42.0
2018-12-02,32.0
2018-12-23,27.0
2019-01-13,42.0
2019-01-27,53.0
2019-02-03,23.0
2019-02-17,14.0
2019-02-24,18.0
2019-03-03,26.0
2019-03-31,17.0
2019-04-07,33.0
2019-04-21,28.0
2019-04-28,25.0
2019-05-05,49.0
2019-05-26,23.0
2019-06-02,44.0
2019-06-23,18.0
2019-07-07,18.0
2019-07-28,67.0
2019-08-04,100.0
2019-08-11,14.0
2019-08-18,19.0
2019-08-25,35.0
2019-09-01,17.0
2019-09-15,28.0
2019-09-29,20.0
2019-10-20,18.0
2019-11-03,65.0
2019-11-10,22.0
2019-11-17,32.0
2019-12-01,23.0
2019-12-22,16.0
2020-01-05,44.0
2020-02-02,15.0
2020-03-01,69.0
2020-03-08,36.0
2020-03-29,41.0
2020-04-05,19.0
2020-04-12,20.0
2020-04-26,22.0
2020-05-03,24.0
2020-05-10,13.0
2020-05-24,50.0
2020-05-31,43.0
2020-06-07,44.0
2020-06-21,17.0
2020-07-12,22.0
2020-07-19,43.0
2020-07-26,34.0
2020-08-02,46.0
2020-08-09,23.0
2020-08-23,51.0
2020-08-30,19.0
2020-09-06,29.0
2020-09-13,27.0
2020-09-27,38.0
2020-10-04,85.0
2020-10-18,68.0
2020-10-25,35.0
2020-11-15,41.0
2020-11-22,26.0
2020-11-29,29.0
2020-12-06,39.0
2020-12-27,48.0
2021-01-17,30.0
2021-01-24,18.0
2021-01-31,51.0
2021-02-07,44.0
2021-02-14,33.0
2021-02-21,33.0
2021-02-28,17.0
2021-03-14,35.0
2021-03-21,46.0
2021-04-18,26.0
2021-04-25,53.0
2021-05-16,42.0
2021-05-23,34.0
2021-05-30,54.0
2021-06-06,24.0
2021-06-27,28.0
2021-07-11,57.0
2021-07-18,27.0
2021-08-01,49.0
2021-08-08,30.0
2021-08-15,43.0
2021-08-22,19.0
2021-08-29,40.0
2021-09-05,89.0
2021-09-19,41.0
2021-09-26,22.0
2021-10-03,19.0
2021-10-17,22.0
2021-10-31,22.0
2021-11-07,32.0
2021-11-14,69.0
2021-11-21,25.0
2021-12-05,65.0
2021-12-12,40.0
2021-12-19,22.0
2021-12-26,50.0
2022-01-02,74.0
2022-01-16,34.0
2022-01-23,18.0
2022-01-30,26.0
2022-02-06,22.0
2022-02-13,14.0
2022-02-20,38.0
2022-02-27,24.0
2022-03-20,17.0
2022-03-27,13.0
2022-04-10,21.0
2022-04-17,21.0
2022-04-24,17.0
2022-05-08,29.0
2022-05-15,54.0
2022-05-22,15.0
2022-05-29,23.0
2022-06-05,21.0
2022-06-12,33.0
2022-06-19,21.0
2022-07-10,24.0
2022-07-17,63.0
2022-07-24,58.0
2022-07-31,26.0
2022-08-07,47.0
2022-08-14,15.0
2022-08-28,32.0
2022-09-04,54.0
2022-09-11,24.0
2022-09-18,15.0
2022-09-25,52.0
2022-10-02,14.0
2022-10-16,39.0
2022-10-23,65.0
2022-10-30,38.0
2022-11-06,32.0
2022-11-20,21.0
2022-11-27,60.0
2022-12-04,26.0
2022-12-11,26.0
2022-12-25,43.0
