,MVT_GT_Nashville TN
2017-02-12,22.0
2017-03-12,18.0
2017-04-02,25.0
2017-04-09,20.0
2017-04-23,58.0
2017-05-07,24.0
2017-05-14,38.0
2017-06-04,31.0
2017-06-11,23.0
2017-06-18,22.0
2017-07-09,64.0
2017-07-16,37.0
2017-09-03,82.0
2017-09-10,44.0
2017-09-17,20.0
2017-10-15,37.0
2017-10-29,48.0
2017-11-12,33.0
2017-12-03,44.0
2017-12-10,16.0
2017-12-24,75.0
2018-01-07,16.0
2018-02-11,45.0
2018-02-25,18.0
2018-03-04,20.0
2018-04-01,30.0
2018-05-20,35.0
2018-05-27,44.0
2018-06-03,19.0
2018-06-17,18.0
2018-07-08,26.0
2018-07-22,39.0
2018-07-29,17.0
2018-08-05,100.0
2018-08-12,45.0
2018-08-26,19.0
2018-09-16,43.0
2018-10-14,35.0
2018-11-04,20.0
2018-12-09,30.0
2019-01-06,18.0
2019-01-20,16.0
2019-02-10,18.0
2019-02-24,14.0
2019-03-10,34.0
2019-04-21,34.0
2019-05-12,42.0
2019-05-19,30.0
2019-06-16,54.0
2019-07-14,21.0
2019-07-21,28.0
2019-07-28,14.0
2019-09-29,23.0
2019-10-13,27.0
2019-10-20,25.0
2019-10-27,14.0
2019-11-03,22.0
2019-11-10,19.0
2019-11-17,21.0
2019-12-08,23.0
2019-12-15,41.0
2019-12-22,23.0
2019-12-29,21.0
2020-01-12,29.0
2020-01-19,33.0
2020-01-26,40.0
2020-02-02,32.0
2020-02-16,30.0
2020-03-01,20.0
2020-03-08,17.0
2020-03-15,15.0
2020-03-22,47.0
2020-03-29,25.0
2020-04-12,17.0
2020-04-19,15.0
2020-05-17,67.0
2020-05-24,23.0
2020-06-14,18.0
2020-06-28,23.0
2020-07-05,50.0
2020-08-30,45.0
2020-09-06,18.0
2020-09-13,16.0
2020-10-04,32.0
2020-10-11,27.0
2020-10-18,41.0
2020-10-25,60.0
2020-11-08,79.0
2020-11-15,28.0
2020-11-29,16.0
2020-12-13,15.0
2021-01-10,45.0
2021-01-17,16.0
2021-01-24,33.0
2021-02-07,18.0
2021-02-14,20.0
2021-02-21,30.0
2021-03-07,23.0
2021-04-04,23.0
2021-04-11,48.0
2021-05-02,43.0
2021-06-27,27.0
2021-07-18,23.0
2021-08-01,16.0
2021-08-08,37.0
2021-08-22,20.0
2021-09-19,21.0
2021-10-17,34.0
2021-11-07,41.0
2021-11-21,21.0
2021-11-28,47.0
2021-12-05,23.0
2022-01-02,20.0
2022-01-16,35.0
2022-01-23,22.0
2022-01-30,43.0
2022-02-06,49.0
2022-02-13,28.0
2022-02-27,18.0
2022-03-13,24.0
2022-03-27,19.0
2022-04-24,51.0
2022-05-08,17.0
2022-05-22,38.0
2022-06-05,23.0
2022-06-19,17.0
2022-06-26,27.0
2022-07-10,15.0
2022-07-17,52.0
2022-07-24,15.0
2022-08-21,35.0
2022-08-28,41.0
2022-09-11,25.0
2022-10-09,94.0
2022-10-16,41.0
2022-10-23,22.0
2022-10-30,25.0
2022-11-13,35.0
2022-11-20,41.0
2022-11-27,19.0
2022-12-11,31.0
