,MVT_GT_New York NY
2017-01-01,65.0
2017-01-08,53.0
2017-01-15,51.0
2017-01-22,40.0
2017-02-12,44.0
2017-02-19,41.0
2017-02-26,34.0
2017-03-05,30.0
2017-03-12,57.0
2017-03-19,65.0
2017-03-26,33.0
2017-04-02,23.0
2017-04-09,33.0
2017-04-16,34.0
2017-04-23,15.0
2017-04-30,37.0
2017-05-07,41.0
2017-05-14,32.0
2017-05-21,45.0
2017-05-28,38.0
2017-06-04,21.0
2017-06-11,40.0
2017-06-18,33.0
2017-06-25,38.0
2017-07-02,26.0
2017-07-09,41.0
2017-07-16,31.0
2017-07-23,45.0
2017-07-30,36.0
2017-08-06,50.0
2017-08-13,34.0
2017-08-20,31.0
2017-08-27,34.0
2017-09-03,46.0
2017-09-10,24.0
2017-09-17,30.0
2017-09-24,39.0
2017-10-01,29.0
2017-10-08,30.0
2017-10-15,38.0
2017-10-22,50.0
2017-10-29,33.0
2017-11-05,18.0
2017-11-12,100.0
2017-11-19,46.0
2017-11-26,35.0
2017-12-03,27.0
2017-12-10,31.0
2017-12-17,70.0
2017-12-24,56.0
2017-12-31,29.0
2018-01-07,28.976359537660475
2018-01-14,21.966939043682178
2018-01-21,43.933878087364356
2018-01-28,42.05652296386978
2018-02-04,37.86313515513335
2018-02-11,55.63668639007909
2018-02-18,51.88197614308994
2018-02-25,60.26875176056281
2018-03-04,51.38197614308994
2018-03-11,25.221649290671326
2018-03-18,35.047102469891485
2018-03-25,13.580163426209307
2018-04-01,49.06594345784808
2018-04-08,52.82065370483723
2018-04-15,60.26875176056281
2018-04-22,28.037681975913188
2018-04-29,36.92445759338606
2018-05-06,41.1178454021225
2018-05-13,24.28297172892404
2018-05-20,33.16974734639691
2018-05-27,69.15552737803569
2018-06-03,74.7875927485194
2018-06-10,50.00462101959536
2018-06-17,26.660326852418613
2018-06-24,40.17916784037521
2018-07-01,28.976359537660475
2018-07-08,57.01404151357366
2018-07-15,57.01404151357366
2018-07-22,34.6084249081442
2018-07-29,30.85371466115505
2018-08-05,59.830074198815524
2018-08-12,32.23106978464962
2018-08-19,42.05652296386978
2018-08-26,19.150906358440317
2018-09-02,43.933878087364356
2018-09-09,29.915037099407762
2018-09-16,45.31123321085893
2018-09-23,38.80181271688063
2018-09-30,23.844294167176752
2018-10-07,39.74049027862792
2018-10-14,34.1084249081442
2018-10-21,40.67916784037521
2018-10-28,35.047102469891485
2018-11-04,35.98578003163877
2018-11-11,52.82065370483723
2018-11-18,30.35371466115505
2018-11-25,61.7074293223101
2018-12-02,59.830074198815524
2018-12-09,38.80181271688063
2018-12-16,37.86313515513335
2018-12-23,35.98578003163877
2018-12-30,41.6178454021225
2019-01-06,35.98578003163877
2019-01-13,21.966939043682178
2019-01-20,40.17916784037521
2019-01-27,34.6084249081442
2019-02-03,20.089583920187604
2019-02-10,57.01404151357366
2019-02-17,36.92445759338606
2019-02-24,21.02826148193489
2019-03-03,33.16974734639691
2019-03-10,48.127265896100795
2019-03-17,25.721649290671326
2019-03-24,15.896196111451168
2019-03-31,14.957518549703881
2019-04-07,12.14148586446202
2019-04-14,26.160326852418613
2019-04-21,22.905616605429465
2019-04-28,30.85371466115505
2019-05-05,50.00462101959536
2019-05-12,46.24991077260621
2019-05-19,15.396196111451168
2019-05-26,24.28297172892404
2019-06-02,16.834873673198455
2019-06-09,28.976359537660475
2019-06-16,39.74049027862792
2019-06-23,27.0990044141659
2019-06-30,11.702808302714732
2019-07-07,20.089583920187604
2019-07-14,42.995200525617065
2019-07-21,44.872555649111646
2019-07-28,28.976359537660475
2019-08-04,64.96213956929924
2019-08-11,16.834873673198455
2019-08-18,42.55652296386978
2019-08-25,35.047102469891485
2019-09-01,21.966939043682178
2019-09-08,36.92445759338606
2019-09-15,10.264130740967445
2019-09-22,46.74991077260621
2019-09-29,35.047102469891485
2019-10-13,45.81123321085893
2019-10-20,29.915037099407762
2019-10-27,39.24049027862792
2019-11-03,45.81123321085893
2019-11-10,47.188588334353504
2019-11-17,28.037681975913188
2019-11-24,21.02826148193489
2019-12-01,43.933878087364356
2019-12-08,40.67916784037521
2019-12-15,41.1178454021225
2019-12-22,30.35371466115505
2019-12-29,36.42445759338606
2020-01-05,25.721649290671326
2020-01-12,41.1178454021225
2020-01-19,31.292392222902336
2020-01-26,33.66974734639691
2020-02-02,51.88197614308994
2020-02-09,28.976359537660475
2020-02-16,56.075363951826375
2020-02-23,23.844294167176752
2020-03-01,27.0990044141659
2020-03-08,23.844294167176752
2020-03-15,28.976359537660475
2020-03-22,17.273551234945742
2020-03-29,24.78297172892404
2020-04-05,35.047102469891485
2020-04-12,20.089583920187604
2020-04-19,37.86313515513335
2020-04-26,53.75933126658451
2020-05-03,57.95271907532095
2020-05-10,30.85371466115505
2020-05-17,42.05652296386978
2020-05-24,50.00462101959536
2020-05-31,46.24991077260621
2020-06-07,35.047102469891485
2020-06-14,28.976359537660475
2020-06-21,36.42445759338606
2020-06-28,53.25933126658451
2020-07-05,32.73106978464962
2020-07-12,23.844294167176752
2020-07-19,57.01404151357366
2020-07-26,42.05652296386978
2020-08-02,57.01404151357366
2020-08-09,28.976359537660475
2020-08-16,67.7781722545411
2020-08-23,26.160326852418613
2020-08-30,62.14610688405739
2020-09-06,71.97156006327754
2020-09-13,28.037681975913188
2020-09-20,28.037681975913188
2020-09-27,35.047102469891485
2020-10-04,33.16974734639691
2020-10-11,44.872555649111646
2020-10-18,35.047102469891485
2020-10-25,56.075363951826375
2020-11-01,11.202808302714732
2020-11-08,28.976359537660475
2020-11-15,21.02826148193489
2020-11-22,56.075363951826375
2020-11-29,30.35371466115505
2020-12-06,47.188588334353504
2020-12-13,56.075363951826375
2020-12-20,38.80181271688063
2020-12-27,21.02826148193489
2021-01-03,45.31123321085893
2021-01-10,21.966939043682178
2021-01-17,47.188588334353504
2021-01-24,57.45271907532095
2021-01-31,28.037681975913188
2021-02-07,19.150906358440317
2021-02-14,41.1178454021225
2021-02-21,27.0990044141659
2021-02-28,27.0990044141659
2021-03-07,29.415037099407762
2021-03-14,32.23106978464962
2021-03-21,29.415037099407762
2021-03-28,53.75933126658451
2021-04-04,42.995200525617065
2021-04-11,26.160326852418613
2021-04-18,35.98578003163877
2021-04-25,21.966939043682178
2021-05-02,55.63668639007909
2021-05-09,48.127265896100795
2021-05-16,57.01404151357366
2021-05-23,42.05652296386978
2021-05-30,45.81123321085893
2021-06-06,47.688588334353504
2021-06-13,31.292392222902336
2021-06-20,50.00462101959536
2021-06-27,35.047102469891485
2021-07-04,38.80181271688063
2021-07-11,41.1178454021225
2021-07-18,52.82065370483723
2021-07-25,50.00462101959536
2021-08-01,47.188588334353504
2021-08-08,33.16974734639691
2021-08-15,54.6980088283318
2021-08-22,40.67916784037521
2021-08-29,34.6084249081442
2021-09-05,51.88197614308994
2021-09-12,34.1084249081442
2021-09-19,24.78297172892404
2021-09-26,36.92445759338606
2021-10-03,60.76875176056281
2021-10-10,46.74991077260621
2021-10-17,37.86313515513335
2021-10-24,41.1178454021225
2021-10-31,36.92445759338606
2021-11-07,52.82065370483723
2021-11-14,57.95271907532095
2021-11-21,35.98578003163877
2021-11-28,63.58478444580467
2021-12-05,50.00462101959536
2021-12-12,46.74991077260621
2021-12-19,32.23106978464962
2021-12-26,31.792392222902336
2022-01-02,19.301812716880633
2022-01-09,60.53750352112562
2022-01-16,50.00924203919073
2022-01-23,69.31105475607137
2022-01-30,42.11304592773956
2022-02-06,36.84891518677212
2022-02-13,64.04692401510391
2022-02-20,44.745111298223286
2022-02-27,60.53750352112562
2022-03-06,41.23569080424499
2022-03-13,46.499821545212434
2022-03-20,80.71667136150083
2022-03-27,84.22609185547913
2022-04-03,87.73551234945742
2022-04-10,61.414858644620196
2022-04-17,58.78279327413647
2022-04-24,67.55634450908221
2022-05-01,46.499821545212434
2022-05-08,37.72627031026669
2022-05-15,56.15072790365275
2022-05-22,21.05652296386978
2022-05-29,31.584784445804672
2022-06-05,30.707429322310098
2022-06-12,63.169568891609345
2022-06-19,40.358335680750415
2022-06-26,41.23569080424499
2022-07-03,66.67898938558764
2022-07-10,62.29221376811477
2022-07-17,57.028083027147325
2022-07-24,78.96196111451168
2022-07-31,51.76395228617988
2022-08-07,59.66014839763105
2022-08-14,43.86775617472871
2022-08-21,63.169568891609345
2022-08-28,65.80163426209307
2022-09-04,43.86775617472871
2022-09-11,78.96196111451168
2022-09-18,35.97156006327754
2022-09-25,61.414858644620196
2022-10-02,45.62246642171786
2022-10-09,33.33949469279382
2022-10-16,50.00924203919073
2022-10-23,52.641307409674454
2022-10-30,53.51866253316903
2022-11-06,49.13188691569616
2022-11-13,57.028083027147325
2022-11-20,38.603625433761266
2022-11-27,52.641307409674454
2022-12-04,70.18840987956594
2022-12-11,64.9242791385985
2022-12-18,50.00924203919073
2022-12-25,51.76395228617988
