,MVT_GT_Norfolk-Portsmouth-Newport News VA
2017-01-01,55.0
2017-01-29,24.0
2017-02-05,22.0
2017-02-12,100.0
2017-03-19,24.0
2017-05-21,41.0
2017-07-09,29.0
2017-08-20,25.0
2017-10-01,22.0
2017-11-05,38.0
2017-12-17,32.0
2017-12-24,34.0
2018-01-07,46.61890625780596
2018-02-04,35.88443691641593
2018-02-11,29.830996467271746
2018-02-18,34.012025359517594
2018-03-18,20.032732904330885
2018-03-25,22.341350239678395
2018-04-01,28.394790688822578
2018-04-22,20.032732904330885
2018-04-29,37.756848473314264
2018-06-10,22.841350239678395
2018-07-08,30.267202245720917
2018-07-15,34.94823113796676
2018-09-30,38.19305425176344
2018-10-21,20.032732904330885
2018-11-04,22.341350239678395
2018-11-11,20.968938682780056
2018-12-09,19.09652712588172
2018-12-16,27.02237913192424
2019-01-20,64.7792276052385
2019-02-03,27.02237913192424
2019-02-10,20.032732904330885
2019-03-10,26.08617335347507
2019-03-24,61.03440449144183
2019-04-07,20.968938682780056
2019-05-19,34.012025359517594
2019-06-02,32.63961380261925
2019-06-16,72.20507961128104
2019-07-07,46.61890625780596
2019-07-14,29.830996467271746
2019-07-21,27.02237913192424
2019-08-04,21.905144461229227
2019-08-18,59.16199293454349
2019-08-25,51.23614092850097
2019-09-08,17.22411556898338
2019-09-15,33.57581958106842
2019-09-29,31.203408024170084
2019-11-17,36.8206426948651
2019-12-01,41.93787736556011
2019-12-15,20.968938682780056
2020-01-05,25.1499675750259
2020-01-26,26.08617335347507
2020-02-09,45.68270047935679
2020-02-16,26.58617335347507
2020-03-22,23.277556018127562
2020-04-12,22.841350239678395
2020-05-10,40.06546580866177
2020-05-31,27.02237913192424
2020-06-07,34.94823113796676
2020-06-14,40.06546580866177
2020-06-21,26.08617335347507
2020-07-05,19.09652712588172
2020-08-02,34.94823113796676
2020-08-09,19.09652712588172
2020-08-23,15.851704012085042
2020-10-04,33.07581958106842
2020-10-18,20.032732904330885
2020-11-22,48.92752359315347
2020-11-29,51.73614092850097
2020-12-13,17.72411556898338
2021-01-31,63.34302182678934
2021-02-21,19.59652712588172
2021-04-25,27.95858491037341
2021-05-09,52.67234670695014
2021-05-16,32.63961380261925
2021-06-20,21.905144461229227
2021-07-04,29.330996467271746
2021-07-11,29.330996467271746
2021-07-18,38.19305425176344
2021-07-25,25.1499675750259
2021-08-08,19.09652712588172
2021-08-15,21.905144461229227
2021-08-22,41.00167158711095
2021-09-12,26.08617335347507
2021-10-17,20.968938682780056
2021-11-21,38.19305425176344
2021-12-12,39.129260030212606
2022-01-02,68.9205129949687
2022-01-09,54.9619280845953
2022-01-23,47.98263562940859
2022-05-08,28.789581377645156
2022-05-22,29.661992934543495
2022-06-05,24.427523593153467
2022-06-26,51.472281857001946
2022-07-10,87.2411556898338
2022-07-24,46.237812515611914
2022-07-31,16.575819581068423
2022-08-28,24.427523593153467
2022-09-04,21.81028892245845
2022-10-02,20.937877365560112
2022-10-09,28.789581377645156
2022-10-23,15.703408024170084
2022-10-30,20.065465808661774
2022-11-06,17.44823113796676
2022-11-13,28.789581377645156
2022-11-20,49.72745874320527
2022-12-11,56.70675119839197
2022-12-18,26.17234670695014
