date,Omaha NE
2017-01-08,39.824
2017-01-29,32.428
2017-02-05,17.068
2017-02-19,32.842
2017-02-26,49.031
2017-03-05,34.911
2017-03-19,29.48
2017-04-02,48.875
2017-04-09,25.213
2017-04-16,24.05
2017-05-07,27.153
2017-05-21,77.58
2017-05-28,25.601
2017-06-04,14.74
2017-06-11,22.498
2017-06-18,48.1
2017-07-02,62.84
2017-07-09,18.878
2017-07-30,37.238
2017-08-06,36.928
2017-08-13,17.843
2017-09-03,43.445
2017-09-24,46.858
2017-10-01,36.152
2017-11-19,20.171
2017-11-26,37.238
2017-12-03,14.74
2017-12-24,48.875
2018-01-07,23.921
2018-01-14,23.274
2018-01-21,30.045
2018-01-28,32.0
2018-02-04,48.1
2018-02-11,18.484
2018-02-18,16.859
2018-02-25,30.472
2018-03-25,28.705
2018-04-08,38.851
2018-04-15,27.114
2018-04-22,27.847
2018-04-29,24.262
2018-05-06,24.047
2018-05-13,32.0
2018-05-27,52.0
2018-06-03,38.014
2018-06-10,33.225
2018-06-17,28.705
2018-06-24,63.743
2018-07-08,21.413
2018-07-15,33.348
2018-07-29,35.026
2018-08-05,31.0
2018-08-12,38.014
2018-08-26,29.0
2018-09-02,29.488
2018-09-09,28.514
2018-09-16,23.287
2018-09-23,26.205
2018-10-14,29.61
2018-10-21,40.401
2018-10-28,16.292
2018-11-25,49.484
2018-12-02,27.255
2018-12-09,49.104
2018-12-16,33.349
2018-12-23,34.355
2018-12-30,33.359
2019-01-06,22.16
2019-01-13,30.256
2019-01-27,19.363
2019-02-10,21.766
2019-02-17,23.645
2019-03-03,37.0
2019-03-10,25.567
2019-04-07,15.443
2019-04-14,22.079
2019-05-05,39.0
2019-05-12,17.256
2019-06-09,29.0
2019-06-16,20.597
2019-07-07,22.999
2019-07-14,24.641
2019-07-21,22.636
2019-07-28,33.235
2019-08-11,30.185
2019-08-18,21.766
2019-08-25,24.0
2019-09-01,24.015
2019-09-08,18.875
2019-09-15,31.0
2019-09-22,20.917
2019-10-06,25.567
2019-10-13,21.0
2019-10-20,37.929
2019-10-27,27.445
2019-11-03,18.217
2019-11-24,28.675
2019-12-01,34.207
2019-12-08,40.444
2019-12-15,44.0
2019-12-22,55.0
2019-12-29,25.817
2020-01-05,21.136
2020-01-19,21.0
2020-02-02,18.702
2020-02-09,31.032
2020-02-16,24.004
2020-02-23,18.979
2020-03-01,62.154
2020-03-15,16.292
2020-03-22,21.599
2020-04-05,12.413
2020-04-19,20.171
2020-05-10,40.972
2020-05-17,16.803
2020-05-24,20.749
2020-05-31,37.96
2020-06-14,47.334
2020-06-21,30.0
2020-06-28,19.367
2020-07-12,26.727
2020-07-19,23.7
2020-08-02,44.932
2020-08-16,98.0
2020-08-23,51.0
2020-09-06,39.0
2020-09-20,16.278
2020-09-27,31.782
2020-10-04,23.114
2020-10-11,41.611
2020-10-18,73.288
2020-11-01,42.651
2020-11-15,43.354
2020-11-29,22.853
2020-12-06,28.087
2020-12-27,27.0
2021-01-10,57.0
2021-01-17,16.655
2021-01-31,18.619
2021-02-07,27.929
2021-02-21,17.827
2021-02-28,30.256
2021-03-07,51.429
2021-03-28,49.613
2021-04-04,40.482
2021-04-11,16.268
2021-04-18,42.0
2021-04-25,16.325
2021-05-02,32.0
2021-05-09,72.778
2021-05-16,26.183
2021-05-23,36.396
2021-06-06,22.528
2021-06-20,25.565
2021-06-27,29.473
2021-07-11,60.512
2021-07-18,32.948
2021-07-25,34.0
2021-08-08,41.0
2021-08-15,34.843
2021-08-22,30.558
2021-09-05,70.0
2021-09-12,22.526
2021-09-19,22.853
2021-10-03,27.087
2021-10-17,30.988
2021-10-31,44.544
2021-11-07,20.862
2021-11-14,18.726
2021-11-28,15.881
2021-12-05,22.943
2021-12-12,25.744
2021-12-19,22.32
2021-12-26,43.0
2022-01-09,44.132
2022-01-16,27.929
2022-01-23,22.212
2022-02-06,29.868
2022-02-27,38.393
2022-03-06,23.981
2022-03-20,100.0
2022-03-27,23.814
2022-04-03,14.74
2022-04-10,38.476
2022-04-17,15.472
2022-04-24,16.903
2022-05-01,21.126
2022-05-08,37.0
2022-05-15,20.887
2022-06-05,30.596
2022-06-12,25.132
2022-06-26,44.02
2022-07-17,15.472
2022-07-24,32.55
2022-07-31,55.713
2022-08-07,33.036
2022-08-21,51.0
2022-08-28,35.696
2022-09-04,35.687
2022-09-25,24.432
2022-10-02,56.471
2022-10-23,17.252
2022-10-30,26.951
2022-11-06,13.718
2022-11-13,24.95
2022-11-20,20.171
2022-11-27,19.669
2022-12-04,16.292
2022-12-11,23.0
2022-12-18,32.687
2022-12-25,27.053
