date,Ontario
2017-01-01,12.75
2017-01-08,16.857
2017-01-15,20.8
2017-01-22,9.75
2017-01-29,11.857
2017-02-05,18.833
2017-02-12,12.6
2017-02-19,10.667
2017-02-26,16.167
2017-03-05,100.0
2017-03-12,26.143
2017-03-19,29.714
2017-03-26,24.0
2017-04-02,14.714
2017-04-09,9.0
2017-04-16,14.667
2017-04-23,10.714
2017-04-30,19.143
2017-05-07,14.714
2017-05-14,12.4
2017-05-21,11.8
2017-05-28,15.0
2017-06-04,12.4
2017-06-11,14.667
2017-06-18,13.0
2017-06-25,39.0
2017-07-02,20.857
2017-07-09,27.25
2017-07-16,14.429
2017-07-23,30.0
2017-07-30,10.429
2017-08-06,12.75
2017-08-13,25.286
2017-08-20,11.2
2017-08-27,21.333
2017-09-03,12.0
2017-09-10,16.5
2017-09-17,12.5
2017-09-24,37.714
2017-10-01,14.4
2017-10-08,16.714
2017-10-15,20.571
2017-10-22,20.286
2017-10-29,8.167
2017-11-05,21.286
2017-11-12,26.0
2017-11-19,24.429
2017-11-26,13.286
2017-12-03,10.25
2017-12-10,12.714
2017-12-17,9.0
2017-12-24,27.0
2017-12-31,20.8
2018-01-07,12.019
2018-01-14,9.63
2018-01-21,12.61
2018-01-28,9.129
2018-02-04,12.401
2018-02-11,14.251
2018-02-18,12.521
2018-02-25,32.798
2018-03-04,7.88
2018-03-11,11.619
2018-03-18,10.129
2018-03-25,10.036
2018-04-01,9.309
2018-04-08,14.304
2018-04-15,8.963
2018-04-22,15.2
2018-04-29,15.374
2018-05-06,16.233
2018-05-13,7.259
2018-05-20,25.082
2018-05-27,19.654
2018-06-03,23.018
2018-06-10,17.748
2018-06-17,18.438
2018-06-24,14.228
2018-07-01,17.985
2018-07-08,18.125
2018-07-15,30.379
2018-07-22,25.523
2018-07-29,29.169
2018-08-05,20.801
2018-08-12,18.051
2018-08-19,11.01
2018-08-26,18.104
2018-09-02,14.131
2018-09-09,12.607
2018-09-16,45.005
2018-09-23,21.185
2018-09-30,24.23
2018-10-07,15.019
2018-10-14,14.532
2018-10-21,27.021
2018-10-28,16.063
2018-11-04,29.867
2018-11-11,14.832
2018-11-18,20.913
2018-11-25,12.66
2018-12-02,40.41
2018-12-09,45.45
2018-12-23,20.068
2018-12-30,8.642
2019-01-06,21.437
2019-01-13,22.434
2019-01-20,14.117
2019-01-27,16.364
2019-02-03,20.627
2019-02-10,21.503
2019-02-17,14.109
2019-02-24,9.377
2019-03-03,17.925
2019-03-10,24.983
2019-03-17,16.966
2019-03-24,9.495
2019-03-31,15.22
2019-04-07,20.029
2019-04-14,19.073
2019-04-21,6.903
2019-04-28,21.656
2019-05-05,24.874
2019-05-12,15.424
2019-05-19,18.288
2019-05-26,14.123
2019-06-02,10.89
2019-06-09,18.089
2019-06-16,17.455
2019-06-23,26.416
2019-06-30,27.246
2019-07-07,15.703
2019-07-14,21.087
2019-07-21,25.686
2019-07-28,27.473
2019-08-04,23.339
2019-08-11,19.441
2019-08-18,18.494
2019-08-25,28.436
2019-09-01,7.622
2019-09-08,11.512
2019-09-15,20.333
2019-09-22,18.038
2019-09-29,16.824
2019-10-06,26.11
2019-10-13,18.064
2019-10-20,16.256
2019-10-27,22.662
2019-11-03,21.812
2019-11-10,24.879
2019-11-17,30.649
2019-11-24,23.058
2019-12-01,26.724
2019-12-08,18.555
2019-12-15,22.333
2019-12-22,13.139
2019-12-29,32.53
2020-01-05,20.186
2020-01-12,15.422
2020-01-19,12.015
2020-01-26,15.643
2020-02-02,14.134
2020-02-09,14.252
2020-02-16,23.052
2020-02-23,15.389
2020-03-01,10.894
2020-03-08,23.348
2020-03-15,10.203
2020-03-22,13.686
2020-03-29,17.103
2020-04-05,14.528
2020-04-12,16.319
2020-04-19,19.353
2020-04-26,21.007
2020-05-03,18.262
2020-05-10,11.625
2020-05-17,8.407
2020-05-24,14.272
2020-05-31,8.249
2020-06-07,17.029
2020-06-14,27.084
2020-06-21,14.133
2020-06-28,19.265
2020-07-05,17.929
2020-07-12,14.825
2020-07-19,11.939
2020-07-26,25.897
2020-08-02,14.663
2020-08-09,12.44
2020-08-16,10.862
2020-08-23,10.209
2020-08-30,19.25
2020-09-06,13.934
2020-09-13,17.004
2020-09-20,21.368
2020-09-27,22.153
2020-10-04,16.986
2020-10-11,18.788
2020-10-18,22.419
2020-10-25,9.66
2020-11-01,17.04
2020-11-08,13.181
2020-11-15,11.113
2020-11-22,20.6
2020-11-29,35.141
2020-12-06,31.277
2020-12-13,15.037
2020-12-20,22.088
2020-12-27,26.751
2021-01-03,20.446
2021-01-10,30.748
2021-01-17,20.363
2021-01-24,19.577
2021-01-31,14.976
2021-02-07,13.124
2021-02-14,13.949
2021-02-21,24.935
2021-02-28,12.002
2021-03-07,47.403
2021-03-14,41.501
2021-03-21,16.582
2021-03-28,14.121
2021-04-04,17.947
2021-04-11,10.425
2021-04-18,9.719
2021-04-25,9.543
2021-05-02,15.806
2021-05-09,22.681
2021-05-16,18.585
2021-05-23,22.014
2021-05-30,9.978
2021-06-06,13.312
2021-06-13,19.532
2021-06-20,22.148
2021-06-27,13.282
2021-07-04,10.419
2021-07-11,18.734
2021-07-18,16.435
2021-07-25,26.196
2021-08-01,22.959
2021-08-08,15.032
2021-08-15,18.516
2021-08-22,14.072
2021-08-29,27.506
2021-09-05,12.089
2021-09-12,14.421
2021-09-19,15.783
2021-09-26,25.553
2021-10-03,17.021
2021-10-10,26.982
2021-10-17,28.862
2021-10-24,28.571
2021-10-31,18.104
2021-11-07,41.738
2021-11-14,26.635
2021-11-21,25.76
2021-11-28,21.448
2021-12-05,33.595
2021-12-12,45.853
2021-12-19,32.694
2021-12-26,25.963
2022-01-02,13.836
2022-01-09,11.726
2022-01-16,11.64
2022-01-23,29.889
2022-01-30,34.033
2022-02-06,19.267
2022-02-13,22.733
2022-02-20,12.776
2022-02-27,20.523
2022-03-06,23.086
2022-03-13,12.006
2022-03-20,28.823
2022-03-27,27.483
2022-04-03,15.481
2022-04-10,29.472
2022-04-17,21.517
2022-04-24,26.974
2022-05-01,22.404
2022-05-08,22.495
2022-05-15,44.063
2022-05-22,40.125
2022-05-29,22.422
2022-06-05,58.764
2022-06-12,42.169
2022-06-19,25.484
2022-06-26,38.809
2022-07-03,19.816
2022-07-10,33.159
2022-07-17,22.849
2022-07-24,25.352
2022-07-31,18.213
2022-08-07,33.941
2022-08-14,33.888
2022-08-21,29.787
2022-08-28,21.097
2022-09-04,30.364
2022-09-11,31.924
2022-09-18,26.005
2022-09-25,18.425
2022-10-02,31.77
2022-10-09,30.216
2022-10-16,47.019
2022-10-23,28.731
2022-10-30,29.969
2022-11-06,19.282
2022-11-13,32.484
2022-11-20,30.677
2022-11-27,30.373
2022-12-04,41.148
2022-12-11,33.001
2022-12-18,39.667
2022-12-25,43.351
