,MVT_GT_Philadelphia PA
2017-01-08,49.0
2017-01-15,74.0
2017-01-22,61.0
2017-01-29,23.0
2017-02-12,39.0
2017-02-19,63.0
2017-02-26,37.0
2017-03-12,40.0
2017-03-26,28.0
2017-04-02,26.0
2017-04-16,42.0
2017-04-23,36.0
2017-05-07,45.0
2017-05-14,32.0
2017-05-21,65.0
2017-05-28,97.0
2017-06-18,23.0
2017-06-25,48.0
2017-07-02,53.0
2017-07-23,85.0
2017-07-30,68.0
2017-08-06,32.0
2017-08-13,100.0
2017-08-20,27.0
2017-09-03,41.0
2017-09-17,27.0
2017-09-24,20.0
2017-10-01,23.0
2017-10-22,25.0
2017-11-12,53.0
2017-11-19,54.0
2017-11-26,34.0
2017-12-03,41.0
2017-12-17,35.0
2017-12-24,51.0
2017-12-31,41.0
2018-01-07,57.336338727330315
2018-01-14,47.093368049633895
2018-01-28,37.87469443970711
2018-02-11,26.10742669424105
2018-02-18,59.38493286286959
2018-02-25,37.87469443970711
2018-03-04,52.2148533884821
2018-03-11,26.10742669424105
2018-03-25,45.044773914094606
2018-04-01,32.7532091008589
2018-04-08,20.98594135539284
2018-04-22,18.437347219853557
2018-05-06,20.98594135539284
2018-05-13,46.06907098186425
2018-05-20,38.39899150747675
2018-05-27,36.850397371937476
2018-06-03,37.87469443970711
2018-06-17,61.93352699840888
2018-06-24,19.461644287623198
2018-07-01,53.23915045625174
2018-07-08,35.826100304167824
2018-07-22,46.56907098186425
2018-07-29,60.40922993063924
2018-08-05,50.166259252942815
2018-08-12,48.11766511740353
2018-08-19,32.7532091008589
2018-08-26,17.913050152083912
2018-09-09,52.2148533884821
2018-09-16,24.058832558701766
2018-09-23,81.89517128603208
2018-09-30,41.97188271078568
2018-10-07,45.044773914094606
2018-10-28,37.87469443970711
2018-11-04,20.98594135539284
2018-11-11,37.87469443970711
2018-11-18,38.89899150747675
2018-12-02,47.093368049633895
2018-12-09,47.093368049633895
2018-12-16,44.02047684632497
2018-12-23,80.37087421826243
2019-01-13,38.89899150747675
2019-01-27,25.083129626471408
2019-02-03,23.034535490932125
2019-02-17,16.388753084314274
2019-02-24,38.89899150747675
2019-03-03,53.23915045625174
2019-03-24,47.093368049633895
2019-03-31,60.90922993063924
2019-04-14,27.131723762010694
2019-04-28,27.131723762010694
2019-05-05,34.801803236398186
2019-05-12,22.010238423162484
2019-05-26,36.850397371937476
2019-06-09,55.787744591791025
2019-06-16,16.888753084314274
2019-06-23,23.034535490932125
2019-06-30,48.11766511740353
2019-07-07,23.034535490932125
2019-07-14,31.22891203308926
2019-07-21,23.034535490932125
2019-07-28,43.49617977855532
2019-08-04,22.010238423162484
2019-08-11,17.913050152083912
2019-08-18,63.98212113394816
2019-08-25,17.913050152083912
2019-09-01,44.02047684632497
2019-09-08,49.14196218517317
2019-09-15,39.923288575246396
2019-09-29,25.083129626471408
2019-10-06,38.89899150747675
2019-10-13,34.801803236398186
2019-10-20,66.53071526948744
2019-11-03,41.97188271078568
2019-11-10,36.350397371937476
2019-11-17,50.166259252942815
2019-11-24,63.98212113394816
2019-12-01,32.7532091008589
2019-12-15,36.850397371937476
2019-12-22,30.20461496531962
2019-12-29,17.913050152083912
2020-01-05,36.350397371937476
2020-01-12,30.20461496531962
2020-01-19,41.97188271078568
2020-01-26,41.97188271078568
2020-02-02,49.64196218517317
2020-02-09,14.840158948774988
2020-02-16,26.10742669424105
2020-02-23,17.913050152083912
2020-03-01,17.913050152083912
2020-03-08,23.034535490932125
2020-03-29,28.156020829780335
2020-04-12,22.010238423162484
2020-04-26,49.14196218517317
2020-05-03,13.815861881005347
2020-05-10,42.99617977855532
2020-05-31,35.826100304167824
2020-06-21,35.826100304167824
2020-06-28,14.340158948774988
2020-07-05,24.558832558701766
2020-07-26,29.180317897549976
2020-08-02,90.08954782818921
2020-08-09,58.36063579509995
2020-08-23,22.010238423162484
2020-08-30,30.70461496531962
2020-09-06,48.61766511740353
2020-09-20,42.99617977855532
2020-10-04,52.2148533884821
2020-10-11,31.72891203308926
2020-10-18,38.89899150747675
2020-10-25,85.99235955711065
2020-11-01,49.64196218517317
2020-11-08,14.840158948774988
2020-11-15,36.350397371937476
2020-11-22,53.23915045625174
2020-11-29,60.90922993063924
2020-12-06,32.7532091008589
2020-12-13,38.39899150747675
2020-12-20,35.826100304167824
2020-12-27,95.71103316703741
2021-01-03,45.544773914094606
2021-01-17,33.27750616862855
2021-01-31,19.961644287623198
2021-02-07,92.1381419637285
2021-02-14,62.95782406617852
2021-02-28,38.89899150747675
2021-03-07,29.180317897549976
2021-03-14,41.47188271078568
2021-03-21,41.97188271078568
2021-04-04,24.058832558701766
2021-04-18,27.131723762010694
2021-04-25,31.22891203308926
2021-05-02,37.87469443970711
2021-05-09,49.64196218517317
2021-05-23,13.815861881005347
2021-05-30,15.86445601654463
2021-06-06,23.034535490932125
2021-06-27,29.680317897549976
2021-07-04,57.836338727330315
2021-07-11,38.89899150747675
2021-07-18,40.94758564301604
2021-07-25,54.76344752402139
2021-08-01,25.083129626471408
2021-08-22,22.010238423162484
2021-08-29,35.326100304167824
2021-09-05,36.850397371937476
2021-09-12,56.81204165956067
2021-09-19,49.14196218517317
2021-10-03,42.99617977855532
2021-10-10,31.72891203308926
2021-10-17,59.88493286286959
2021-10-24,17.913050152083912
2021-11-07,71.15220060833565
2021-11-14,42.99617977855532
2021-11-21,71.15220060833565
2021-11-28,42.99617977855532
2021-12-05,49.14196218517317
2021-12-12,20.98594135539284
2021-12-19,34.301803236398186
2021-12-26,65.0064182017178
2022-01-02,58.721271590199905
2022-01-09,50.33251850588563
2022-01-16,32.50641820171781
2022-01-23,65.01283640343561
2022-01-30,48.235330234807066
2022-02-13,36.700794743874944
2022-02-20,30.40922993063924
2022-02-27,104.8594135539284
2022-03-06,59.76986572573919
2022-03-13,53.478300912503485
2022-03-20,52.4297067769642
2022-03-27,26.2148533884821
2022-04-03,31.45782406617852
2022-04-10,89.13050152083915
2022-04-17,46.1381419637285
2022-04-24,72.3529953522106
2022-05-01,56.62408331912134
2022-05-08,49.28392437034635
2022-05-15,28.31204165956067
