date,Philadelphia PA
2017-01-01,51.613
2017-01-08,52.199
2017-01-15,68.035
2017-01-22,54.106
2017-01-29,26.51
2017-02-05,28.622
2017-02-12,39.443
2017-02-19,64.516
2017-02-26,43.402
2017-03-05,35.191
2017-03-12,38.475
2017-03-26,32.845
2017-04-02,32.991
2017-04-16,36.95
2017-04-23,32.258
2017-04-30,35.191
2017-05-07,37.39
2017-05-14,35.191
2017-05-21,60.411
2017-05-28,100.0
2017-06-04,21.114
2017-06-11,30.499
2017-06-18,34.018
2017-06-25,55.572
2017-07-02,48.094
2017-07-09,22.991
2017-07-16,22.757
2017-07-23,73.431
2017-07-30,58.651
2017-08-06,40.469
2017-08-13,70.088
2017-08-20,51.026
2017-08-27,32.845
2017-09-03,43.988
2017-09-10,76.246
2017-09-17,31.672
2017-09-24,27.566
2017-10-01,26.979
2017-10-08,49.971
2017-10-22,32.258
2017-10-29,25.103
2017-11-05,43.402
2017-11-12,47.507
2017-11-19,52.786
2017-11-26,31.672
2017-12-03,48.094
2017-12-10,14.076
2017-12-17,46.774
2017-12-24,60.264
2017-12-31,48.24
2018-01-07,46.01
2018-01-14,45.834
2018-01-21,47.399
2018-01-28,41.201
2018-02-04,32.845
2018-02-11,28.364
2018-02-18,45.422
2018-02-25,40.73
2018-03-04,48.256
2018-03-11,31.886
2018-03-18,26.222
2018-03-25,52.251
2018-04-01,30.765
2018-04-08,29.603
2018-04-15,35.676
2018-04-22,21.769
2018-04-29,39.029
2018-05-06,39.973
2018-05-13,46.368
2018-05-20,40.679
2018-05-27,36.269
2018-06-03,36.942
2018-06-10,36.619
2018-06-17,55.323
2018-06-24,27.928
2018-07-01,45.124
2018-07-08,41.085
2018-07-15,32.67
2018-07-22,41.347
2018-07-29,49.194
2018-08-05,55.622
2018-08-12,50.985
2018-08-19,34.223
2018-08-26,22.011
2018-09-02,34.894
2018-09-09,59.598
2018-09-16,38.964
2018-09-23,74.151
2018-09-30,36.001
2018-10-07,29.121
2018-10-14,19.996
