,MVT_GT_Phoenix AZ
2017-01-01,38.0
2017-01-08,31.0
2017-01-15,53.0
2017-01-22,22.0
2017-02-05,37.0
2017-02-26,18.0
2017-03-19,21.0
2017-03-26,67.0
2017-04-16,19.0
2017-04-23,30.0
2017-05-21,80.0
2017-06-04,27.0
2017-06-11,30.0
2017-06-18,40.0
2017-07-02,33.0
2017-07-09,52.0
2017-07-16,57.0
2017-07-23,26.0
2017-07-30,33.0
2017-08-06,50.0
2017-08-13,65.0
2017-09-03,28.0
2017-09-17,13.0
2017-09-24,36.0
2017-10-15,22.0
2017-11-05,23.0
2017-11-12,78.0
2017-11-19,100.0
2017-11-26,39.0
2017-12-03,31.0
2017-12-24,51.0
2017-12-31,46.0
2018-01-14,17.007599373811942
2018-02-04,16.60247559410661
2018-03-11,24.15371339115992
2018-03-18,21.938342052043925
2018-03-25,13.88710425499062
2018-04-01,25.058837170865246
2018-04-08,21.033218272338594
2018-04-15,18.817846933222604
2018-04-22,30.89470362880256
2018-04-29,16.10247559410661
2018-05-13,19.722970712927932
2018-05-20,24.15371339115992
2018-05-27,14.79222803469595
2018-06-03,70.24576883436376
2018-07-01,42.06643654467719
2018-07-15,43.87668410408785
2018-07-29,51.02279812143583
2018-08-05,17.007599373811942
2018-08-12,42.97156032438252
2018-08-26,25.96396095057058
2018-09-09,21.938342052043925
2018-09-23,41.16131276497186
2018-10-14,18.817846933222604
2018-10-28,20.128094492633267
2018-11-11,19.222970712927932
2018-11-18,19.722970712927932
2018-12-02,16.10247559410661
2018-12-09,18.817846933222604
2018-12-16,35.82544630703455
2018-12-30,22.843465831749256
2019-01-13,26.869084730275908
2019-01-27,41.16131276497186
2019-02-03,13.88710425499062
2019-02-10,28.67933228968657
2019-02-17,24.15371339115992
2019-02-24,54.14329324025715
2019-03-03,18.817846933222604
2019-03-10,46.997179222909175
2019-03-17,36.230570086739874
2019-03-24,51.02279812143583
2019-04-07,64.00477859672111
2019-04-14,14.79222803469595
2019-04-28,43.87668410408785
2019-05-12,32.20495118821322
2019-05-26,50.11767434173049
2019-06-02,30.89470362880256
2019-06-09,21.938342052043925
2019-06-16,23.748589611454587
2019-06-23,30.89470362880256
2019-07-07,41.16131276497186
2019-07-21,26.869084730275908
2019-08-04,39.3510652055612
2019-08-11,15.19735181440128
2019-08-18,22.843465831749256
2019-09-01,17.007599373811942
2019-09-08,26.869084730275908
2019-09-29,22.843465831749256
2019-10-13,28.17933228968657
2019-10-20,20.128094492633267
2019-10-27,20.128094492633267
2019-11-03,26.369084730275908
2019-11-24,33.61007496791855
2019-12-01,20.628094492633267
2019-12-08,21.033218272338594
2019-12-15,18.817846933222604
2019-12-22,59.979159698194465
2020-01-05,19.222970712927932
2020-01-19,18.817846933222604
2020-01-26,51.92792190114116
2020-02-02,12.07685669557996
2020-02-09,26.869084730275908
2020-02-16,66.7201499358371
2020-02-23,27.77420850998124
2020-03-01,19.222970712927932
2020-03-22,19.222970712927932
2020-04-05,24.65371339115992
2020-04-12,21.033218272338594
2020-04-19,21.938342052043925
2020-04-26,12.07685669557996
2020-05-03,26.869084730275908
2020-05-10,19.222970712927932
2020-05-17,31.799827408507895
2020-05-31,27.77420850998124
2020-06-07,33.61007496791855
2020-06-14,38.945941425855864
2020-06-21,19.222970712927932
2020-07-05,26.869084730275908
2020-07-19,11.171732915874628
2020-07-26,11.171732915874628
2020-08-02,33.11007496791855
2020-08-09,12.98198047528529
2020-08-16,40.75618898526653
2020-08-23,17.912723153517273
2020-08-30,25.96396095057058
2020-09-06,41.16131276497186
2020-09-13,12.98198047528529
2020-09-20,25.058837170865246
2020-09-27,15.19735181440128
2020-10-04,40.25618898526653
