date,Phoenix AZ
2017-01-01,91.588
2017-01-08,40.706
2017-01-15,26.168
2017-01-22,23.26
2017-02-05,54.92
2017-02-12,26.168
2017-02-19,29.076
2017-03-05,29.076
2017-03-12,31.111
2017-03-19,55.243
2017-03-26,46.105
2017-04-02,35.763
2017-04-09,61.059
2017-04-16,31.175
2017-04-23,25.36
2017-05-07,24.714
2017-05-14,44.259
2017-05-21,42.483
2017-06-04,34.891
2017-06-11,61.059
2017-06-18,39.09
2017-06-25,31.983
2017-07-02,46.812
2017-07-09,36.829
2017-07-16,66.228
2017-07-23,59.12
2017-07-30,49.267
2017-08-06,39.46
2017-08-13,78.181
2017-08-20,40.221
2017-09-03,91.588
2017-09-10,30.045
2017-09-17,39.875
2017-09-24,38.629
2017-10-01,17.445
2017-10-08,66.001
2017-10-15,30.529
2017-10-22,23.26
2017-10-29,31.498
2017-11-05,42.159
2017-11-12,54.597
2017-11-19,21.807
2017-11-26,43.613
2017-12-03,27.299
2017-12-10,27.137
2017-12-17,61.785
2017-12-24,47.975
2017-12-31,43.613
2018-01-07,31.256
2018-01-14,41.406
2018-02-04,31.5
2018-02-11,100.0
2018-02-18,26.168
2018-02-25,35.174
2018-03-04,32.338
2018-03-11,47.594
2018-03-18,41.937
2018-03-25,26.168
2018-04-01,55.271
2018-04-08,39.962
2018-04-15,19.384
2018-04-22,39.252
2018-05-06,29.968
2018-05-13,46.396
2018-05-20,45.067
2018-05-27,36.344
2018-06-03,85.109
2018-06-10,44.356
2018-06-17,59.605
2018-06-24,22.906
2018-07-01,48.963
2018-07-22,40.76
2018-07-29,46.036
2018-08-05,39.792
2018-08-12,39.443
2018-08-19,25.808
2018-08-26,30.587
2018-09-02,23.26
2018-09-09,38.751
2018-09-16,24.714
2018-09-30,23.745
2018-10-07,39.252
2018-10-14,32.709
2018-10-21,25.047
2018-10-28,45.551
2018-11-04,33.437
2018-11-11,42.075
2018-11-18,34.891
2018-11-25,58.959
2018-12-02,18.899
2018-12-16,49.057
2018-12-23,53.79
2018-12-30,36.829
2019-01-06,31.497
2019-01-13,42.87
2019-01-20,62.485
2019-01-27,31.014
2019-02-03,29.075
2019-02-10,23.018
2019-02-17,20.134
2019-02-24,44.74
2019-03-03,27.507
2019-03-10,51.022
2019-03-17,24.463
2019-03-24,33.517
2019-04-07,32.081
2019-04-14,36.342
2019-04-21,24.849
2019-04-28,46.267
2019-05-12,20.397
2019-05-19,28.106
2019-05-26,66.023
2019-06-02,42.153
2019-06-09,31.983
2019-06-16,25.698
2019-06-23,23.636
2019-06-30,26.884
2019-07-07,31.472
2019-07-14,56.738
2019-07-21,26.168
2019-07-28,49.428
2019-08-04,26.58
