date,Portland OR
2017-01-01,28.291
2017-01-08,45.685
2017-01-15,32.351
2017-01-22,37.197
2017-02-05,29.077
2017-02-12,55.141
2017-02-19,36.324
2017-02-26,39.398
2017-03-05,32.613
2017-03-12,21.585
2017-03-19,29.339
2017-03-26,74.395
2017-04-02,30.518
2017-04-09,33.53
2017-04-16,51.343
2017-04-23,21.375
2017-04-30,63.288
2017-05-07,26.981
2017-05-14,33.321
2017-05-21,35.888
2017-06-04,35.416
2017-06-11,46.733
2017-06-18,62.45
2017-06-25,50.426
2017-07-02,37.197
2017-07-09,38.638
2017-07-23,48.2
2017-07-30,35.495
2017-08-06,27.243
2017-08-13,41.039
2017-08-20,51.343
2017-08-27,29.758
2017-09-03,15.717
2017-09-10,17.813
2017-09-17,39.293
2017-09-24,25.541
2017-10-01,57.42
2017-10-15,22.528
2017-10-29,32.308
2017-11-05,45.056
2017-11-12,22.135
2017-11-26,19.21
2017-12-03,25.148
2017-12-17,36.15
2017-12-24,34.578
2017-12-31,35.207
2018-01-07,24.153
2018-01-14,27.686
2018-01-21,79.843
2018-02-04,34.321
2018-02-11,18.282
2018-02-18,36.911
2018-02-25,30.542
2018-03-04,45.219
2018-03-11,41.391
2018-03-18,27.774
2018-03-25,51.832
2018-04-01,33.535
2018-04-08,31.684
2018-04-15,16.605
2018-04-29,38.57
2018-05-06,27.929
2018-05-13,37.25
2018-05-20,32.048
2018-05-27,25.686
2018-06-10,34.91
2018-06-17,56.034
2018-06-24,41.976
2018-07-01,20.753
2018-07-08,37.599
2018-07-15,30.716
2018-07-22,50.218
2018-07-29,47.799
2018-08-05,42.318
2018-08-12,36.305
2018-08-19,33.583
2018-08-26,37.173
2018-09-02,25.38
2018-09-09,28.796
2018-09-16,29.319
2018-09-23,22.559
2018-09-30,44.207
2018-10-07,36.901
2018-10-14,37.61
2018-10-28,59.125
2018-11-04,31.972
2018-11-11,38.203
2018-11-18,35.944
2018-11-25,45.685
2018-12-02,40.923
2018-12-09,74.499
2018-12-16,34.721
2018-12-30,32.461
2019-01-06,53.235
2019-01-13,39.017
2019-01-27,29.08
2019-02-03,45.13
2019-02-10,38.777
2019-02-17,29.466
2019-02-24,32.748
2019-03-03,58.639
2019-03-10,61.893
2019-03-17,65.896
2019-03-24,29.99
2019-04-07,28.819
2019-04-14,49.597
2019-04-21,32.387
2019-04-28,70.942
2019-05-05,44.741
2019-05-12,36.386
2019-05-19,39.588
2019-05-26,52.12
2019-06-02,74.108
2019-06-09,70.524
2019-06-16,43.322
2019-06-23,24.109
2019-06-30,39.627
2019-07-07,41.287
2019-07-28,24.609
2019-08-04,38.271
2019-08-11,42.165
2019-08-18,32.688
2019-08-25,40.928
2019-09-01,31.876
2019-09-15,29.88
2019-09-22,28.471
2019-10-06,46.751
2019-10-13,40.002
2019-10-20,37.988
2019-10-27,50.622
2019-11-03,33.363
2019-11-10,26.251
2019-11-17,52.395
2019-11-24,33.864
2019-12-01,32.865
2019-12-08,67.516
2019-12-15,44.234
2019-12-22,31.532
2019-12-29,26.897
2020-01-05,65.2
2020-01-12,47.563
2020-01-19,31.42
2020-02-02,29.319
2020-02-09,25.146
2020-02-16,35.677
2020-03-01,29.535
2020-03-15,24.011
2020-03-22,22.036
2020-03-29,20.928
2020-04-05,32.835
2020-04-12,20.462
2020-04-19,23.037
2020-04-26,26.209
2020-05-03,29.38
2020-05-10,34.825
2020-05-17,47.786
2020-05-24,30.495
2020-05-31,32.388
2020-06-07,34.66
2020-06-21,19.103
2020-06-28,46.929
2020-07-05,63.108
2020-07-12,42.581
2020-07-19,23.49
2020-07-26,33.598
2020-08-02,30.518
2020-08-09,52.336
2020-08-16,33.212
2020-08-23,19.937
2020-08-30,26.843
2020-09-06,20.863
2020-09-13,48.047
2020-09-20,48.557
2020-09-27,36.034
2020-10-04,53.466
2020-10-11,19.821
2020-10-18,31.963
2020-10-25,56.92
2020-11-01,32.794
2020-11-15,35.04
2020-11-22,46.073
2020-11-29,18.872
2020-12-06,44.762
2020-12-13,77.04
2020-12-20,48.559
2020-12-27,25.4
2021-01-03,42.066
2021-01-10,36.815
2021-01-17,22.647
2021-01-24,48.953
2021-01-31,23.037
2021-02-07,41.979
2021-02-14,44.388
2021-02-21,38.71
2021-03-07,38.35
2021-03-14,81.083
2021-03-21,27.326
2021-03-28,42.006
2021-04-04,26.255
2021-04-11,29.037
2021-04-18,100.0
2021-04-25,26.102
2021-05-02,23.037
2021-05-09,31.437
2021-05-16,64.162
2021-05-23,25.131
2021-05-30,39.216
2021-06-06,48.352
2021-06-13,48.403
2021-06-20,37.198
2021-06-27,30.821
2021-07-04,68.04
2021-07-11,47.053
2021-07-18,27.678
2021-07-25,22.439
2021-08-01,24.107
2021-08-08,41.732
2021-08-15,36.392
2021-08-22,42.17
2021-08-29,63.382
2021-09-05,44.771
2021-09-12,28.398
2021-09-19,69.156
2021-09-26,25.181
2021-10-03,41.309
2021-10-17,56.384
2021-10-24,53.537
2021-10-31,56.13
2021-11-07,33.228
2021-11-14,42.677
2021-11-21,27.406
2021-11-28,46.716
2021-12-05,70.891
2021-12-12,76.49
2021-12-19,56.74
2021-12-26,34.32
2022-01-02,55.761
2022-01-09,30.33
2022-01-16,28.372
2022-01-23,55.656
2022-01-30,52.741
2022-02-06,48.375
2022-02-13,42.509
2022-02-20,78.93
2022-02-27,50.32
2022-03-06,30.699
2022-03-13,51.789
2022-03-20,34.274
2022-03-27,94.881
2022-04-03,49.386
2022-04-10,28.372
2022-04-17,55.203
2022-04-24,41.659
2022-05-01,42.152
2022-05-08,43.236
2022-05-15,60.585
2022-05-22,49.953
2022-05-29,41.748
2022-06-05,46.881
2022-06-12,33.258
2022-06-19,18.507
2022-06-26,45.048
2022-07-03,34.423
2022-07-10,50.844
2022-07-17,46.792
2022-07-24,42.732
