,MVT_GT_Raleigh-Durham (Fayetteville) NC
2017-01-08,35.0
2017-02-05,24.0
2017-02-26,25.0
2017-03-12,27.0
2017-03-19,25.0
2017-03-26,45.0
2017-04-30,21.0
2017-05-14,40.0
2017-05-21,24.0
2017-05-28,32.0
2017-06-04,27.0
2017-07-09,36.0
2017-07-16,61.0
2017-07-30,25.0
2017-08-06,100.0
2017-08-13,70.0
2017-09-17,19.0
2017-10-08,16.0
2017-10-22,33.0
2017-10-29,25.0
2017-12-24,55.0
2017-12-31,32.0
2018-01-07,24.267372147041726
2018-02-18,17.049986647938173
2018-03-04,58.867345442918065
2018-04-01,44.80431299462132
2018-06-17,70.81516224148376
2018-07-15,31.613019096234922
2018-08-05,26.010849246862435
2018-10-07,25.13911069695208
2018-10-21,46.91952864435238
2018-11-11,19.16520229766924
2018-12-02,17.049986647938173
2019-02-03,17.049986647938173
2019-02-17,37.95866604542812
2019-03-10,23.895633597131372
2019-03-24,31.113019096234922
2019-04-07,25.13911069695208
2019-04-14,14.063032448296752
2019-04-28,63.96951529229056
2019-05-12,14.934770998207107
2019-05-19,31.113019096234922
2019-06-02,13.691293898386395
2019-06-09,30.241280546324568
2019-07-07,19.16520229766924
2019-07-14,26.010849246862435
2019-07-21,19.16520229766924
2019-08-04,16.178248098027815
2019-08-11,30.241280546324568
2019-08-25,22.15215649731066
2019-09-01,13.191293898386395
2019-09-08,13.691293898386395
2019-09-15,18.793463747758885
2019-10-20,26.010849246862435
2019-11-17,16.178248098027815
2019-11-24,14.063032448296752
2019-12-01,14.934770998207107
2019-12-08,14.063032448296752
2019-12-29,23.023895047221014
2020-01-05,57.12386834309736
2020-01-26,20.908679397489948
2020-02-02,15.306509548117461
2020-02-09,55.88039124327665
2020-03-08,13.191293898386395
2020-04-26,20.908679397489948
2020-05-10,14.063032448296752
2020-05-17,24.767372147041726
2020-05-31,36.21518894560741
2020-06-21,23.895633597131372
2020-07-05,40.07388169515919
2020-07-12,12.81955534847604
2020-07-19,41.817358794979896
2020-07-26,14.934770998207107
2020-08-16,22.65215649731066
2020-09-06,16.178248098027815
2020-09-13,18.293463747758885
2020-09-20,20.036940847579594
2020-09-27,37.95866604542812
2020-10-25,74.17385499103554
2020-11-15,14.934770998207107
2020-11-22,18.793463747758885
2020-11-29,12.81955534847604
2020-12-13,31.113019096234922
2020-12-27,14.063032448296752
2021-01-10,29.369541996414213
2021-01-17,13.691293898386395
2021-01-24,20.036940847579594
2021-02-21,29.869541996414213
2021-02-28,13.191293898386395
2021-03-07,26.88258779677279
2021-03-14,28.99780344650386
2021-04-04,17.921725197848527
2021-04-11,14.063032448296752
2021-05-16,17.049986647938173
2021-05-23,17.049986647938173
2021-05-30,20.036940847579594
2021-06-20,48.16300574417309
2021-06-27,13.691293898386395
2021-08-22,20.036940847579594
2021-09-26,23.895633597131372
2021-10-03,18.793463747758885
2021-10-17,18.793463747758885
2021-12-05,14.934770998207107
2021-12-19,52.89343704363523
2021-12-26,16.178248098027815
2022-02-13,16.356496196055634
2022-03-20,21.560835894800608
2022-03-27,24.534744294083453
2022-04-03,22.30431299462132
2022-04-17,19.330404595338475
2022-05-08,20.8173587949799
2022-05-15,27.508652693366294
2022-05-29,14.126064896593503
2022-06-19,31.96951529229056
2022-06-26,14.126064896593503
2022-07-10,38.66080919067695
2022-07-17,17.099973295876346
2022-07-24,39.404286290497666
2022-07-31,20.073881695159187
2022-08-14,13.38258779677279
2022-08-21,55.01730538673259
2022-09-04,17.099973295876346
2022-09-11,28.995606893007714
2022-09-18,16.356496196055634
2022-10-23,47.58253438852548
2022-10-30,14.126064896593503
2022-11-06,43.121671789601216
2022-11-27,14.869541996414213
2022-12-04,46.83905728870477
2022-12-25,51.29991988762903
