,MVT_GT_Sacramento-Stockton-Modesto CA
2017-01-01,43.0
2017-01-08,28.0
2017-01-29,20.0
2017-02-05,22.0
2017-02-19,37.0
2017-02-26,44.0
2017-03-05,17.0
2017-03-12,46.0
2017-03-19,33.0
2017-03-26,38.0
2017-04-02,70.0
2017-04-09,36.0
2017-04-23,33.0
2017-04-30,21.0
2017-05-07,31.0
2017-05-14,65.0
2017-05-21,39.0
2017-05-28,30.0
2017-06-04,55.0
2017-06-18,30.0
2017-06-25,68.0
2017-07-09,30.0
2017-07-16,18.0
2017-07-23,25.0
2017-07-30,47.0
2017-08-27,48.0
2017-09-17,34.0
2017-09-24,39.0
2017-10-01,46.0
2017-10-08,39.0
2017-10-15,32.0
2017-10-22,30.0
2017-10-29,74.0
2017-11-19,36.0
2017-12-03,20.0
2017-12-10,48.0
2018-01-07,59.403294318760985
2018-01-21,23.657216429347503
2018-01-28,41.28025537405425
2018-02-04,52.855445840263926
2018-02-11,34.732406895557176
2018-03-11,47.82126835562316
2018-03-25,49.33493934947946
2018-04-08,20.636709938563047
2018-04-15,19.129874441634897
2018-04-29,24.164051926275654
2018-05-13,27.184558417060114
2018-06-03,34.732406895557176
2018-06-17,27.184558417060114
2018-06-24,18.123038944706742
2018-07-08,34.732406895557176
2018-07-15,29.19822941091642
2018-07-22,29.19822941091642
2018-08-05,28.191393913988264
2018-08-12,42.7870908709824
2018-08-19,49.33493934947946
2018-08-26,16.109367950850437
2018-09-02,44.800761864838705
2018-09-09,26.177722920131963
2018-09-16,44.300761864838705
2018-09-23,35.73924239248533
2018-09-30,42.2870908709824
2018-10-07,49.83493934947946
2018-10-21,37.75291338634163
2018-10-28,36.246077889413485
2018-11-11,20.636709938563047
2018-11-25,47.82126835562316
2018-12-02,45.80759736176685
2018-12-09,100.17671419588709
2018-12-16,96.14937220817447
2018-12-30,20.136709938563047
2019-01-06,26.177722920131963
2019-01-20,42.2870908709824
2019-02-03,36.246077889413485
2019-02-10,18.123038944706742
2019-02-17,40.273419877126095
2019-02-24,23.157216429347503
2019-03-31,34.232406895557176
2019-04-07,54.36911683412023
2019-04-14,29.69822941091642
2019-04-21,55.87595233104838
2019-04-28,28.191393913988264
2019-05-19,27.184558417060114
2019-05-26,38.75974888326979
2019-06-02,71.98532028189882
2019-06-23,46.81443285869501
2019-07-07,36.246077889413485
2019-07-14,35.73924239248533
2019-07-21,42.7870908709824
2019-07-28,35.23924239248533
2019-08-18,20.636709938563047
2019-09-08,32.718735901700875
2019-09-15,32.218735901700875
2019-09-22,14.095696956994132
2019-09-29,37.75291338634163
2019-10-06,15.602532453922285
2019-10-13,25.17088742320381
2019-10-20,21.6435454354912
2019-10-27,54.86911683412023
2019-11-10,60.91012981568914
2019-11-24,17.116203447778588
2019-12-01,27.184558417060114
2019-12-08,90.10835922660556
2019-12-15,16.109367950850437
2019-12-22,26.177722920131963
2020-01-05,23.657216429347503
2020-01-12,30.20506490784457
2020-01-19,19.129874441634897
2020-01-26,20.636709938563047
2020-02-02,32.718735901700875
2020-02-16,21.1435454354912
2020-02-23,25.17088742320381
2020-03-01,42.2870908709824
2020-03-08,21.1435454354912
2020-03-15,23.157216429347503
2020-04-05,26.677722920131963
2020-04-12,16.109367950850437
2020-04-19,16.109367950850437
2020-05-10,20.136709938563047
2020-05-17,24.664051926275654
2020-05-31,47.82126835562316
2020-06-07,33.72557139862903
2020-06-14,29.69822941091642
2020-06-21,26.177722920131963
2020-06-28,40.773419877126095
2020-07-05,24.164051926275654
2020-07-12,26.177722920131963
2020-07-26,15.102532453922285
2020-08-02,12.082025963137827
2020-08-09,86.08101723889294
2020-08-16,12.582025963137827
2020-09-06,22.150380932419353
2020-09-13,30.20506490784457
2020-09-20,15.102532453922285
2020-09-27,24.164051926275654
2020-11-01,15.102532453922285
2020-11-15,16.609367950850437
2020-11-22,17.116203447778588
2020-11-29,27.684558417060114
2020-12-06,41.28025537405425
2020-12-13,57.88962332490468
2020-12-20,53.36228133719207
2020-12-27,24.664051926275654
2021-01-03,20.136709938563047
2021-01-10,18.123038944706742
2021-01-17,36.746077889413485
2021-01-24,22.150380932419353
2021-02-14,44.800761864838705
2021-02-21,24.664051926275654
2021-03-07,46.81443285869501
2021-03-14,29.19822941091642
2021-03-21,23.157216429347503
2021-03-28,16.109367950850437
2021-04-04,47.82126835562316
2021-04-18,17.616203447778588
2021-04-25,19.629874441634897
2021-05-16,56.88278782797653
2021-05-30,27.684558417060114
2021-06-13,55.87595233104838
2021-06-20,26.177722920131963
2021-07-04,26.177722920131963
2021-07-11,45.30759736176685
2021-08-01,14.095696956994132
2021-09-12,27.184558417060114
2021-09-19,28.191393913988264
2021-09-26,33.72557139862903
2021-10-31,25.17088742320381
2021-11-07,38.25974888326979
2021-11-14,28.191393913988264
2021-11-21,33.72557139862903
2021-11-28,20.136709938563047
2021-12-19,36.746077889413485
2021-12-26,49.33493934947946
2022-01-02,35.47848478497066
2022-01-23,16.218735901700875
2022-02-06,21.287090870982396
2022-02-13,31.423800809545444
2022-02-27,13.177722920131961
2022-03-06,28.38278782797653
2022-03-13,33.45114279725805
2022-03-20,18.246077889413485
2022-04-03,34.46481379111436
2022-04-10,17.23240689555718
2022-04-17,21.287090870982396
2022-05-01,22.3007618648387
2022-05-08,23.314432858695007
2022-05-22,29.396458821832834
2022-05-29,29.396458821832834
2022-06-05,15.20506490784457
2022-06-19,39.53316876039588
2022-06-26,16.218735901700875
2022-07-03,14.191393913988264
2022-07-10,18.246077889413485
2022-07-17,23.314432858695007
2022-07-31,19.25974888326979
2022-08-07,29.396458821832834
2022-08-14,38.51949776653958
2022-08-21,15.20506490784457
2022-08-28,37.50582677268327
2022-09-11,47.64253671124632
2022-09-18,29.396458821832834
2022-09-25,86.1620344777859
2022-10-02,49.669878698958925
2022-10-09,27.369116834120227
2022-10-16,40.54683975425219
2022-10-23,32.43747180340175
2022-10-30,34.46481379111436
2022-11-06,42.57418174196479
2022-11-20,101.36709938563047
2022-12-11,44.6015237296774
2022-12-18,43.5878527358211
2022-12-25,24.328103852551312
