,MVT_GT_San Antonio TX
2017-01-08,17.0
2017-01-15,17.0
2017-01-22,19.0
2017-02-05,48.0
2017-02-12,20.0
2017-02-19,32.0
2017-03-05,22.0
2017-03-19,26.0
2017-03-26,18.0
2017-04-16,17.0
2017-04-23,18.0
2017-05-14,26.0
2017-05-21,20.0
2017-06-11,24.0
2017-06-18,34.0
2017-06-25,16.0
2017-07-02,29.0
2017-07-23,16.0
2017-10-01,15.0
2017-10-15,17.0
2017-10-22,29.0
2017-10-29,20.0
2017-11-05,29.0
2017-11-12,25.0
2017-12-10,28.0
2017-12-24,26.0
2018-01-07,16.0
2018-01-21,32.0
2018-02-04,27.0
2018-04-15,50.0
2018-05-06,17.0
2018-06-03,28.0
2018-07-08,41.0
2018-07-22,17.0
2018-07-29,20.0
2018-08-12,16.0
2018-09-02,25.0
2018-09-09,18.0
2018-09-16,16.0
2018-10-14,63.0
2018-10-21,22.0
2018-11-11,17.0
2018-11-25,33.0
2018-12-02,31.0
2018-12-23,87.0
2019-01-13,29.0
2019-01-27,35.0
2019-02-24,49.0
2019-03-03,37.0
2019-03-10,21.0
2019-03-17,27.0
2019-04-07,21.0
2019-04-28,18.0
2019-05-12,48.0
2019-05-19,20.0
2019-06-30,46.0
2019-08-04,17.0
2019-08-11,20.0
2019-08-25,63.0
2019-09-01,18.0
2019-09-22,23.0
2019-10-13,36.0
2019-10-27,22.0
2019-11-03,13.0
2019-11-17,19.0
2019-12-08,18.0
2019-12-15,14.0
2020-01-12,18.0
2020-01-26,13.0
2020-02-02,12.0
2020-02-16,100.0
2020-03-01,22.0
2020-03-08,28.0
2020-04-05,19.0
2020-05-10,25.0
2020-05-17,24.0
2020-05-24,16.0
2020-05-31,18.0
2020-06-07,17.0
2020-07-05,20.0
2020-07-19,19.0
2020-09-06,12.0
2020-09-13,38.0
2020-09-20,24.0
2020-10-18,19.0
2020-10-25,19.0
2020-11-15,19.0
2020-12-13,43.0
2021-01-03,14.0
2021-01-31,44.0
2021-02-07,21.0
2021-02-21,30.0
2021-02-28,15.0
2021-03-21,18.0
2021-04-04,17.0
2021-04-25,34.0
2021-05-30,22.0
2021-06-20,40.0
2021-06-27,32.0
2021-07-11,15.0
2021-08-22,30.0
2021-08-29,21.0
2021-09-05,38.0
2021-09-12,71.0
2021-09-26,31.0
2021-10-10,23.0
2021-10-31,17.0
2021-11-14,28.0
2021-11-21,42.0
2021-11-28,17.0
2021-12-05,87.0
2021-12-26,19.0
2022-01-16,20.0
2022-01-23,56.0
2022-02-20,25.0
2022-02-27,40.0
2022-03-06,16.0
2022-03-27,23.0
2022-04-17,10.0
2022-05-01,19.0
2022-05-08,13.0
2022-06-05,40.0
2022-06-12,19.0
2022-07-10,13.0
2022-07-24,35.0
2022-07-31,19.0
2022-08-07,28.0
2022-08-28,15.0
2022-09-11,15.0
2022-10-02,26.0
2022-10-16,26.0
2022-10-23,49.0
2022-10-30,27.0
2022-11-27,66.0
2022-12-04,25.0
2022-12-18,30.0
2022-12-25,43.0
