date,San Antonio TX
2017-01-01,30.311
2017-01-22,61.744
2017-01-29,28.29
2017-02-05,44.905
2017-02-12,55.168
2017-02-19,66.608
2017-02-26,37.42
2017-03-05,32.556
2017-03-12,30.311
2017-03-19,52.763
2017-03-26,28.627
2017-04-02,44.905
2017-04-09,28.907
2017-04-16,26.269
2017-04-23,67.731
2017-04-30,25.82
2017-05-07,46.027
2017-05-14,36.766
2017-05-21,37.527
2017-05-28,24.698
2017-06-04,25.072
2017-06-11,26.943
2017-06-18,96.545
2017-06-25,22.452
2017-07-02,48.834
2017-07-09,29.749
2017-07-16,28.065
2017-07-30,63.241
2017-08-27,23.575
2017-09-03,51.266
2017-09-10,19.084
2017-09-17,38.169
2017-10-01,30.123
2017-10-08,30.311
2017-10-15,56.131
2017-10-29,29.188
2017-11-05,59.499
2017-11-12,33.491
2017-11-19,47.43
2017-11-26,34.801
2017-12-10,57.253
2017-12-24,21.33
2017-12-31,29.749
2018-01-07,28.637
2018-01-14,69.724
2018-01-21,57.211
2018-02-04,31.129
2018-02-11,37.028
2018-02-25,52.555
2018-03-04,95.555
2018-03-11,68.083
2018-03-18,83.419
2018-03-25,32.556
2018-04-01,34.428
2018-04-08,25.445
2018-04-15,36.99
2018-05-06,33.726
2018-05-27,89.583
2018-06-03,29.489
2018-06-10,22.694
2018-06-17,31.131
2018-06-24,48.223
2018-07-01,49.474
2018-07-08,62.996
2018-07-15,48.753
2018-07-22,31.433
2018-08-12,40.723
2018-08-19,33.646
2018-08-26,51.048
2018-09-02,37.163
2018-09-09,52.233
2018-09-16,34.862
2018-09-23,45.089
2018-09-30,28.065
2018-10-07,56.256
2018-10-14,32.553
2018-10-21,42.76
2018-10-28,27.305
2018-11-11,67.234
2018-11-18,58.867
2018-11-25,43.0
2018-12-02,31.852
2018-12-09,39.417
2018-12-16,31.127
2018-12-23,41.614
2018-12-30,29.177
2019-01-06,29.188
2019-01-13,32.698
2019-02-03,16.54
2019-02-17,48.558
2019-03-03,37.028
2019-03-10,52.201
2019-03-17,95.87
2019-03-31,78.439
2019-04-07,36.794
2019-04-14,27.472
2019-04-28,64.5
2019-05-05,26.278
2019-05-12,32.27
2019-05-26,34.801
2019-06-02,28.533
2019-06-09,24.95
2019-06-16,51.58
2019-06-23,35.833
2019-06-30,60.65
2019-07-07,21.839
2019-07-14,34.135
2019-07-28,36.107
2019-08-04,37.908
2019-08-11,53.885
2019-08-18,30.311
2019-08-25,53.75
2019-09-01,26.846
2019-09-08,31.127
2019-09-22,33.542
2019-09-29,25.807
2019-10-06,22.411
2019-10-13,45.741
2019-10-20,20.134
2019-11-03,16.54
2019-11-10,22.69
2019-11-17,21.84
2019-11-24,25.82
2019-12-01,16.924
2019-12-08,28.292
2019-12-22,26.69
2019-12-29,32.25
2020-01-19,28.667
2020-01-26,33.364
2020-02-16,31.112
2020-02-23,13.423
2020-03-01,36.032
2020-03-08,71.666
2020-03-15,20.149
2020-03-22,77.014
2020-03-29,41.181
2020-04-05,29.504
2020-04-12,28.825
2020-04-19,25.642
2020-05-03,34.959
2020-05-10,27.585
2020-05-17,22.451
2020-05-31,18.044
2020-06-07,48.82
2020-06-14,29.24
2020-06-21,18.276
2020-06-28,20.825
2020-07-05,23.667
2020-07-12,37.028
2020-07-19,41.414
2020-07-26,39.23
2020-08-02,23.792
2020-08-09,19.361
