,MVT_GT_San Diego CA
2017-01-08,40.0
2017-01-15,26.0
2017-01-22,33.0
2017-01-29,24.0
2017-02-05,18.0
2017-02-12,16.0
2017-03-05,20.0
2017-03-19,17.0
2017-04-02,24.0
2017-04-16,45.0
2017-05-21,33.0
2017-05-28,18.0
2017-06-04,45.0
2017-06-18,28.0
2017-06-25,16.0
2017-07-09,59.0
2017-07-16,27.0
2017-07-23,27.0
2017-08-06,100.0
2017-08-13,14.0
2017-08-20,27.0
2017-09-03,31.0
2017-09-17,12.0
2017-10-08,13.0
2017-10-15,42.0
2017-10-29,20.0
2017-11-05,40.0
2017-11-12,26.0
2017-11-19,46.0
2017-11-26,13.0
2017-12-17,17.0
2017-12-24,72.0
2018-01-07,32.19906466061179
2018-01-14,18.949454385356876
2018-01-28,18.949454385356876
2018-02-18,26.049246532159497
2018-02-25,30.299116623911132
2018-03-04,28.89916858721048
2018-03-11,34.599012697312446
2018-03-18,23.69932447710851
2018-04-08,35.998960734013096
2018-04-22,20.84940242205753
2018-05-27,37.89890877071375
2018-06-03,17.999480367006548
2018-06-17,32.69906466061179
2018-07-01,24.149298495458844
2018-07-08,53.04846708266932
2018-07-22,17.049506348656223
2018-07-29,35.998960734013096
2018-08-05,17.049506348656223
2018-08-19,30.299116623911132
2018-09-02,34.099012697312446
2018-09-09,45.948674935866705
2018-09-16,21.79937644040786
2018-09-30,21.29937644040786
2018-10-07,20.84940242205753
2018-10-21,16.099532330305895
2018-10-28,15.149558311955566
2018-11-04,40.248830825764735
2018-12-02,89.99740183503275
2018-12-09,14.19958429360524
2018-12-16,33.149038678962114
2019-01-20,36.94893475236343
2019-01-27,26.999220550509826
2019-02-03,15.149558311955566
2019-02-10,24.649298495458844
2019-02-17,26.049246532159497
2019-02-24,42.14877886246539
2019-03-10,48.29859699091769
2019-03-24,27.94919456886015
2019-03-31,13.249610275254913
2019-04-07,13.249610275254913
2019-04-14,25.09927251380917
2019-04-28,19.899428403707205
2019-05-05,42.14877886246539
2019-05-12,18.949454385356876
2019-05-26,17.999480367006548
2019-06-16,19.899428403707205
2019-06-23,48.79859699091769
2019-06-30,22.249350458758187
2019-07-07,14.19958429360524
2019-07-14,42.14877886246539
2019-07-21,21.29937644040786
2019-07-28,22.749350458758187
2019-08-04,33.649038678962114
2019-08-11,74.84784352307719
2019-08-18,16.599532330305895
2019-09-15,22.749350458758187
2019-09-22,13.249610275254913
2019-09-29,29.849142605560807
2019-10-13,20.34940242205753
2019-10-20,20.84940242205753
2019-11-03,26.049246532159497
2019-11-10,17.049506348656223
2019-12-01,39.79885680741441
2019-12-08,15.149558311955566
2019-12-29,34.099012697312446
2020-01-05,19.899428403707205
2020-01-12,25.09927251380917
2020-02-23,40.748830825764735
2020-03-01,32.69906466061179
2020-03-08,24.649298495458844
2020-03-15,39.79885680741441
2020-03-22,36.94893475236343
2020-03-29,12.799636256904584
2020-04-05,17.999480367006548
2020-04-12,57.79833717442096
2020-05-03,15.149558311955566
2020-05-17,19.399428403707205
2020-06-07,18.949454385356876
2020-06-14,28.89916858721048
2020-06-21,29.349142605560807
2020-06-28,21.79937644040786
2020-07-26,11.849662238554256
2020-08-02,36.94893475236343
2020-08-16,19.899428403707205
2020-09-20,26.999220550509826
2020-09-27,50.69854502761834
2020-10-04,24.149298495458844
2020-10-11,31.74909064226146
2020-10-18,33.649038678962114
2020-10-25,49.24857100926801
2020-11-08,35.54898671566277
2020-12-27,83.84758370658045
2021-01-17,35.04898671566277
2021-01-24,76.24779155977784
2021-02-14,36.94893475236343
2021-02-21,14.19958429360524
2021-02-28,18.949454385356876
2021-03-07,22.249350458758187
2021-03-21,15.149558311955566
2021-03-28,24.149298495458844
2021-04-04,40.248830825764735
2021-04-11,26.999220550509826
2021-04-18,74.84784352307719
2021-04-25,16.099532330305895
2021-05-02,13.749610275254913
2021-05-16,20.84940242205753
2021-07-11,25.59927251380917
2021-07-18,19.899428403707205
2021-07-25,13.749610275254913
2021-08-01,41.69880484411506
2021-08-08,29.349142605560807
2021-08-15,24.149298495458844
2021-08-22,26.049246532159497
2021-09-05,17.999480367006548
2021-09-12,21.79937644040786
2021-09-26,46.89864895421702
2021-10-03,20.34940242205753
2021-10-10,28.89916858721048
2021-10-31,35.04898671566277
2021-11-07,26.999220550509826
2021-11-21,36.94893475236343
2021-12-05,14.19958429360524
2021-12-19,23.69932447710851
2022-01-09,35.09797343132554
2022-01-16,46.797297908434054
2022-01-23,26.998441101019647
2022-01-30,21.598752880815717
2022-02-13,29.69828521112161
2022-03-06,20.698804844115063
2022-03-13,24.298596990917684
2022-03-20,15.299116623911134
2022-03-27,25.198545027618337
2022-04-03,9.899428403707205
2022-04-10,19.79885680741441
2022-04-24,35.09797343132554
2022-05-01,34.198025394624885
2022-05-08,28.798337174420958
2022-05-22,13.499220550509824
2022-06-05,21.598752880815717
2022-06-19,41.397609688230126
2022-07-03,23.398648954217027
2022-07-10,27.898389137720304
2022-07-17,28.798337174420958
2022-07-24,55.79677827544061
2022-07-31,17.9989607340131
2022-08-14,13.499220550509824
2022-08-21,28.798337174420958
2022-08-28,35.9979214680262
2022-09-25,18.898908770713753
2022-10-02,17.9989607340131
2022-10-09,35.09797343132554
2022-10-16,30.598233247822268
2022-10-30,15.299116623911134
2022-12-04,14.399168587210479
2022-12-11,31.49818128452292
2022-12-25,37.797817541427506
