date,San Francisco-Oakland-San Jose CA
2017-01-01,73.418
2017-01-08,48.945
2017-01-15,38.397
2017-01-22,55.274
2017-01-29,50.211
2017-02-05,37.553
2017-02-12,52.743
2017-02-19,63.713
2017-02-26,62.447
2017-03-05,50.633
2017-03-12,45.992
2017-03-19,43.46
2017-03-26,56.54
2017-04-02,61.181
2017-04-09,44.304
2017-04-16,39.662
2017-04-23,65.823
2017-04-30,53.797
2017-05-07,48.523
2017-05-14,45.57
2017-05-21,43.038
2017-05-28,52.743
2017-06-04,52.743
2017-06-11,25.316
2017-06-18,56.54
2017-06-25,62.869
2017-07-02,49.367
2017-07-09,52.321
2017-07-16,37.553
2017-07-23,26.582
2017-07-30,51.055
2017-08-06,39.873
2017-08-13,41.35
2017-08-20,21.097
2017-08-27,33.755
2017-09-03,54.43
2017-09-10,27.848
2017-09-17,45.57
2017-09-24,46.835
2017-10-01,62.869
2017-10-08,43.882
2017-10-15,37.975
2017-10-22,46.835
2017-10-29,56.118
2017-11-05,29.114
2017-11-12,51.477
2017-11-19,48.101
2017-11-26,22.785
2017-12-03,30.802
2017-12-10,46.835
2017-12-17,41.772
2017-12-24,24.895
2017-12-31,35.443
2018-01-07,41.772
2018-01-14,81.857
2018-01-21,47.257
2018-01-28,34.177
2018-02-04,58.228
2018-02-11,40.928
2018-02-18,26.582
2018-02-25,35.865
2018-03-04,38.819
2018-03-11,27.848
2018-03-18,44.304
2018-03-25,52.321
2018-04-01,30.802
2018-04-08,63.713
2018-04-15,40.506
2018-04-22,60.759
2018-04-29,42.616
2018-05-06,30.38
2018-05-13,45.57
2018-05-20,44.726
2018-05-27,36.709
2018-06-03,53.481
2018-06-10,26.582
2018-06-17,37.553
2018-06-24,35.443
2018-07-01,48.945
2018-07-08,40.506
2018-07-15,25.949
2018-07-22,27.848
2018-07-29,42.405
2018-08-05,46.835
2018-08-12,42.616
2018-08-19,29.536
2018-08-26,41.35
2018-09-02,23.207
2018-09-09,27.004
2018-09-16,62.025
2018-09-23,21.519
2018-09-30,42.194
2018-10-07,57.806
2018-10-14,21.519
2018-10-21,32.489
2018-10-28,54.008
2018-11-04,18.987
2018-11-11,34.177
2018-11-18,51.477
2018-11-25,58.228
2018-12-02,36.287
2018-12-09,16.878
2018-12-16,35.865
2018-12-23,91.561
2018-12-30,16.456
2019-01-06,26.16
2019-01-13,34.177
2019-01-20,38.608
2019-01-27,53.165
2019-02-03,49.367
2019-02-10,38.397
2019-02-17,47.679
2019-02-24,52.954
2019-03-03,63.291
2019-03-10,25.316
2019-03-17,57.384
2019-03-24,41.983
2019-03-31,28.481
2019-04-07,34.177
2019-04-14,49.367
2019-04-21,41.35
2019-04-28,46.414
2019-05-05,48.101
2019-05-12,24.051
2019-05-19,54.43
2019-05-26,31.646
2019-06-02,37.764
2019-06-09,50.633
2019-06-16,34.177
2019-06-23,43.46
2019-06-30,32.068
2019-07-07,43.882
2019-07-14,47.679
2019-07-21,30.38
2019-07-28,53.165
2019-08-04,40.506
2019-08-11,51.266
2019-08-18,44.726
2019-08-25,24.684
2019-09-01,61.603
2019-09-08,17.089
2019-09-15,27.848
2019-09-22,24.895
2019-09-29,37.975
2019-10-06,47.257
2019-10-13,31.224
2019-10-20,35.865
2019-10-27,51.055
2019-11-03,30.802
2019-11-10,49.789
2019-11-17,49.367
2019-11-24,63.713
2019-12-01,37.975
2019-12-08,54.852
2019-12-15,41.35
2019-12-22,49.367
2019-12-29,46.835
2020-01-05,44.937
2020-01-12,25.738
2020-01-19,27.004
2020-01-26,35.443
2020-02-02,43.46
2020-02-09,40.084
2020-02-16,29.958
2020-02-23,50.633
2020-03-01,30.38
2020-03-08,36.709
2020-03-15,18.565
2020-03-22,27.848
2020-03-29,35.443
2020-04-05,48.523
2020-04-12,37.975
2020-04-19,43.038
2020-04-26,37.553
2020-05-03,19.831
2020-05-10,28.692
2020-05-17,40.084
2020-05-24,54.852
2020-05-31,100.0
2020-06-07,61.392
2020-06-14,40.506
2020-06-21,48.523
2020-06-28,28.481
2020-07-05,38.397
2020-07-12,44.304
2020-07-19,24.684
2020-07-26,34.177
2020-08-02,54.43
2020-08-09,41.772
2020-08-16,40.506
2020-08-23,45.148
2020-08-30,35.865
2020-09-06,43.882
2020-09-13,35.443
2020-09-20,37.553
2020-09-27,25.316
2020-10-04,36.076
2020-10-11,14.557
2020-10-18,21.519
2020-10-25,25.316
2020-11-01,28.692
2020-11-08,30.802
2020-11-15,35.021
2020-11-22,43.882
2020-11-29,39.241
2020-12-06,21.519
2020-12-13,48.101
2020-12-20,85.232
2020-12-27,51.055
2021-01-03,59.072
2021-01-10,29.536
2021-01-17,78.903
2021-01-24,66.456
2021-01-31,38.397
2021-02-07,93.671
2021-02-14,46.414
2021-02-21,42.194
2021-02-28,44.937
2021-03-07,35.443
2021-03-14,32.068
2021-03-21,35.021
2021-03-28,43.46
2021-04-04,41.35
2021-04-11,59.916
2021-04-18,55.063
2021-04-25,57.384
2021-05-02,26.582
2021-05-09,40.506
2021-05-16,43.038
2021-05-23,50.633
2021-05-30,64.557
2021-06-06,37.553
2021-06-13,49.789
2021-06-20,60.759
2021-06-27,29.958
2021-07-04,92.827
2021-07-11,29.114
2021-07-18,52.743
2021-07-25,53.797
2021-08-01,79.536
2021-08-08,63.291
2021-08-15,57.384
2021-08-22,54.641
2021-08-29,54.852
2021-09-05,58.65
2021-09-12,31.646
2021-09-19,38.608
2021-09-26,51.477
2021-10-03,37.342
2021-10-10,46.835
2021-10-17,44.304
2021-10-24,65.19
2021-10-31,40.506
2021-11-07,37.025
2021-11-14,52.321
2021-11-21,17.722
2021-11-28,35.021
2021-12-05,43.882
2021-12-12,24.051
2021-12-19,64.979
2021-12-26,38.186
2022-01-02,32.911
2022-01-09,62.658
2022-01-16,94.937
2022-01-23,80.591
2022-01-30,74.262
2022-02-06,62.025
2022-02-13,33.333
2022-02-20,38.608
2022-02-27,58.65
2022-03-06,49.789
2022-03-13,50.211
2022-03-20,35.021
2022-03-27,56.329
2022-04-03,61.181
2022-04-10,51.477
2022-04-17,59.072
2022-04-24,44.726
2022-05-01,48.945
2022-05-08,32.068
2022-05-15,38.819
2022-05-22,46.414
2022-05-29,47.89
2022-06-05,68.776
2022-06-12,69.198
2022-06-19,47.257
2022-06-26,25.527
2022-07-03,44.937
2022-07-10,55.274
2022-07-17,57.806
2022-07-24,69.62
2022-07-31,51.477
2022-08-07,64.768
2022-08-14,54.008
2022-08-21,66.245
2022-08-28,60.759
2022-09-04,42.827
2022-09-11,61.603
2022-09-18,34.177
2022-09-25,56.962
2022-10-02,53.165
2022-10-09,57.384
2022-10-16,54.852
2022-10-23,59.072
2022-10-30,25.316
2022-11-06,42.194
2022-11-13,73.84
2022-11-20,37.975
2022-11-27,78.059
2022-12-04,34.599
2022-12-11,21.519
2022-12-18,49.367
2022-12-25,54.43
