,MVT_GT_Seattle-Tacoma WA
2017-01-01,61.0
2017-01-08,42.0
2017-01-15,18.0
2017-01-22,24.0
2017-01-29,34.0
2017-02-05,29.0
2017-02-12,25.0
2017-02-19,50.0
2017-02-26,16.0
2017-03-05,38.0
2017-03-19,25.0
2017-04-02,21.0
2017-04-09,90.0
2017-04-23,59.0
2017-05-07,40.0
2017-05-14,53.0
2017-05-21,24.0
2017-05-28,28.0
2017-06-18,38.0
2017-07-02,51.0
2017-07-09,21.0
2017-07-16,35.0
2017-07-30,27.0
2017-08-13,33.0
2017-08-27,34.0
2017-09-03,45.0
2017-09-24,40.0
2017-10-08,65.0
2017-10-15,37.0
2017-11-12,30.0
2017-11-19,86.0
2017-11-26,33.0
2017-12-10,48.0
2018-01-07,33.11645576192509
2018-01-21,44.65527434923345
2018-02-11,35.22421947938676
2018-02-18,15.754346022231708
2018-02-25,56.247974795272654
2018-03-04,64.6251478063885
2018-03-11,44.15527434923345
2018-03-18,45.209156207964284
2018-03-25,46.763038066695124
2018-04-01,40.99362877304094
2018-04-15,29.95481018573258
2018-04-22,34.67033762065593
2018-04-29,48.3708017841568
2018-05-13,62.01738408892683
2018-05-20,17.86210973969338
2018-05-27,67.28679338258101
2018-06-03,36.278101338117594
2018-06-10,16.808227880962544
2018-06-17,49.92468364288763
2018-06-24,48.3708017841568
2018-07-08,27.847046468270907
2018-07-15,50.97856550161847
2018-07-22,22.077637174616726
2018-07-29,16.308227880962544
2018-08-05,32.06257390319425
2018-08-19,15.754346022231708
2018-09-02,32.06257390319425
2018-09-16,35.22421947938676
2018-09-30,21.02375531588589
2018-10-07,67.28679338258101
2018-10-14,64.1251478063885
2018-10-21,17.86210973969338
2018-10-28,36.278101338117594
2018-11-04,34.67033762065593
2018-11-11,44.15527434923345
2018-12-09,49.92468364288763
2018-12-30,40.99362877304094
2019-01-06,16.308227880962544
2019-01-13,56.247974795272654
2019-01-20,44.15527434923345
2019-01-27,24.1854008920784
2019-02-03,28.400928327001743
2019-02-10,40.99362877304094
2019-02-17,67.78679338258101
2019-03-03,36.278101338117594
2019-03-10,22.077637174616726
2019-03-17,64.6251478063885
2019-03-31,23.631519033347562
2019-04-07,21.02375531588589
2019-04-21,48.8708017841568
2019-04-28,59.90962037146516
2019-05-05,43.60139249050262
2019-05-12,34.67033762065593
2019-05-19,29.45481018573258
2019-06-09,27.847046468270907
2019-06-16,24.1854008920784
2019-06-23,57.80185665400349
2019-06-30,31.008692044463416
2019-07-14,15.754346022231708
2019-07-21,36.278101338117594
2019-07-28,60.963502230196
2019-08-04,33.61645576192509
2019-08-11,43.10139249050262
2019-08-18,50.47856550161847
2019-09-01,19.469873457155053
2019-09-15,34.67033762065593
2019-09-22,79.87949382862021
2019-09-29,32.06257390319425
2019-10-06,38.88586505557927
2019-10-13,32.06257390319425
2019-10-20,62.01738408892683
2019-10-27,22.077637174616726
2019-11-03,29.95481018573258
2019-11-10,90.91831241592857
2019-11-17,15.754346022231708
2019-11-24,18.415991598424217
2019-12-01,79.87949382862021
2019-12-15,14.700464163500872
2019-12-22,83.04113940481272
2019-12-29,21.02375531588589
2020-01-05,34.67033762065593
2020-01-12,27.847046468270907
2020-01-19,50.97856550161847
2020-01-26,26.79316460954007
2020-02-09,27.847046468270907
2020-02-23,24.1854008920784
2020-03-29,22.077637174616726
2020-04-05,31.008692044463416
2020-04-12,16.808227880962544
2020-04-19,55.194092936541814
2020-04-26,54.140211077810974
2020-05-03,34.17033762065593
2020-05-17,25.739282750809235
2020-05-24,31.008692044463416
2020-05-31,12.0927004460392
2020-06-07,29.95481018573258
2020-06-21,47.316919925425964
2020-07-05,25.239282750809235
2020-07-12,32.06257390319425
2020-07-19,99.84936728577526
2020-07-26,18.915991598424217
2020-08-02,37.331983196848434
2020-08-09,64.1251478063885
2020-08-16,57.80185665400349
2020-09-06,70.94843895877352
2020-09-13,16.308227880962544
2020-09-20,24.6854008920784
2020-09-27,26.29316460954007
2020-10-04,36.778101338117594
2020-10-11,31.008692044463416
2020-10-18,22.077637174616726
2020-10-25,46.263038066695124
2020-11-01,28.400928327001743
2020-11-08,14.700464163500872
2020-11-15,43.60139249050262
2020-11-22,44.15527434923345
2020-11-29,58.85573851273432
2020-12-06,46.263038066695124
2020-12-13,67.78679338258101
2020-12-20,40.49362877304094
2021-01-03,13.646582304770035
2021-01-10,43.60139249050262
2021-01-24,27.847046468270907
2021-01-31,33.11645576192509
2021-02-07,70.94843895877352
2021-02-14,66.73291152385018
2021-02-21,16.308227880962544
2021-02-28,40.99362877304094
2021-03-07,46.263038066695124
2021-03-14,16.808227880962544
2021-03-28,62.51738408892683
2021-04-04,50.97856550161847
2021-04-11,57.80185665400349
2021-04-25,28.900928327001743
2021-05-02,63.071265947657665
2021-05-09,22.077637174616726
2021-05-30,25.239282750809235
2021-06-06,32.06257390319425
2021-06-20,53.08632921908014
2021-07-11,21.52375531588589
2021-07-18,33.11645576192509
2021-07-25,60.963502230196
2021-08-01,21.02375531588589
2021-08-08,36.778101338117594
2021-08-15,19.469873457155053
2021-08-29,79.87949382862021
2021-09-05,50.97856550161847
2021-09-12,63.071265947657665
2021-09-19,54.640211077810974
2021-09-26,16.308227880962544
2021-10-03,81.98725754608188
2021-10-10,48.8708017841568
2021-10-17,62.01738408892683
2021-10-24,27.347046468270907
2021-10-31,40.99362877304094
2021-11-07,56.247974795272654
2021-11-14,49.92468364288763
2021-11-21,65.17902966511934
2021-12-05,14.700464163500872
2021-12-12,27.847046468270907
2021-12-19,54.140211077810974
2021-12-26,49.92468364288763
2022-01-02,46.52607613339025
2022-01-09,29.90962037146516
2022-01-16,56.4959495905453
2022-01-23,50.95713100323694
