date,Seattle-Tacoma WA
2017-01-01,71.678
2017-01-08,38.265
2017-01-15,43.791
2017-01-22,52.505
2017-02-05,60.566
2017-02-12,41.117
2017-02-19,44.563
2017-02-26,57.952
2017-03-05,29.085
2017-03-12,37.077
2017-03-19,43.791
2017-03-26,39.07
2017-04-02,35.294
2017-04-09,59.477
2017-04-16,35.294
2017-04-23,100.0
2017-04-30,25.49
2017-05-07,59.259
2017-05-14,48.366
2017-05-21,24.401
2017-05-28,40.285
2017-06-04,31.373
2017-06-11,30.85
2017-06-18,60.24
2017-06-25,55.664
2017-07-02,42.305
2017-07-09,52.614
2017-07-16,49.455
2017-07-23,32.534
2017-07-30,71.133
2017-08-06,28.105
2017-08-13,42.157
2017-08-20,37.8
2017-08-27,49.911
2017-09-03,63.762
2017-09-10,76.144
2017-09-17,36.747
2017-09-24,33.333
2017-10-01,30.356
2017-10-08,27.342
2017-10-15,45.316
2017-10-22,37.473
2017-10-29,23.529
2017-11-05,36.601
2017-11-12,27.124
2017-11-19,41.285
2017-11-26,51.961
2017-12-03,40.85
2017-12-10,36.601
2017-12-17,33.406
2017-12-24,46.296
2017-12-31,33.274
2018-01-07,40.214
2018-01-14,49.337
2018-01-21,37.324
2018-01-28,23.288
2018-02-04,16.993
2018-02-11,28.985
2018-02-18,24.755
2018-02-25,53.467
2018-03-04,45.13
2018-03-11,56.871
2018-03-18,39.797
2018-03-25,30.649
2018-04-01,73.856
2018-04-08,56.741
2018-04-15,57.386
2018-04-22,28.346
2018-04-29,38.804
2018-05-06,48.916
2018-05-13,60.337
2018-05-20,46.422
2018-05-27,34.765
2018-06-03,50.98
2018-06-10,32.008
2018-06-17,77.749
2018-06-24,52.777
2018-07-01,38.02
2018-07-08,33.496
2018-07-15,35.015
2018-07-22,66.654
2018-07-29,43.797
2018-08-05,59.082
2018-08-12,32.202
2018-08-19,28.517
2018-09-02,48.496
2018-09-09,25.6
2018-09-16,65.012
2018-09-23,49.52
2018-09-30,32.438
2018-10-07,38.999
2018-10-14,88.339
2018-10-21,55.641
2018-10-28,25.919
2018-11-04,47.478
2018-11-11,46.944
2018-11-18,38.535
2018-11-25,52.83
2018-12-02,38.801
2018-12-09,63.332
2018-12-16,39.046
2018-12-23,32.647
2018-12-30,48.32
2019-01-06,43.075
2019-01-13,47.492
2019-01-20,47.362
2019-01-27,36.951
2019-02-03,24.594
2019-02-10,23.796
2019-02-17,61.655
2019-02-24,28.843
2019-03-03,27.268
2019-03-10,35.657
2019-03-17,62.553
2019-03-31,57.784
2019-04-07,63.568
2019-04-14,61.976
2019-04-21,79.298
2019-04-28,72.672
2019-05-05,44.581
2019-05-12,36.737
2019-05-19,30.153
2019-05-26,34.683
2019-06-02,53.577
2019-06-09,49.014
2019-06-16,47.069
2019-06-23,21.712
2019-06-30,48.238
2019-07-07,40.974
