,MVT_GT_Tulsa OK
2017-01-01,17.0
2017-01-22,27.0
2017-03-12,41.0
2017-03-19,17.0
2017-03-26,30.0
2017-04-02,21.0
2017-05-14,19.0
2017-06-04,21.0
2017-07-09,24.0
2017-07-16,30.0
2017-07-23,19.0
2017-07-30,30.0
2017-08-27,20.0
2017-10-08,17.0
2017-10-22,29.0
2017-12-17,28.0
2017-12-31,34.0
2018-01-07,84.0
2018-01-28,20.0
2018-02-18,34.0
2018-03-18,54.0
2018-03-25,21.0
2018-04-15,17.0
2018-04-22,54.0
2018-06-03,20.0
2018-06-24,36.0
2018-07-15,78.0
2018-07-22,31.0
2018-07-29,30.0
2018-08-12,23.0
2018-08-19,35.0
2018-09-23,24.0
2018-09-30,28.0
2018-10-14,22.0
2018-11-04,54.0
2018-12-09,37.0
2019-01-20,20.0
2019-03-03,46.0
2019-03-31,16.0
2019-04-21,20.0
2019-05-12,16.0
2019-05-19,31.0
2019-06-02,18.0
2019-06-09,22.0
2019-06-16,27.0
2019-07-21,32.0
2019-07-28,39.0
2019-08-04,20.0
2019-08-11,22.0
2019-08-18,25.0
2019-09-08,20.0
2019-10-06,17.0
2019-10-13,29.0
2019-10-20,14.0
2019-12-01,27.0
2020-01-12,18.0
2020-01-26,13.0
2020-02-02,14.0
2020-04-05,28.0
2020-05-03,13.0
2020-06-28,23.0
2020-07-05,18.0
2020-08-16,40.0
2020-08-30,20.0
2020-09-20,16.0
2020-09-27,23.0
2020-11-22,43.0
2020-12-06,19.0
2020-12-27,16.0
2021-01-24,41.0
2021-01-31,20.0
2021-02-07,23.0
2021-04-11,32.0
2021-04-18,19.0
2021-05-02,100.0
2021-05-16,27.0
2021-05-23,23.0
2021-06-06,30.0
2021-06-27,57.0
2021-07-04,23.0
2021-07-18,17.0
2021-07-25,16.0
2021-08-22,31.0
2021-09-12,18.0
2021-09-19,22.0
2021-10-03,24.0
2021-10-17,18.0
2021-11-14,39.0
2022-01-02,37.0
2022-01-09,16.0
2022-01-30,15.0
2022-02-06,22.0
2022-02-13,21.0
2022-02-20,17.0
2022-02-27,55.0
2022-04-10,30.0
2022-05-01,22.0
2022-05-08,21.0
2022-05-15,19.0
2022-06-19,23.0
2022-07-17,37.0
2022-09-04,20.0
2022-10-09,19.0
2022-11-06,22.0
2022-11-20,14.0
2022-11-27,45.0
2022-12-25,20.0
