date,Tulsa OK
2017-01-01,59.0
2017-01-08,21.0
2017-01-22,30.0
2017-01-29,45.5
2017-02-12,98.0
2017-02-19,52.8
2017-02-26,26.5
2017-03-05,31.0
2017-03-12,81.5
2017-04-09,29.0
2017-04-16,25.5
2017-04-23,47.4
2017-04-30,30.75
2017-05-07,100.0
2017-05-14,25.2
2017-05-28,31.5
2017-06-04,21.0
2017-06-18,23.8
2017-07-09,48.5
2017-07-23,21.0
2017-07-30,59.25
2017-09-03,24.0
2017-09-10,28.8
2017-09-24,13.0
2017-10-08,24.2
2017-10-15,23.0
2017-10-22,25.0
2017-11-05,26.5
2017-11-12,75.0
2017-11-19,82.5
2017-12-10,87.5
2017-12-24,61.5
2017-12-31,24.0
2018-02-04,19.024
2018-02-11,16.995
2018-02-18,42.493
2018-02-25,34.18
2018-03-04,59.485
2018-03-11,32.99
2018-03-18,26.992
2018-04-15,29.853
2018-04-22,17.89
2018-04-29,30.569
2018-05-06,28.991
2018-05-20,70.256
2018-06-10,30.744
2018-06-17,39.804
2018-06-24,34.989
2018-07-08,27.258
2018-07-15,40.959
2018-08-12,80.389
2018-08-19,44.682
2018-09-02,72.986
2018-09-09,27.97
2018-09-16,20.993
2018-09-30,24.992
2018-10-14,70.006
2018-10-21,40.448
2018-11-04,58.868
2018-11-18,22.897
2018-12-02,43.02
2018-12-09,62.212
2018-12-16,57.423
2018-12-30,18.814
2019-01-06,46.425
2019-02-03,99.969
2019-02-10,27.311
2019-02-24,51.324
2019-03-03,45.986
2019-03-10,22.773
2019-04-21,43.446
2019-04-28,26.992
2019-05-12,20.993
2019-05-19,33.513
2019-06-02,40.959
2019-06-09,61.655
2019-06-16,27.0
2019-06-23,97.969
2019-06-30,26.992
2019-07-21,38.521
2019-08-04,61.067
2019-08-11,27.047
2019-08-18,46.47
2019-09-01,44.439
2019-09-08,34.05
2019-09-22,25.567
2019-09-29,16.995
2019-10-06,31.99
2019-10-13,42.512
2019-10-20,21.993
2019-11-03,52.06
2019-11-17,24.574
2019-12-01,50.891
2019-12-08,34.989
2019-12-15,22.8
2019-12-22,17.994
2020-01-12,35.993
2020-01-26,55.982
2020-02-02,28.282
2020-02-16,22.993
2020-03-01,80.975
2020-03-08,20.601
2020-03-15,29.667
2020-03-22,47.662
2020-04-05,41.459
2020-04-12,38.488
2020-04-19,66.944
2020-04-26,16.995
2020-05-03,30.124
2020-05-17,21.869
2020-05-24,44.172
2020-06-14,23.703
2020-06-21,55.108
2020-06-28,26.135
2020-07-05,15.831
2020-07-19,57.998
2020-07-26,29.692
2020-08-02,25.7
2020-08-09,22.007
2020-08-16,24.143
2020-08-30,21.993
2020-09-13,33.513
2020-09-20,71.612
2020-09-27,23.4
2020-10-18,19.561
2020-10-25,73.423
2020-11-22,28.076
2020-11-29,42.519
2020-12-13,65.558
2020-12-20,16.967
2020-12-27,30.402
2021-01-03,28.547
2021-01-24,48.52
2021-01-31,20.993
2021-02-07,34.0
2021-02-28,82.418
2021-03-21,18.814
2021-03-28,26.4
2021-04-04,21.993
2021-04-11,23.992
2021-04-18,26.48
2021-04-25,89.371
2021-05-02,20.16
2021-05-16,40.471
2021-05-23,53.226
2021-06-06,43.373
2021-06-13,22.007
2021-06-20,43.049
2021-07-04,18.922
2021-07-11,18.814
2021-07-18,36.204
2021-07-25,33.759
2021-08-01,38.725
2021-08-08,20.16
2021-08-22,45.461
2021-08-29,44.652
2021-09-05,52.128
2021-09-12,33.471
2021-09-19,21.794
2021-10-10,27.554
2021-10-24,32.119
2021-11-07,55.199
2021-11-14,41.244
2021-11-28,47.85
2021-12-19,39.987
2021-12-26,24.777
2022-01-09,40.452
2022-01-30,34.714
2022-02-06,41.662
2022-02-27,16.262
2022-03-13,19.052
2022-04-03,15.957
2022-04-10,16.989
2022-04-17,32.646
2022-04-24,28.982
2022-05-01,46.837
2022-05-08,23.934
2022-05-22,38.975
2022-05-29,14.991
2022-06-12,25.934
2022-06-19,42.973
2022-06-26,46.729
2022-07-03,13.547
2022-07-10,25.984
2022-07-24,60.534
2022-07-31,29.188
2022-08-07,26.124
2022-08-21,19.474
2022-08-28,25.229
2022-09-04,37.612
2022-09-18,23.985
2022-09-25,25.401
2022-10-02,27.982
2022-10-23,22.86
2022-10-30,45.296
2022-11-20,43.402
2022-11-27,20.054
2022-12-04,30.981
2022-12-11,13.991
