,MVT_GT_Washington DC (Hagerstown MD)
2017-01-01,71.0
2017-01-15,35.0
2017-01-22,24.0
2017-01-29,28.0
2017-02-12,18.0
2017-02-19,29.0
2017-03-05,23.0
2017-03-19,37.0
2017-03-26,53.0
2017-04-23,18.0
2017-04-30,25.0
2017-05-07,46.0
2017-05-21,37.0
2017-06-04,25.0
2017-06-11,40.0
2017-06-18,53.0
2017-07-23,34.0
2017-08-20,19.0
2017-08-27,68.0
2017-09-03,83.0
2017-09-10,76.0
2017-09-24,17.0
2017-10-01,21.0
2017-10-08,22.0
2017-10-15,41.0
2017-10-22,28.0
2017-10-29,16.0
2017-11-12,45.0
2017-11-26,53.0
2017-12-03,27.0
2017-12-10,33.0
2017-12-17,33.0
2017-12-31,25.0
2018-01-07,28.0
2018-01-14,44.0
2018-01-21,75.0
2018-01-28,23.0
2018-02-04,35.0
2018-02-11,51.0
2018-02-25,47.0
2018-03-18,50.0
2018-04-01,24.0
2018-04-08,24.0
2018-04-15,27.0
2018-04-29,25.0
2018-05-06,25.0
2018-05-13,30.0
2018-05-27,18.0
2018-06-17,17.0
2018-06-24,35.0
2018-07-08,57.0
2018-07-15,38.0
2018-07-22,27.0
2018-08-05,72.0
2018-08-12,39.0
2018-08-26,48.0
2018-09-23,56.0
2018-09-30,35.0
2018-10-07,27.0
2018-10-14,40.0
2018-10-21,50.0
2018-10-28,23.0
2018-11-04,79.0
2018-11-11,100.0
2018-11-18,54.0
2018-11-25,48.0
2018-12-02,31.0
2018-12-09,62.0
2018-12-23,53.0
2018-12-30,25.0
2019-01-06,81.0
2019-01-27,22.0
2019-02-10,40.0
2019-02-17,35.0
2019-03-03,28.0
2019-03-10,29.0
2019-03-31,52.0
2019-04-14,31.0
2019-05-05,53.0
2019-05-12,23.0
2019-05-26,59.0
2019-06-02,20.0
2019-06-16,49.0
2019-06-23,31.0
2019-06-30,55.0
2019-07-07,81.0
2019-07-21,70.0
2019-07-28,37.0
2019-08-04,48.0
2019-08-18,28.0
2019-08-25,17.0
2019-09-01,71.0
2019-09-08,39.0
2019-09-15,27.0
2019-10-06,32.0
2019-10-13,35.0
2019-10-20,31.0
2019-11-17,73.0
2019-11-24,30.0
2019-12-01,63.0
2019-12-08,41.0
2019-12-15,43.0
2019-12-22,31.0
2019-12-29,40.0
2020-01-05,72.0
2020-01-12,30.0
2020-01-19,34.0
2020-01-26,18.0
2020-02-02,26.0
2020-02-16,31.0
2020-02-23,25.0
2020-03-01,46.0
2020-03-08,53.0
2020-03-22,14.0
2020-04-05,53.0
2020-04-26,31.0
2020-05-03,22.0
2020-05-10,28.0
2020-05-17,28.0
2020-05-24,21.0
2020-05-31,44.0
2020-06-14,26.0
2020-06-21,31.0
2020-07-05,46.0
2020-07-12,50.0
2020-07-19,28.0
2020-07-26,29.0
2020-08-02,36.0
2020-08-09,41.0
2020-08-16,23.0
2020-08-23,39.0
2020-08-30,44.0
2020-09-13,27.0
2020-09-27,37.0
2020-10-04,41.0
2020-10-11,45.0
2020-10-18,19.0
2020-11-01,25.0
2020-11-15,20.0
2020-11-22,69.0
2020-12-06,60.0
2020-12-13,43.0
2020-12-20,32.0
2021-01-03,59.0
2021-01-10,28.0
2021-01-17,83.0
2021-01-24,38.0
2021-01-31,38.0
2021-02-07,18.0
2021-02-14,60.0
2021-02-21,61.0
2021-02-28,73.0
2021-03-07,34.0
2021-03-14,41.0
2021-03-21,65.0
2021-03-28,63.0
2021-04-18,33.0
2021-04-25,24.0
2021-05-09,62.0
2021-05-23,62.0
2021-05-30,57.0
2021-06-06,57.0
2021-06-27,40.0
2021-07-11,42.0
2021-07-18,70.0
2021-07-25,50.0
2021-08-15,34.0
2021-08-29,56.0
2021-09-05,41.0
2021-09-19,43.0
2021-10-03,44.0
2021-10-10,42.0
2021-10-17,49.0
2021-10-31,20.0
2021-11-07,69.0
2021-11-21,55.0
2021-11-28,19.0
2021-12-19,74.0
2021-12-26,65.0
2022-01-09,48.0
2022-01-16,65.0
2022-01-23,62.0
2022-02-06,50.0
2022-02-13,39.0
2022-02-20,26.0
2022-02-27,24.0
2022-03-13,61.0
2022-03-20,52.0
2022-03-27,56.0
2022-04-03,80.0
2022-04-10,44.0
2022-04-17,16.0
2022-04-24,67.0
2022-05-08,52.0
2022-05-15,35.0
2022-05-22,71.0
2022-05-29,77.0
2022-06-05,32.0
2022-06-12,40.0
2022-06-19,36.0
2022-06-26,36.0
2022-07-03,78.0
2022-07-10,80.0
2022-07-17,43.0
2022-07-24,64.0
2022-07-31,17.0
2022-08-07,76.0
2022-08-14,36.0
2022-08-28,27.0
2022-09-11,45.0
2022-09-18,66.0
2022-09-25,29.0
2022-10-02,22.0
2022-10-09,32.0
2022-10-23,40.0
2022-10-30,50.0
2022-11-06,37.0
2022-11-13,40.0
2022-11-27,47.0
2022-12-04,76.0
2022-12-11,75.0
2022-12-18,36.0
2022-12-25,94.0
