,MVT_GT_Wichita-Hutchinson KS
2017-02-19,19.0
2017-03-26,26.0
2017-04-02,42.0
2017-04-16,100.0
2017-04-23,13.0
2017-05-14,16.0
2017-08-06,15.0
2017-09-03,16.0
2017-10-01,12.0
2017-11-05,17.0
2017-12-17,36.0
2017-12-31,17.0
2018-01-21,23.0
2018-02-25,10.0
2018-03-25,12.983856484424667
2018-04-01,47.0
2018-04-22,31.0
2018-05-06,15.0
2018-05-13,12.743713651668198
2018-05-20,14.0
2018-07-15,25.0
2018-08-12,20.908569965388146
2018-09-02,32.0
2018-09-30,34.0
2018-12-09,16.806427474041108
2019-02-24,11.54299948788585
2019-03-24,23.0
2019-03-31,10.04299948788585
2019-04-07,18.0
2019-04-28,28.0
2019-06-09,16.865570477502295
2019-07-07,20.0
2019-07-28,22.944427815450542
2019-09-15,10.0
2019-09-22,10.0
2019-10-06,9.0
2019-12-08,10.0
2020-01-26,13.0
2020-05-03,15.066284641284641
2020-05-31,18.0
2020-06-07,11.04299948788585
2020-06-14,17.0
2020-06-21,14.0
2020-08-02,11.0
2020-08-23,12.0
2020-09-20,10.0
2020-09-27,13.0
2020-10-11,15.0
2020-10-25,19.0
2020-11-15,21.0
2020-12-06,10.0
2020-12-27,21.0
2021-03-07,23.0
2021-05-30,12.0
2021-06-06,38.0
2021-06-13,16.68457064820701
2021-08-08,19.0
2021-08-29,20.0
2021-09-19,13.0
2021-10-10,36.0
2021-10-17,11.0
2021-11-28,26.0
2018-01-28,23.533997610133973
2018-04-08,23.053711944621035
2018-06-03,44.186281227190314
2018-07-29,19.691712286030466
2018-09-09,24.494568941159848
2018-09-23,10.566284641284641
2018-10-14,18.73114095500459
2018-10-28,11.526855972310518
2018-11-04,11.526855972310518
2018-11-11,28.336854265263355
2018-11-25,17.290283958465775
2018-12-02,14.408569965388146
2018-12-16,13.44799863436227
2018-12-30,12.487427303336395
2019-02-03,15.84942696192696
2019-03-03,10.085998975771703
2019-04-14,11.046570306797578
2019-05-12,12.487427303336395
2019-05-26,21.132569282569282
2019-06-23,18.250855289491653
2019-09-08,12.967712968849332
2019-09-29,10.085998975771703
2019-12-15,12.007141637823455
2020-02-02,48.02856655129382
2020-02-23,20.652283617056344
2020-03-22,21.132569282569282
2020-04-19,12.007141637823455
2020-04-26,14.888855630901086
2020-05-17,12.967712968849332
2020-07-12,10.566284641284641
2020-08-09,17.770569623978716
2020-08-30,15.369141296414023
2021-01-17,10.566284641284641
2021-01-24,12.967712968849332
2021-02-07,29.77771126180217
2021-04-18,23.533997610133973
2021-05-16,19.21142662051753
2021-05-23,13.928284299875209
2021-06-20,14.888855630901086
2021-07-04,20.652283617056344
2021-08-15,32.6594252548798
2021-08-22,22.093140613595157
2021-11-07,13.928284299875209
2021-12-05,13.928284299875209
2022-01-02,24.97485460667279
2022-02-20,11.046570306797578
2022-03-06,14.888855630901086
2022-03-13,16.3297126274399
2022-03-27,17.290283958465775
2022-04-17,19.21142662051753
2022-05-15,28.336854265263355
2022-05-22,8.645141979232887
2022-06-05,19.691712286030466
2022-06-19,11.526855972310518
2022-07-17,12.967712968849332
2022-07-24,11.046570306797578
2022-07-31,9.605713310258764
2022-08-07,11.526855972310518
2022-10-16,11.046570306797578
